coin_id,symbol,name,current_price,current_market_cap,current_volume,current_rank,circulating_supply,categories,category_list,asset_platform_id,sector,metadata_available,validation_passed,latest_price_gap,median_price_gap,direct_market_cap_days,direct_price_days,history_days
bitcoin,BTC,Bitcoin,75699.0,1515152852412.0,43262328379.0,1.0,20018928.0,Smart Contract Platform | Layer 1 (L1) | FTX Holdings | Proof of Work (PoW) | Bitcoin Ecosystem | GMCI 30 Index | GMCI Index | Coinbase 50 Index,"['Smart Contract Platform', 'Layer 1 (L1)', 'FTX Holdings', 'Proof of Work (PoW)', 'Bitcoin Ecosystem', 'GMCI 30 Index', 'GMCI Index', 'Coinbase 50 Index']",,Store of Value,True,True,0.0013862347255157027,0.01186910285928868,365,365,5758
ethereum,ETH,Ethereum,2302.51,277796098715.0,15962843539.0,2.0,120690001.6228962,Smart Contract Platform | Layer 1 (L1) | Ethereum Ecosystem | FTX Holdings | Multicoin Capital Portfolio | Proof of Stake (PoS) | Alameda Research Portfolio | Andreessen Horowitz (a16z) Portfolio | GMCI Layer 1 Index | GMCI 30 Index | Delphi Ventures Portfolio | Galaxy Digital Portfolio | GMCI Index | World Liberty Financial Portfolio | Coinbase 50 Index,"['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'FTX Holdings', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'Alameda Research Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Delphi Ventures Portfolio', 'Galaxy Digital Portfolio', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",,Smart Contract Platform / L1,True,True,0.0024057873788314653,0.01850274340612555,365,365,5758
ripple,XRP,XRP,1.43,87944651031.0,2434622317.0,4.0,61569680267.0,Smart Contract Platform | Layer 1 (L1) | FTX Holdings | Pantera Capital Portfolio | Andreessen Horowitz (a16z) Portfolio | XRP Ledger Ecosystem | GMCI 30 Index | Blockchain Capital Portfolio | GMCI Index | Made in USA | Coinbase 50 Index,"['Smart Contract Platform', 'Layer 1 (L1)', 'FTX Holdings', 'Pantera Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'XRP Ledger Ecosystem', 'GMCI 30 Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",,Payments,True,True,0.0019775801696516344,0.017233100865141158,365,365,5758
binancecoin,BNB,BNB,631.08,85130812268.0,1084490902.0,5.0,134786540.55,Smart Contract Platform | Exchange-based Tokens | BNB Chain Ecosystem | Centralized Exchange (CEX) Token | Layer 1 (L1) | Ethereum Ecosystem | Alleged SEC Securities | FTX Holdings | Proof of Stake (PoS) | GMCI Layer 1 Index | GMCI 30 Index | GMCI Index | Made in China,"['Smart Contract Platform', 'Exchange-based Tokens', 'BNB Chain Ecosystem', 'Centralized Exchange (CEX) Token', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Alleged SEC Securities', 'FTX Holdings', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'GMCI Index', 'Made in China']",,Exchange / Trading Infrastructure,True,True,0.002444423724554976,0.01379610702817558,365,365,5758
solana,SOL,Solana,85.7,49354817048.0,3184392521.0,7.0,575498999.4426552,Smart Contract Platform | Solana Ecosystem | Layer 1 (L1) | FTX Holdings | Multicoin Capital Portfolio | Proof of Stake (PoS) | Alameda Research Portfolio | Andreessen Horowitz (a16z) Portfolio | GMCI Layer 1 Index | GMCI 30 Index | Delphi Ventures Portfolio | GMCI Index | Polychain Capital Portfolio | Made in USA | Coinbase 50 Index | CoinList Launchpad,"['Smart Contract Platform', 'Solana Ecosystem', 'Layer 1 (L1)', 'FTX Holdings', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'Alameda Research Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Delphi Ventures Portfolio', 'GMCI Index', 'Polychain Capital Portfolio', 'Made in USA', 'Coinbase 50 Index', 'CoinList Launchpad']",,Smart Contract Platform / L1,True,True,0.003949610751095564,0.022754203454883524,365,365,5758
tron,TRX,TRON,0.331479,31410698540.0,473762928.0,8.0,94778749337.0878,Smart Contract Platform | Layer 1 (L1) | Alleged SEC Securities | FTX Holdings | DWF Labs Portfolio | Tron Ecosystem | Proof of Stake (PoS) | GMCI Layer 1 Index | GMCI 30 Index | GMCI Index | World Liberty Financial Portfolio | Made in China,"['Smart Contract Platform', 'Layer 1 (L1)', 'Alleged SEC Securities', 'FTX Holdings', 'DWF Labs Portfolio', 'Tron Ecosystem', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'GMCI Index', 'World Liberty Financial Portfolio', 'Made in China']",,Smart Contract Platform / L1,True,True,0.0013783987308337929,0.008352031203737936,365,365,5758
dogecoin,DOGE,Dogecoin,0.094887,14599392802.0,1064278082.0,10.0,153922106383.7052,Smart Contract Platform | Meme | Dog-Themed | Elon Musk-Inspired | Proof of Work (PoW) | GMCI Meme Index | GMCI 30 Index | GMCI Index | Coinbase 50 Index | 4chan-Themed,"['Smart Contract Platform', 'Meme', 'Dog-Themed', 'Elon Musk-Inspired', 'Proof of Work (PoW)', 'GMCI Meme Index', 'GMCI 30 Index', 'GMCI Index', 'Coinbase 50 Index', '4chan-Themed']",,Meme,True,True,0.0017802113648784953,0.024914308383238343,365,365,5758
whitebit,WBT,WhiteBIT Coin,54.72,11678412208.0,76839511.0,11.0,213418274.0,Exchange-based Tokens | Centralized Exchange (CEX) Token | Ethereum Ecosystem | Tron Ecosystem,"['Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'Tron Ecosystem']",ethereum,Exchange / Trading Infrastructure,True,True,0.0017233616232391216,0.009964596932931832,365,365,5758
leo-token,LEO,LEO Token,10.36,9536017417.0,532121.0,14.0,920790382.9,Exchange-based Tokens | Centralized Exchange (CEX) Token | Ethereum Ecosystem | Sora Ecosystem,"['Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'Sora Ecosystem']",ethereum,Exchange / Trading Infrastructure,True,True,0.0003552385009429439,0.007249401178106704,365,365,5758
hyperliquid,HYPE,Hyperliquid,39.93,9523290439.0,344376010.0,13.0,238385315.9541414,Decentralized Exchange (DEX) | Smart Contract Platform | Exchange-based Tokens | Decentralized Finance (DeFi) | Derivatives | Perpetuals | Layer 1 (L1) | Proof of Stake (PoS) | Hyperliquid Ecosystem | Governance,"['Decentralized Exchange (DEX)', 'Smart Contract Platform', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Derivatives', 'Perpetuals', 'Layer 1 (L1)', 'Proof of Stake (PoS)', 'Hyperliquid Ecosystem', 'Governance']",hyperliquid,Exchange / Trading Infrastructure,True,True,0.004078079001159645,0.028663901908777357,365,365,365
