coin_id,price,market_cap,volume_usd,history_days,symbol,name,sector,rebalance_date,universe_rank
bitcoin,23492.86,470289128242.88855,1057863335.56,99,BTC,Bitcoin,Store of Value,2023-02-27,1
ethereum,1633.97,197230990614.39203,598217352.12,99,ETH,Ethereum,Smart Contract Platform / L1,2023-02-27,2
ripple,0.4018,24738821460.341152,84114838.99,99,XRP,XRP,Payments,2023-02-27,3
solana,22.67,13043949055.220163,45184748.78,99,SOL,Solana,Smart Contract Platform / L1,2023-02-27,4
litecoin,94.08,7248908905.635794,25533300.59,99,LTC,Litecoin,Payments,2023-02-27,5
optimism,2.896,6167531712.180627,115517142.45,99,OP,Optimism,Smart Contract Platform / L1,2023-02-27,6
bitcoin,23137.23,463169989803.5066,814380395.42,100,BTC,Bitcoin,Store of Value,2023-02-28,1
ethereum,1605.0,193734119926.37515,456947652.79,100,ETH,Ethereum,Smart Contract Platform / L1,2023-02-28,2
ripple,0.3766,23187257745.05843,61923178.44,100,XRP,XRP,Payments,2023-02-28,3
solana,21.88,12589395912.140148,38176238.55,100,SOL,Solana,Smart Contract Platform / L1,2023-02-28,4
dogecoin,0.08084,12444236012.253748,30046022.21,100,DOGE,Dogecoin,Meme,2023-02-28,5
optimism,2.704,5758634582.091304,90254287.33,100,OP,Optimism,Smart Contract Platform / L1,2023-02-28,6
immutable-x,1.057,889857142.1206933,34280208.67,100,IMX,Immutable,Smart Contract Platform / L1,2023-02-28,7
bitcoin,24207.1,484587059910.4761,2198916015.73,113,BTC,Bitcoin,Store of Value,2023-03-13,1
ethereum,1680.71,202872817882.52835,1009058317.0,113,ETH,Ethereum,Smart Contract Platform / L1,2023-03-13,2
binancecoin,309.12,41659217685.13401,47151793.2,113,BNB,BNB,Exchange / Trading Infrastructure,2023-03-13,3
ripple,0.3733,22984076782.34284,107850584.72,113,XRP,XRP,Payments,2023-03-13,4
cardano,0.3449,12747041936.071445,47976692.93,113,ADA,Cardano,Smart Contract Platform / L1,2023-03-13,5
solana,20.47,11778104859.301134,154278866.04,113,SOL,Solana,Smart Contract Platform / L1,2023-03-13,6
dogecoin,0.07309,11251227240.668314,35519048.47,113,DOGE,Dogecoin,Meme,2023-03-13,7
shiba-inu,1.108e-05,6522238415.384298,32508674.67,113,SHIB,Shiba Inu,Meme,2023-03-13,8
litecoin,81.84,6305811063.320933,64895573.03,113,LTC,Litecoin,Payments,2023-03-13,9
optimism,2.625,5590390450.439967,273511495.66,113,OP,Optimism,Smart Contract Platform / L1,2023-03-13,10
bitcoin,27146.01,543419293273.47687,1256153698.38,127,BTC,Bitcoin,Store of Value,2023-03-27,1
ethereum,1716.29,207167559307.43826,495106395.7,127,ETH,Ethereum,Smart Contract Platform / L1,2023-03-27,2
binancecoin,310.82,41888321819.66017,26799069.28,127,BNB,BNB,Exchange / Trading Infrastructure,2023-03-27,3
ripple,0.4798,29541280579.073383,62898953.02,127,XRP,XRP,Payments,2023-03-27,4
solana,19.9,11450136135.813023,35243953.94,127,SOL,Solana,Smart Contract Platform / L1,2023-03-27,5
litecoin,89.26,6877525604.9856615,67032764.05,127,LTC,Litecoin,Payments,2023-03-27,6
optimism,2.068,4404162838.67042,68825299.06,127,OP,Optimism,Smart Contract Platform / L1,2023-03-27,7
bitcoin,28474.62,570015920447.6389,1278854661.75,131,BTC,Bitcoin,Store of Value,2023-03-31,1
ethereum,1822.07,219935905230.06253,547831728.98,131,ETH,Ethereum,Smart Contract Platform / L1,2023-03-31,2
ripple,0.5376,33100025926.031364,39072919.92,131,XRP,XRP,Payments,2023-03-31,3
cardano,0.3987,14735417859.99329,38922180.97,131,ADA,Cardano,Smart Contract Platform / L1,2023-03-31,4
solana,21.18,12186627304.34773,29146172.7,131,SOL,Solana,Smart Contract Platform / L1,2023-03-31,5
litecoin,89.6,6903722767.272184,32753484.55,131,LTC,Litecoin,Payments,2023-03-31,6
optimism,2.289,4874820472.783651,66898064.0,131,OP,Optimism,Smart Contract Platform / L1,2023-03-31,7
bitcoin,29655.75,593660236126.5951,1211248945.3,141,BTC,Bitcoin,Store of Value,2023-04-10,1
ethereum,1911.14,230687243586.35056,446407551.48,141,ETH,Ethereum,Smart Contract Platform / L1,2023-04-10,2
ripple,0.5175,31862469153.12729,25457589.85,141,XRP,XRP,Payments,2023-04-10,3
dogecoin,0.08481,13055364376.536867,29216761.19,141,DOGE,Dogecoin,Meme,2023-04-10,4
solana,20.92,12037027535.739119,28388587.74,141,SOL,Solana,Smart Contract Platform / L1,2023-04-10,5
arbitrum,1.242,7521255217.984475,122690304.29,141,ARB,Arbitrum,Smart Contract Platform / L1,2023-04-10,6
optimism,2.368,5043064604.434987,44785483.93,141,OP,Optimism,Smart Contract Platform / L1,2023-04-10,7
bitcoin,27520.93,550924586369.3717,940115640.57,155,BTC,Bitcoin,Store of Value,2023-04-24,1
ethereum,1842.55,222407976741.64642,570636520.13,155,ETH,Ethereum,Smart Contract Platform / L1,2023-04-24,2
ripple,0.4607,28365293794.871002,33769257.02,155,XRP,XRP,Payments,2023-04-24,3
solana,21.39,12307457886.685455,30024773.27,155,SOL,Solana,Smart Contract Platform / L1,2023-04-24,4
arbitrum,1.339,8108664039.3568535,215168148.74,155,ARB,Arbitrum,Smart Contract Platform / L1,2023-04-24,5
litecoin,88.32,6805098156.311152,25422803.46,155,LTC,Litecoin,Payments,2023-04-24,6
optimism,2.221,4730002739.21035,28841986.67,155,OP,Optimism,Smart Contract Platform / L1,2023-04-24,7
monero,158.0,2913798569.5954843,29186392.57,155,XMR,Monero,Privacy,2023-04-24,8
bitcoin,29236.81,585273733700.4932,685897041.94,161,BTC,Bitcoin,Store of Value,2023-04-30,1
ethereum,1872.4,226011069252.4267,316695826.29,161,ETH,Ethereum,Smart Contract Platform / L1,2023-04-30,2
solana,22.73,13078472078.745228,31981627.77,161,SOL,Solana,Smart Contract Platform / L1,2023-04-30,3
arbitrum,1.369,8290336870.709136,102392966.37,161,ARB,Arbitrum,Smart Contract Platform / L1,2023-04-30,4
monero,155.74,2872120184.9924097,26664543.51,161,XMR,Monero,Privacy,2023-04-30,5
bitcoin,27783.42,556179212382.2316,1136175854.67,169,BTC,Bitcoin,Store of Value,2023-05-08,1
ethereum,1853.94,223782825106.73145,664714401.47,169,ETH,Ethereum,Smart Contract Platform / L1,2023-05-08,2
ripple,0.4286,26388897157.546585,44696985.58,169,XRP,XRP,Payments,2023-05-08,3
solana,20.69,11904689278.893038,57885042.91,169,SOL,Solana,Smart Contract Platform / L1,2023-05-08,4
dogecoin,0.07255,11168101468.196556,32994066.16,169,DOGE,Dogecoin,Meme,2023-05-08,5
arbitrum,1.096,6637114105.40337,210577859.27,169,ARB,Arbitrum,Smart Contract Platform / L1,2023-05-08,6
litecoin,77.85,5998379658.840843,37838936.78,169,LTC,Litecoin,Payments,2023-05-08,7
optimism,1.722,3667296135.4886184,50033147.58,169,OP,Optimism,Smart Contract Platform / L1,2023-05-08,8
monero,153.11,2823618348.0428143,69344649.59,169,XMR,Monero,Privacy,2023-05-08,9
bitcoin,26855.4,537601750260.0394,474287648.56,183,BTC,Bitcoin,Store of Value,2023-05-22,1
ethereum,1817.83,219424109174.92993,199800403.15,183,ETH,Ethereum,Smart Contract Platform / L1,2023-05-22,2
ripple,0.4615,28414549785.83236,38275210.55,183,XRP,XRP,Payments,2023-05-22,3
solana,19.53,11237244157.40846,25489243.68,183,SOL,Solana,Smart Contract Platform / L1,2023-05-22,4
arbitrum,1.125,6812731175.710575,47614523.46,183,ARB,Arbitrum,Smart Contract Platform / L1,2023-05-22,5
sui,1.05,4146666546.5835876,32287909.4,183,SUI,Sui,Smart Contract Platform / L1,2023-05-22,6
bitcoin,27220.17,544903856742.99457,770131646.3,192,BTC,Bitcoin,Store of Value,2023-05-31,1
ethereum,1874.03,226207821037.7725,320126617.18,192,ETH,Ethereum,Smart Contract Platform / L1,2023-05-31,2
ripple,0.5171,31837841157.646614,45757062.48,192,XRP,XRP,Payments,2023-05-31,3
solana,20.82,11979489163.197344,25266396.22,192,SOL,Solana,Smart Contract Platform / L1,2023-05-31,4
arbitrum,1.161,7030738573.333314,101178848.36,192,ARB,Arbitrum,Smart Contract Platform / L1,2023-05-31,5
litecoin,90.44,6968445168.215361,37042469.62,192,LTC,Litecoin,Payments,2023-05-31,6
sui,0.9743,3847711634.6060853,32842605.72,192,SUI,Sui,Smart Contract Platform / L1,2023-05-31,7
optimism,1.382,2943207467.6221085,72087900.4,192,OP,Optimism,Smart Contract Platform / L1,2023-05-31,8
bitcoin,25740.46,515282451518.0758,973121005.98,197,BTC,Bitcoin,Store of Value,2023-06-05,1
ethereum,1811.47,218656415092.23102,475161890.31,197,ETH,Ethereum,Smart Contract Platform / L1,2023-06-05,2
binancecoin,277.22,37360145984.31952,31925166.65,197,BNB,BNB,Exchange / Trading Infrastructure,2023-06-05,3
ripple,0.5095,31369909243.51373,64521988.22,197,XRP,XRP,Payments,2023-06-05,4
solana,20.02,11519182182.863152,64969446.79,197,SOL,Solana,Smart Contract Platform / L1,2023-06-05,5
dogecoin,0.0665,10236784943.281473,27403024.22,197,DOGE,Dogecoin,Meme,2023-06-05,6
arbitrum,1.136,6879344547.206411,170438382.93,197,ARB,Arbitrum,Smart Contract Platform / L1,2023-06-05,7
litecoin,87.77,6762720393.788835,52809840.88,197,LTC,Litecoin,Payments,2023-06-05,8
sui,0.8174,3228081176.359452,89141993.16,197,SUI,Sui,Smart Contract Platform / L1,2023-06-05,9
optimism,1.386,2951726157.8323026,72593082.51,197,OP,Optimism,Smart Contract Platform / L1,2023-06-05,10
bitcoin,26842.09,537335305548.88403,477713441.96,211,BTC,Bitcoin,Store of Value,2023-06-19,1
