,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2022-11-21,False,False,False,60210283030198.55,59894789471047.29
2022-11-22,False,False,False,60943820624903.87,60619557811795.53
2022-11-23,False,False,False,59706805234892.96,59374680601242.77
2022-11-24,False,False,False,66981286341043.875,66649212153725.17
2022-11-25,False,False,False,68324131141427.36,67993661027339.68
2022-11-26,False,False,False,66139372170230.44,65810039100439.8
2022-11-27,False,False,False,62775993740473.18,62447274434382.31
2022-11-28,False,False,False,58560542041126.42,58236103866961.01
2022-11-29,False,False,False,61768172551542.95,61439234644682.305
2022-11-30,False,False,False,84662390491794.84,84318827953215.06
2022-12-01,False,False,False,83728088988714.27,83388204027736.77
2022-12-02,False,False,False,74908884178286.47,74566680087347.48
2022-12-03,False,False,False,73507393062480.48,73169316362266.22
2022-12-04,False,False,False,73477342062764.06,73134792254307.3
2022-12-05,False,False,False,73681393184583.05,73341744440554.58
2022-12-06,False,False,False,61875375400659.586,61533330856253.125
2022-12-07,False,False,False,62238527922377.56,61901461349896.2
2022-12-08,False,False,False,66290740890143.72,65945903780958.44
2022-12-09,False,False,False,65444110275367.125,65101258389473.0
2022-12-10,False,False,False,68512811283987.07,68169912555070.84
2022-12-11,False,False,False,76116424134184.22,75774213236994.16
2022-12-12,False,False,False,83725866400004.66,83381376809991.84
2022-12-13,False,False,False,81896446980296.52,81540613771949.88
2022-12-14,False,False,False,82187115034927.67,81830760347638.47
2022-12-15,False,False,False,75401930992969.67,75054427635018.14
2022-12-16,False,False,False,73384396651009.12,73050921577072.34
2022-12-17,False,False,False,73981918536937.16,73645999017945.6
2022-12-18,False,False,False,73686962718270.73,73351800094435.34
2022-12-19,False,False,False,72074328396248.88,71745170287147.61
2022-12-20,False,False,False,74112731726292.45,73774398590559.8
2022-12-21,False,False,False,73940887327860.89,73604155462785.28
2022-12-22,False,False,False,73773959538654.06,73437330167712.27
2022-12-23,False,False,False,73731428719449.42,73395500792735.94
2022-12-24,False,False,False,73521952868587.58,73184900108792.22
2022-12-25,False,False,False,72806343192911.31,72469451781303.17
2022-12-26,False,False,False,65288041194384.8,64949408783788.74
2022-12-27,False,False,False,63683109761483.69,63348791913516.88
2022-12-28,False,False,False,57073409712987.07,56742296207989.055
2022-12-29,False,False,False,61237167906233.75,60904237332382.875
2022-12-30,False,False,False,71112829336965.98,70780534747222.8
2022-12-31,False,False,False,71279552659652.69,70948622523065.95
2023-01-01,False,False,False,71787240413193.78,71454657558699.23
2023-01-02,False,False,False,67674217791365.08,67340509703420.945
2023-01-03,False,False,False,66498209322309.46,66164499632894.484
2023-01-04,False,False,False,72816698628666.36,72479452491266.95
2023-01-05,False,False,False,70795954647076.77,70459127894853.83
2023-01-06,False,False,False,71895928799872.39,71556694036056.3
2023-01-07,False,False,False,62732946179449.625,62393780078695.836
2023-01-08,False,False,False,62955676777680.586,62613045894762.5
