date,coin_id,symbol,name,price,volume_usd,market_cap,price_source,volume_source,market_cap_source,current_market_cap,current_rank
2020-01-01,pepe,PEPE,Pepe,0.01007,13558.11,4232305663526.1816,cryptocompare,cryptocompare,proxy_anchor,1590073814.0,52.0
2020-01-01,bitcoin,BTC,Bitcoin,7189.94,85986188.11,143930990723.08243,cryptocompare,cryptocompare,proxy_anchor,1515152852412.0,1.0
2020-01-01,ethereum,ETH,Ethereum,130.57,204356870.2,15760662952.515142,cryptocompare,cryptocompare,proxy_anchor,277796098715.0,2.0
2020-01-01,ripple,XRP,XRP,0.1931,6508381.07,11889164818.297352,cryptocompare,cryptocompare,proxy_anchor,87944651031.0,4.0
2020-01-01,bitcoin-cash,BCH,Bitcoin Cash,204.37,27898498.54,4092136318.565753,cryptocompare,cryptocompare,proxy_anchor,8931526249.0,16.0
2020-01-01,litecoin,LTC,Litecoin,41.59,35979677.49,3204529351.4603815,cryptocompare,cryptocompare,proxy_anchor,4278871853.0,25.0
2020-01-01,algorand,ALGO,Algorand,0.2187,53261.16,1949850922.7704506,cryptocompare,cryptocompare,proxy_anchor,926994774.0,74.0
2020-01-01,binancecoin,BNB,BNB,13.68,13507451.87,1843614447.2458372,cryptocompare,cryptocompare,proxy_anchor,85130812268.0,5.0
2020-01-01,stellar,XLM,Stellar,0.04519,599019.27,1498711300.3321848,cryptocompare,cryptocompare,proxy_anchor,5872983271.0,20.0
2020-01-01,tezos,XTZ,Tezos,1.37,1081339.12,1482705470.4244568,cryptocompare,cryptocompare,proxy_anchor,397157142.0,118.0
2020-01-01,crypto-com-chain,CRO,Cronos,0.03372,64906.11,1468442263.0871582,cryptocompare,cryptocompare,proxy_anchor,3050555428.0,34.0
2020-01-01,chainlink,LINK,Chainlink,1.802,960928.53,1309692471.516101,cryptocompare,cryptocompare,proxy_anchor,6830639644.0,19.0
2020-01-01,tron,TRX,TRON,0.01376,40956.88,1304758272.879312,cryptocompare,cryptocompare,proxy_anchor,31410698540.0,8.0
2020-01-01,cardano,ADA,Cardano,0.03381,164456.62,1249572304.605902,cryptocompare,cryptocompare,proxy_anchor,9185710657.0,15.0
2020-01-01,monero,XMR,Monero,45.78,3395877.68,844263914.6587423,cryptocompare,cryptocompare,proxy_anchor,6838727045.0,18.0
2020-01-01,leo-token,LEO,LEO Token,0.8244,70541.97,759099664.9707729,cryptocompare,cryptocompare,proxy_anchor,9536017417.0,14.0
2020-01-01,ethereum-classic,ETC,Ethereum Classic,4.502,15776357.22,704539044.4488928,cryptocompare,cryptocompare,proxy_anchor,1326777625.0,59.0
2020-01-01,neo,NEO,NEO,8.842,4972437.08,623384774.0234557,cryptocompare,cryptocompare,proxy_anchor,200841493.0,175.0
2020-01-01,zcash,ZEC,Zcash,27.95,9561639.39,465297148.34416735,cryptocompare,cryptocompare,proxy_anchor,5349411156.0,22.0
2020-01-01,vechain,VET,VeChain,0.005355,6802.47,460447321.1572352,cryptocompare,cryptocompare,proxy_anchor,614386926.0,89.0
2020-01-01,hedera-hashgraph,HBAR,Hedera,0.01024,102618.49,443523037.6623218,cryptocompare,cryptocompare,proxy_anchor,3900574966.0,28.0
2020-01-01,dogecoin,DOGE,Dogecoin,0.002124,19449.95,326961371.7222534,cryptocompare,cryptocompare,proxy_anchor,14599392802.0,10.0
2020-01-01,theta-token,THETA,Theta Network,0.08647,16396.57,86462982.26299292,cryptocompare,cryptocompare,proxy_anchor,220108300.0,166.0
2020-01-01,decentraland,MANA,Decentraland,0.03136,120535.18,60625962.22064908,cryptocompare,cryptocompare,proxy_anchor,176437837.0,191.0
2020-01-01,okb,OKB,OKB,2.619,13370520.97,54995725.10326875,cryptocompare,cryptocompare,proxy_anchor,1755418075.0,48.0
2020-01-01,solana,SOL,Solana,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,49354817048.0,7.0
2020-01-01,whitebit,WBT,WhiteBIT Coin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,11678412208.0,11.0
2020-01-01,avalanche-2,AVAX,Avalanche,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,4039334038.0,27.0
2020-01-01,sui,SUI,Sui,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3736312381.0,29.0
2020-01-01,shiba-inu,SHIB,Shiba Inu,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3580883262.0,32.0
2020-01-01,the-open-network,TON,Toncoin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3432102503.0,33.0
2020-01-01,world-liberty-financial,WLFI,World Liberty Financial,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2514622744.0,37.0
2020-01-01,bittensor,TAO,Bittensor,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2335646118.0,39.0
2020-01-01,polkadot,DOT,Polkadot,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2141346104.0,42.0
2020-01-01,uniswap,UNI,Uniswap,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,2058061102.0,44.0
2020-01-01,sky,SKY,Sky,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1842792529.0,45.0
2020-01-01,near,NEAR,NEAR Protocol,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1776627837.0,47.0
2020-01-01,aster-2,ASTER,Aster,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1666102901.0,50.0
2020-01-01,htx-dao,HTX,HTX DAO,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1644315922.0,51.0
2020-01-01,aave,AAVE,Aave,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1402388194.0,55.0
2020-01-01,internet-computer,ICP,Internet Computer,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1361733923.0,56.0
2020-01-01,bitget-token,BGB,Bitget Token,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,1329292631.0,58.0
2020-01-01,render-token,RENDER,Render,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,928908961.0,73.0
2020-01-01,arbitrum,ARB,Arbitrum,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,768404106.0,80.0
2020-01-01,filecoin,FIL,Filecoin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,718746194.0,83.0
2020-01-01,injective-protocol,INJ,Injective,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,327154015.0,133.0
2020-01-01,the-graph,GRT,The Graph,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,268195477.0,149.0
2020-01-01,optimism,OP,Optimism,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,263455782.0,152.0
2020-01-01,axie-infinity,AXS,Axie Infinity,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,187570793.0,186.0
2020-01-01,immutable-x,IMX,Immutable,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,147508128.0,218.0
2020-01-01,eos,EOS,EOS,2.605,1464945.55,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2020-01-01,maker,MKR,Maker,437.8,51191.42,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2020-01-01,fantom,FTM,Fantom,0.01064,53647.47,0.0,cryptocompare,cryptocompare,proxy_anchor,0.0,
2020-01-02,pepe,PEPE,Pepe,0.01115,1446.55,4686217293775.266,cryptocompare,cryptocompare,proxy_anchor,1590073814.0,52.0
2020-01-02,bitcoin,BTC,Bitcoin,6965.72,187393954.35,139442468323.7398,cryptocompare,cryptocompare,proxy_anchor,1515152852412.0,1.0
2020-01-02,ethereum,ETH,Ethereum,127.05,287644676.75,15335775661.461658,cryptocompare,cryptocompare,proxy_anchor,277796098715.0,2.0
2020-01-02,ripple,XRP,XRP,0.1874,16227270.33,11538215882.697691,cryptocompare,cryptocompare,proxy_anchor,87944651031.0,4.0
