coin_id,price,market_cap,volume_usd,history_days,symbol,name,sector,rebalance_date,universe_rank
bitcoin,6423.61,128590301354.2115,233613490.19,91,BTC,Bitcoin,Store of Value,2020-03-31,1
ethereum,133.1,16066050692.959833,117010142.69,91,ETH,Ethereum,Smart Contract Platform / L1,2020-03-31,2
ripple,0.1738,10700864036.354635,37178734.5,91,XRP,XRP,Payments,2020-03-31,3
bitcoin-cash,218.48,4374663320.840856,43395733.15,91,BCH,Bitcoin Cash,Payments,2020-03-31,4
litecoin,39.15,3016526186.8159156,31113080.25,91,LTC,Litecoin,Payments,2020-03-31,5
ethereum-classic,4.942,773396703.1689091,36481878.66,91,ETC,Ethereum Classic,Store of Value,2020-03-31,6
okb,4.309,90483611.86330089,31152283.64,91,OKB,OKB,Exchange / Trading Infrastructure,2020-03-31,7
bitcoin,7367.37,147482852864.35153,445330043.76,99,BTC,Bitcoin,Store of Value,2020-04-08,1
ethereum,173.21,20907593091.867565,288902140.84,99,ETH,Ethereum,Smart Contract Platform / L1,2020-04-08,2
ripple,0.2023,12455608714.35295,51749652.07,99,XRP,XRP,Payments,2020-04-08,3
bitcoin-cash,267.51,5356399601.602606,236892848.45,99,BCH,Bitcoin Cash,Payments,2020-04-08,4
litecoin,46.61,3591322747.5731754,59801362.5,99,LTC,Litecoin,Payments,2020-04-08,5
binancecoin,15.12,2037679125.9032936,29158448.13,99,BNB,BNB,Exchange / Trading Infrastructure,2020-04-08,6
ethereum-classic,5.828,912050988.6823962,69371531.2,99,ETC,Ethereum Classic,Store of Value,2020-04-08,7
okb,4.956,104069802.83001143,32519867.85,99,OKB,OKB,Exchange / Trading Infrastructure,2020-04-08,8
bitcoin,7135.41,142839388161.1515,308254465.67,113,BTC,Bitcoin,Store of Value,2020-04-22,1
ethereum,183.02,22091725002.4456,286183673.61,113,ETH,Ethereum,Smart Contract Platform / L1,2020-04-22,2
ripple,0.1882,11587471873.659046,43363142.89,113,XRP,XRP,Payments,2020-04-22,3
bitcoin-cash,233.33,4672007472.7746105,72174350.83,113,BCH,Bitcoin Cash,Payments,2020-04-22,4
litecoin,41.9,3228414999.427506,36478175.66,113,LTC,Litecoin,Payments,2020-04-22,5
binancecoin,15.76,2123930094.1954966,39615027.79,113,BNB,BNB,Exchange / Trading Infrastructure,2020-04-22,6
ethereum-classic,5.409,846479718.2194716,44898257.6,113,ETC,Ethereum Classic,Store of Value,2020-04-22,7
zcash,45.23,752965653.653191,31955841.96,113,ZEC,Zcash,Store of Value,2020-04-22,8
bitcoin,8637.56,172910005956.9437,1439132256.65,121,BTC,Bitcoin,Store of Value,2020-04-30,1
ethereum,206.44,24918673967.352577,470224989.05,121,ETH,Ethereum,Smart Contract Platform / L1,2020-04-30,2
ripple,0.2116,13028209609.278715,97136237.3,121,XRP,XRP,Payments,2020-04-30,3
