,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2020-01-01,False,False,False,4428120096089.538,4284189105366.4556
2020-01-02,False,False,False,4875826632150.853,4736384163827.112
2020-01-03,False,False,False,199876235669.61514,52947291532.361145
2020-01-04,False,False,False,5706285834663.88,5559000563264.524
2020-01-05,False,False,False,4437385353625.565,4290050836997.8525
2020-01-06,False,False,False,5336740961930.472,5181344440905.795
2020-01-07,False,False,False,6083673835755.383,5920316603364.43
2020-01-08,False,False,False,7488503240950.988,7327452326754.791
2020-01-09,False,False,False,6781165227817.144,6624674501840.419
2020-01-10,False,False,False,6694939218456.22,6530982435419.203
2020-01-11,False,False,False,218661162313.34216,58022026307.11224
2020-01-12,False,False,False,4418041710575.681,4254261489698.8735
2020-01-13,False,False,False,4343179774285.9585,4180899531035.5127
2020-01-14,False,False,False,242920968406.09213,66339790730.231964
2020-01-15,False,False,False,7577677100881.8,7401250865509.797
2020-01-16,False,False,False,7314254348623.316,7139701433767.461
2020-01-17,False,False,False,9742448258290.768,9564388122293.332
2020-01-18,False,False,False,4366963739374.0273,4188614337705.9546
2020-01-19,False,False,False,9458743725602.117,9284531924035.373
2020-01-20,False,False,False,8116800765680.152,7943961424624.063
2020-01-21,False,False,False,5560034347562.1,5385377136917.73
2020-01-22,False,False,False,9131374918373.121,8957870366366.492
2020-01-23,False,False,False,7185208116809.783,7017168183680.027
2020-01-24,False,False,False,3813266289453.0103,3644475666866.581
2020-01-25,False,False,False,7842866703098.896,7675795659827.888
2020-01-26,False,False,False,3963703483209.002,3791497924238.2007
2020-01-27,False,False,False,8325031068361.666,8146888656799.78
2020-01-28,False,False,False,4167565961302.1787,3979553885131.6587
2020-01-29,False,False,False,8650401951564.181,8464507620396.9
2020-01-30,False,False,False,8132901082370.958,7942698794641.647
2020-01-31,False,False,False,4538785133592.25,4351768771917.062
2020-02-01,False,False,False,262331019445.131,74469481533.65594
2020-02-02,False,False,False,3872357996704.8394,3685501381746.0312
2020-02-03,False,False,False,3815573113785.122,3629623131506.1206
2020-02-04,False,False,False,6851157541262.25,6667549309720.36
2020-02-05,False,False,False,275529956119.8797,83124845248.90598
2020-02-06,False,False,False,3970642854733.0503,3775346688626.535
2020-02-07,False,False,False,3951842415419.0986,3755494883705.5303
2020-02-08,False,False,False,285242919119.9648,87095934732.78622
2020-02-09,False,False,False,4306258603132.6787,4102916247153.754
2020-02-10,False,False,False,6707677135574.091,6510335290652.177
2020-02-11,False,False,False,9062103437842.186,8856526029120.924
2020-02-12,False,False,False,8660119104840.742,8452970252856.845
2020-02-13,False,False,False,8351482822949.241,8146628278128.793
2020-02-14,False,False,False,10762955645484.914,10555557764785.256
2020-02-15,False,False,False,10038890572683.154,9840599856288.004
2020-02-16,False,False,False,9931742535337.395,9733049849761.178
2020-02-17,False,False,False,9464610512630.826,9270382527575.193
2020-02-18,False,False,False,10104950600610.598,9901111388303.283
2020-02-19,False,False,False,9203175722268.805,9010950576683.578
2020-02-20,False,False,False,5210630285608.039,5018277622907.1045
2020-02-21,False,False,False,6281464233495.046,6087328733380.476
2020-02-22,False,False,False,6629285558823.391,6435678544086.318
2020-02-23,False,False,False,6337183035188.523,6137451795771.981
2020-02-24,False,False,False,5649967263042.512,5456505381600.396
2020-02-25,False,False,False,5169469743004.126,4982974860271.507
2020-02-26,False,False,False,4949390296906.998,4773358623913.423
2020-02-27,False,False,False,5149543962666.62,4972951774878.729
2020-02-28,False,False,False,4249173296309.598,4074627187704.8164
2020-02-29,False,False,False,4880036609018.845,4708970496551.347
2020-03-01,False,False,False,4522613850353.125,4351469065630.5674
2020-03-02,False,False,False,4720242832901.35,4541684038920.828
2020-03-03,False,False,False,4787165767067.544,4611691005558.894
2020-03-04,False,False,False,5014876927801.781,4839240017370.489
2020-03-05,False,False,False,5300042589980.385,5118379344774.772
2020-03-06,False,False,False,4851559425050.927,4668183206597.112
2020-03-07,False,False,False,261393309150.85678,83155209706.22675
2020-03-08,False,False,False,4565590767170.61,4404289222787.812
2020-03-09,False,False,False,230586111799.8199,71552049943.88562
2020-03-10,False,False,False,229360607673.7346,71322260313.13214
2020-03-11,False,False,False,228670359780.789,69617080274.76392
2020-03-12,False,False,False,139753140165.0135,41327142650.78706
2020-03-13,False,False,False,162311101297.49255,49555943434.28096
2020-03-14,False,False,False,2871650199153.2603,2767919529662.3955
2020-03-15,False,False,False,3103669132094.5317,2996430240542.8125
2020-03-16,False,False,False,2794117809760.952,2693125054856.4673
2020-03-17,False,False,False,2933583974687.7256,2826732639079.5054
2020-03-18,False,False,False,3021469137004.1587,2913108415128.3867
2020-03-19,False,False,False,3633058461186.5347,3509247149005.4346
2020-03-20,False,False,False,3591599661823.0576,3467356753250.334
2020-03-21,False,False,False,3559558810516.0557,3435536304367.8115
2020-03-22,False,False,False,3176453248389.153,3059783094871.497
2020-03-23,False,False,False,3516113075634.4204,3385922904910.146
2020-03-24,False,False,False,3828533282881.902,3693065264817.5747
2020-03-25,False,False,False,3646285860093.5664,3512278583619.9985
2020-03-26,False,False,False,3597575129196.8706,3462291880830.8125
2020-03-27,False,False,False,3397940109853.189,3270166758811.6934
2020-03-28,False,False,False,3356249546133.67,3231084790908.1514
2020-03-29,False,False,False,3206996361894.58,3089244214640.039
2020-03-30,False,False,False,3463042843250.575,3334858915122.243
2020-03-31,False,False,False,3798539726448.6226,3669949425094.411
2020-04-01,False,False,False,3799059153248.938,3665664039004.305
2020-04-02,False,False,False,4108339020256.0645,3972125517515.2964
2020-04-03,False,False,False,3930436812551.2295,3795439226546.4175
2020-04-04,False,False,False,4065590133783.368,3927944715926.9775
2020-04-05,False,False,False,3867238808405.255,3731481324486.4346
2020-04-06,False,False,False,4347173741013.072,4200094258616.773
2020-04-07,False,False,False,4079146809339.023,3934983004792.4443
2020-04-08,False,False,False,4267787234339.625,4120304381475.2734
2020-04-09,False,False,False,4256217974855.5186,4110192860824.0996
2020-04-10,False,False,False,3751722226290.5254,3614065998505.9585
2020-04-11,False,False,False,3873730758827.5913,3735852126779.994
2020-04-12,False,False,False,3830374423006.119,3691972109993.5464
2020-04-13,False,False,False,3886525099251.9033,3749210385124.159
2020-04-14,False,False,False,3868935182578.904,3731219900557.0786
2020-04-15,False,False,False,3728615855375.337,3595903167892.784
2020-04-16,False,False,False,4001945966469.1284,3859524161829.7427
2020-04-17,False,False,False,3988536482010.507,3847664700961.2607
2020-04-18,False,False,False,3661388876007.129,3515969518321.2817
2020-04-19,False,False,False,3683706196584.913,3540917454939.105
2020-04-20,False,False,False,3504652469197.2563,3367677667255.494
2020-04-21,False,False,False,3453560084753.2046,3316331850050.869
2020-04-22,False,False,False,3685604801306.5464,3542765413145.395
2020-04-23,False,False,False,3835597034275.246,3685674340584.778
2020-04-24,False,False,False,3909591968868.002,3759265103974.0605
2020-04-25,False,False,False,3739746549345.553,3588669395362.6484
2020-04-26,False,False,False,3945741956378.131,3791573363120.717
2020-04-27,False,False,False,3857880018484.9536,3701988642970.4375
2020-04-28,False,False,False,3943985299425.432,3788636221974.417
2020-04-29,True,False,False,4239134721003.2817,4063274005021.973
2020-04-30,True,False,False,4092930331306.1553,3920020325349.2114
2020-05-01,True,False,False,4406937189566.213,4230192461680.7256
2020-05-02,True,False,False,4521252355484.789,4341465033185.44
2020-05-03,True,False,False,4369978361383.604,4191670798141.25
2020-05-04,True,False,False,4244973604014.5107,4067177310338.115
2020-05-05,True,False,False,4540482951688.121,4359721935117.5024
2020-05-06,True,False,False,4679696762296.171,4496464476034.183
2020-05-07,True,True,True,4981659676916.121,4781477223090.154
2020-05-08,True,True,True,4848092152742.561,4651748224338.385
2020-05-09,True,True,True,4875993684966.854,4684995666413.469
2020-05-10,True,False,False,4317356494100.52,4142494895740.08
