coin_id,price,market_cap,volume_usd,history_days,symbol,name,sector,rebalance_date,universe_rank
bitcoin,40030.52,801346381577.6161,1257968294.92,99,BTC,Bitcoin,Store of Value,2021-07-29,1
ethereum,2383.24,287672837366.5634,669545747.5,99,ETH,Ethereum,Smart Contract Platform / L1,2021-07-29,2
cardano,1.284,47454919819.99344,29005091.73,99,ADA,Cardano,Smart Contract Platform / L1,2021-07-29,3
ripple,0.7495,46146706531.92059,75964390.43,99,XRP,XRP,Payments,2021-07-29,4
binancecoin,317.13,42738702460.16611,30488086.01,99,BNB,BNB,Exchange / Trading Infrastructure,2021-07-29,5
dogecoin,0.2048,31526218892.99317,37747882.58,99,DOGE,Dogecoin,Meme,2021-07-29,6
polkadot,15.26,25657288364.593666,39701831.97,99,DOT,Polkadot,Smart Contract Platform / L1,2021-07-29,7
internet-computer,41.22,22750249780.246506,25869822.24,99,ICP,Internet Computer,Smart Contract Platform / L1,2021-07-29,8
solana,31.28,17998002931.066902,52394282.89,99,SOL,Solana,Smart Contract Platform / L1,2021-07-29,9
chainlink,19.36,14070835875.99984,52071240.39,99,LINK,Chainlink,Oracle / Middleware,2021-07-29,10
litecoin,141.47,10900331025.513348,43617143.76,99,LTC,Litecoin,Payments,2021-07-29,11
bitcoin-cash,538.41,10780677767.182007,78946673.09,99,BCH,Bitcoin Cash,Payments,2021-07-29,12
stellar,0.2723,9030738815.677227,29950003.77,99,XLM,Stellar,Payments,2021-07-29,13
axie-infinity,44.23,7510347785.850399,38389252.62,99,AXS,Axie Infinity,Other,2021-07-29,14
monero,241.5,4453685788.337401,39165122.78,99,XMR,Monero,Privacy,2021-07-29,15
bitcoin,41474.72,830256933933.0288,1056705603.97,101,BTC,Bitcoin,Store of Value,2021-07-31,1
ethereum,2531.75,305598977024.05005,638035305.39,101,ETH,Ethereum,Smart Contract Platform / L1,2021-07-31,2
cardano,1.318,48711514270.05557,30409147.12,101,ADA,Cardano,Smart Contract Platform / L1,2021-07-31,3
ripple,0.7456,45906583575.98398,32122462.27,101,XRP,XRP,Payments,2021-07-31,4
binancecoin,332.58,44820854741.59507,52150509.7,101,BNB,BNB,Exchange / Trading Infrastructure,2021-07-31,5
dogecoin,0.2079,32003422401.627342,47790583.84,101,DOGE,Dogecoin,Meme,2021-07-31,6
polkadot,16.79,28229742571.52868,52374335.2,101,DOT,Polkadot,Smart Contract Platform / L1,2021-07-31,7
internet-computer,41.97,23164191734.035564,26918650.5,101,ICP,Internet Computer,Smart Contract Platform / L1,2021-07-31,8
solana,36.74,21139598071.847763,77556257.28,101,SOL,Solana,Smart Contract Platform / L1,2021-07-31,9
chainlink,22.72,16512881771.834522,123020375.85,101,LINK,Chainlink,Oracle / Middleware,2021-07-31,10
litecoin,144.44,11129170943.133865,35223856.93,101,LTC,Litecoin,Payments,2021-07-31,11
bitcoin-cash,545.39,10920439530.17848,54127163.63,101,BCH,Bitcoin Cash,Payments,2021-07-31,12
stellar,0.2846,9438664219.396765,38710649.76,101,XLM,Stellar,Payments,2021-07-31,13
monero,240.01,4426207561.320331,45143954.93,101,XMR,Monero,Privacy,2021-07-31,14
neo,45.83,3231138225.909859,54370938.61,101,NEO,NEO,Smart Contract Platform / L1,2021-07-31,15
