coin_id,price,market_cap,volume_usd,history_days,symbol,name,sector,rebalance_date,universe_rank
bitcoin,58793.8,1176956954073.9927,2727194335.71,90,BTC,Bitcoin,Store of Value,2021-03-31,1
ethereum,1919.08,231645654123.5564,1070069136.01,90,ETH,Ethereum,Smart Contract Platform / L1,2021-03-31,2
filecoin,190.81,147557611534.80923,334777980.99,90,FIL,Filecoin,Oracle / Middleware,2021-03-31,3
polkadot,37.06,62310557456.87034,53433355.41,90,DOT,Polkadot,Smart Contract Platform / L1,2021-03-31,4
cardano,1.192,44054723072.766495,49419154.93,90,ADA,Cardano,Smart Contract Platform / L1,2021-03-31,5
binancecoin,302.49,40765711560.481964,239158448.77,90,BNB,BNB,Exchange / Trading Infrastructure,2021-03-31,6
ripple,0.57,35094893559.96629,80963861.76,90,XRP,XRP,Payments,2021-03-31,7
chainlink,29.4,21367901588.553474,75128956.16,90,LINK,Chainlink,Oracle / Middleware,2021-03-31,8
the-graph,1.719,18561607350.59113,37191380.24,90,GRT,The Graph,Oracle / Middleware,2021-03-31,9
uniswap,28.05,17771294266.787884,42978605.78,90,UNI,Uniswap,DeFi,2021-03-31,10
litecoin,196.72,15157369897.073484,96696222.43,90,LTC,Litecoin,Payments,2021-03-31,11
stellar,0.4058,13458221856.047812,54779490.06,90,XLM,Stellar,Payments,2021-03-31,12
theta-token,12.32,12319000132.763649,114885413.74,90,THETA,Theta Network,Smart Contract Platform / L1,2021-03-31,13
algorand,1.367,12187682722.575243,45011281.34,90,ALGO,Algorand,Smart Contract Platform / L1,2021-03-31,14
bitcoin-cash,541.55,10843550537.355206,232236420.63,90,BCH,Bitcoin Cash,Payments,2021-03-31,15
tron,0.09304,8822289949.759535,58289585.64,90,TRX,TRON,Smart Contract Platform / L1,2021-03-31,16
aave,382.48,5804040448.157378,33542456.48,90,AAVE,Aave,DeFi,2021-03-31,17
monero,246.35,4543128339.366124,165944986.88,90,XMR,Monero,Privacy,2021-03-31,18
neo,50.8,3581536589.051295,84905857.01,90,NEO,NEO,Smart Contract Platform / L1,2021-03-31,19
zcash,158.27,2634797125.8830547,45069679.78,90,ZEC,Zcash,Store of Value,2021-03-31,20
bitcoin,58106.85,1163205324147.0083,1241735091.75,99,BTC,Bitcoin,Store of Value,2021-04-09,1
ethereum,2066.55,249446258899.5954,624512595.28,99,ETH,Ethereum,Smart Contract Platform / L1,2021-04-09,2
filecoin,171.96,132980487812.6188,109800252.58,99,FIL,Filecoin,Oracle / Middleware,2021-04-09,3
polkadot,40.77,68548338573.03302,77591484.57,99,DOT,Polkadot,Smart Contract Platform / L1,2021-04-09,4
ripple,1.018,62678248498.32577,182781003.91,99,XRP,XRP,Payments,2021-04-09,5
binancecoin,453.23,61080509936.054886,495579736.41,99,BNB,BNB,Exchange / Trading Infrastructure,2021-04-09,6
cardano,1.202,44424309675.725945,28257531.97,99,ADA,Cardano,Smart Contract Platform / L1,2021-04-09,7
chainlink,31.58,22952324223.35098,60092454.44,99,LINK,Chainlink,Oracle / Middleware,2021-04-09,8
litecoin,220.97,17025843971.921144,106900751.15,99,LTC,Litecoin,Payments,2021-04-09,9
stellar,0.486,16118028146.967068,70423423.11,99,XLM,Stellar,Payments,2021-04-09,10
solana,27.67,15920867682.308863,26523027.61,99,SOL,Solana,Smart Contract Platform / L1,2021-04-09,11
avalanche-2,31.48,13571890724.052681,32766305.71,99,AVAX,Avalanche,Smart Contract Platform / L1,2021-04-09,12
theta-token,12.63,12628974973.766632,53365566.75,99,THETA,Theta Network,Smart Contract Platform / L1,2021-04-09,13
bitcoin-cash,630.46,12623811045.667,114796126.57,99,BCH,Bitcoin Cash,Payments,2021-04-09,14
algorand,1.393,12419489416.640318,39901833.81,99,ALGO,Algorand,Smart Contract Platform / L1,2021-04-09,15
vechain,0.1263,10859849983.596415,46655029.08,99,VET,VeChain,Payments,2021-04-09,16
tezos,6.824,7385388416.187221,47347660.91,99,XTZ,Tezos,Smart Contract Platform / L1,2021-04-09,17
monero,273.28,5039765019.614265,104956297.47,99,XMR,Monero,Privacy,2021-04-09,18
neo,60.72,4280923261.5589495,31318130.36,99,NEO,NEO,Smart Contract Platform / L1,2021-04-09,19
zcash,194.25,3233773562.284598,83342958.52,99,ZEC,Zcash,Store of Value,2021-04-09,20
bitcoin,51178.03,1024501534248.6354,5241192198.03,113,BTC,Bitcoin,Store of Value,2021-04-23,1
ethereum,2369.67,286034848576.9056,3462302445.7,113,ETH,Ethereum,Smart Contract Platform / L1,2021-04-23,2
filecoin,138.88,107398988994.04802,79816213.41,113,FIL,Filecoin,Oracle / Middleware,2021-04-23,3
ripple,1.171,72098456769.68513,522515244.11,113,XRP,XRP,Payments,2021-04-23,4
binancecoin,527.13,71039801431.04518,687489285.61,113,BNB,BNB,Exchange / Trading Infrastructure,2021-04-23,5
polkadot,32.26,54240112886.09382,61579225.39,113,DOT,Polkadot,Smart Contract Platform / L1,2021-04-23,6
cardano,1.159,42835087283.000305,177927123.17,113,ADA,Cardano,Smart Contract Platform / L1,2021-04-23,7
dogecoin,0.2498,38453366598.973114,531826797.64,113,DOGE,Dogecoin,Meme,2021-04-23,8
chainlink,35.24,25612409931.31376,242432734.55,113,LINK,Chainlink,Oracle / Middleware,2021-04-23,9
solana,37.21,21410028422.7941,179063596.72,113,SOL,Solana,Smart Contract Platform / L1,2021-04-23,10
uniswap,32.96,20882062710.635605,99713881.32,113,UNI,Uniswap,DeFi,2021-04-23,11
litecoin,241.72,18624641376.172237,456486913.72,113,LTC,Litecoin,Payments,2021-04-23,12
vechain,0.2025,17411873489.13915,168187522.15,113,VET,VeChain,Payments,2021-04-23,13
bitcoin-cash,840.51,16829678999.45051,225044037.19,113,BCH,Bitcoin Cash,Payments,2021-04-23,14
the-graph,1.398,15095478229.276556,62647261.04,113,GRT,The Graph,Oracle / Middleware,2021-04-23,15
stellar,0.451,14957264803.049688,195196307.53,113,XLM,Stellar,Payments,2021-04-23,16
tron,0.1091,10345140085.111406,36580240.97,113,TRX,TRON,Smart Contract Platform / L1,2021-04-23,17
avalanche-2,23.59,10170295494.9302,29968240.84,113,AVAX,Avalanche,Smart Contract Platform / L1,2021-04-23,18
theta-token,9.959,9958191746.931265,131710432.7,113,THETA,Theta Network,Smart Contract Platform / L1,2021-04-23,19
monero,355.18,6550145417.398254,116691925.3,113,XMR,Monero,Privacy,2021-04-23,20
bitcoin,57757.97,1156221309809.828,2719315702.2,120,BTC,Bitcoin,Store of Value,2021-04-30,1
ethereum,2775.96,335076739907.0532,1166672092.0,120,ETH,Ethereum,Smart Contract Platform / L1,2021-04-30,2
filecoin,164.19,126971774214.66551,49477199.76,120,FIL,Filecoin,Oracle / Middleware,2021-04-30,3
ripple,1.599,98450411934.01071,400890562.8,120,XRP,XRP,Payments,2021-04-30,4
binancecoin,623.21,83988228045.91216,552007106.33,120,BNB,BNB,Exchange / Trading Infrastructure,2021-04-30,5
polkadot,36.54,61436259295.03621,36328621.5,120,DOT,Polkadot,Smart Contract Platform / L1,2021-04-30,6
dogecoin,0.3384,52092150748.96918,175987022.81,120,DOGE,Dogecoin,Meme,2021-04-30,7
cardano,1.354,50042026040.709595,67299102.94,120,ADA,Cardano,Smart Contract Platform / L1,2021-04-30,8
chainlink,38.17,27741932096.431503,117948639.06,120,LINK,Chainlink,Oracle / Middleware,2021-04-30,9
uniswap,40.69,25779463947.080177,66497919.14,120,UNI,Uniswap,DeFi,2021-04-30,10
solana,42.87,24666700308.65851,77848646.54,120,SOL,Solana,Smart Contract Platform / L1,2021-04-30,11
litecoin,271.53,20921516104.881874,169993577.42,120,LTC,Litecoin,Payments,2021-04-30,12
bitcoin-cash,995.92,19941480659.51952,137045942.88,120,BCH,Bitcoin Cash,Payments,2021-04-30,13
stellar,0.5304,17590539360.39369,125018971.17,120,XLM,Stellar,Payments,2021-04-30,14
vechain,0.2009,17274298192.434837,34689191.25,120,VET,VeChain,Payments,2021-04-30,15
the-graph,1.56,16844739654.986715,25900324.17,120,GRT,The Graph,Oracle / Middleware,2021-04-30,16
avalanche-2,32.86,14166846543.595015,44780325.48,120,AVAX,Avalanche,Smart Contract Platform / L1,2021-04-30,17
theta-token,11.19,11189091841.365685,45178486.28,120,THETA,Theta Network,Smart Contract Platform / L1,2021-04-30,18
monero,422.33,7788509809.476335,107988507.97,120,XMR,Monero,Privacy,2021-04-30,19
neo,97.03,6840875890.465495,72016717.53,120,NEO,NEO,Smart Contract Platform / L1,2021-04-30,20
bitcoin,57374.33,1148541456392.2744,2439662460.45,127,BTC,Bitcoin,Store of Value,2021-05-07,1
