variant,weights,freq,stop_lb,multiple,cagr,sharpe,mdd,turnover
exbtc,all_best,14D,12,159.15046599153155,3.4051250787630885,2.145643609412418,-0.5230448340476341,45.420485686209
all,all_best,14D,12,158.33508454007347,3.3985123887311186,2.142502333884719,-0.523044833998564,44.83432269878367
all,all_alt,14D,12,142.4073070527896,3.264215718055472,2.113564504550751,-0.5710243186310985,44.834485721860126
all,all_best,14D,13,134.2630861801489,3.1914000021031965,2.0522972016890786,-0.642133873086217,44.83442406068017
exbtc,all_best,14D,13,130.9909648055467,3.1612636419183007,2.044778764624228,-0.6421338730862174,45.420638612465616
all,all_alt,14D,13,120.75697631130356,3.063428284769552,2.0232970045804066,-0.6668942010989579,44.83458675211445
all,all_best,14D,14,96.09905417732855,2.8008592889456025,1.9572644996581368,-0.6554855216277755,46.00539337796933
all,all_alt,14D,14,96.09905417732855,2.8008592889456025,1.9572644996581368,-0.6554855216277755,46.00539337796933
exbtc,all_best,14D,14,93.05586712105368,2.7652554788777395,1.9469637998947744,-0.6554855216529978,47.76387297088761
exbtc,all_alt,14D,12,88.7887323523946,2.713917270623168,1.9633810762871193,-0.5710243186752327,46.00640004460034
exbtc,all_alt,14D,13,75.8647884853648,2.5469210016665143,1.886420719425813,-0.6668942011341392,46.006499122836225
all,all_best,14D,10,73.03514940638921,2.5077073971209107,1.8746077864954618,-0.6506984518144995,46.5937483519096
exbtc,all_best,14D,10,70.8400738591271,2.476540597440481,1.8669654075239108,-0.6506984518144996,46.59378433055784
exbtc,all_alt,14D,14,64.57436198779001,2.3836432810769024,1.8411743361861685,-0.6554855216529978,47.76401866857613
all,all_alt,14D,10,63.56919267289084,2.3681533945802857,1.831792581991952,-0.6618411536588604,46.59393409319872
exbtc,all_best,14D,11,48.865215987607584,2.1187338464566476,1.7719812972861269,-0.5545747465642068,46.007096669705106
all,all_best,14D,11,47.39223800514749,2.0909405541396993,1.758935537345177,-0.5545747465265716,45.42092464191692
exbtc,all_alt,14D,10,43.6323832149457,2.0171128566865653,1.7148365765602671,-0.6618411536589321,46.59410790188712
all,all_alt,14D,11,41.249761648004224,1.9679665082211084,1.7144593945824724,-0.612306016529856,45.42111075516619
exbtc,all_alt,14D,11,30.669747677403144,1.7215422662814972,1.6292946525447722,-0.612306016562614,46.007388168574
all,all_best,17D,10,5.6408526554273095,0.6586099235976457,1.2104249858439995,-0.4244274385835036,21.669474891934794
all,all_alt,17D,10,5.6408526554273095,0.6586099235976457,1.2104249858439995,-0.4244274385835036,21.669474891934794
exbtc,all_best,17D,10,5.6408526554273095,0.6586099235976457,1.2104249858439995,-0.4244274385835036,21.669474891934794
all,all_best,13D,10,5.106200545544412,0.6110014482947443,1.108926722747376,-0.51448399986855,28.697496991019726
all,all_alt,13D,10,5.106200545544412,0.6110014482947443,1.108926722747376,-0.51448399986855,28.697496991019726
exbtc,all_best,13D,10,5.106200545544412,0.6110014482947443,1.108926722747376,-0.51448399986855,28.697496991019726
exbtc,all_alt,13D,10,5.106200545544412,0.6110014482947443,1.108926722747376,-0.51448399986855,28.697496991019726
all,all_best,13D,13,5.084194864671992,0.6089678067939897,1.1166725859746418,-0.5169568470227308,23.4247481831442
all,all_alt,13D,13,5.084194864671992,0.6089678067939897,1.1166725859746418,-0.5169568470227308,23.4247481831442
exbtc,all_best,13D,13,5.084194864671992,0.6089678067939897,1.1166725859746418,-0.5169568470227308,23.4247481831442
exbtc,all_alt,13D,13,5.084194864671992,0.6089678067939897,1.1166725859746418,-0.5169568470227308,23.4247481831442
all,all_best,13D,14,4.566910176567041,0.559259614732462,1.0564463819109504,-0.5293290034192838,23.71638244312919
all,all_alt,13D,14,4.566910176567041,0.559259614732462,1.0564463819109504,-0.5293290034192838,23.71638244312919
exbtc,all_best,13D,14,4.566910176567041,0.559259614732462,1.0564463819109504,-0.5293290034192838,23.71638244312919
exbtc,all_alt,13D,14,4.566910176567041,0.559259614732462,1.0564463819109504,-0.5293290034192838,23.71638244312919
all,all_best,13D,11,4.552469212044032,0.5578159815252315,1.053791155925546,-0.4978037864096765,25.76762032334245
all,all_alt,13D,11,4.552469212044032,0.5578159815252315,1.053791155925546,-0.4978037864096765,25.76762032334245
exbtc,all_best,13D,11,4.552469212044032,0.5578159815252315,1.053791155925546,-0.4978037864096765,25.76762032334245
exbtc,all_alt,13D,11,4.552469212044032,0.5578159815252315,1.053791155925546,-0.4978037864096765,25.76762032334245
all,all_best,12D,11,4.467309696157552,0.5492362061137621,1.2250781298157636,-0.4774458628030963,26.352269920733196
all,all_alt,12D,11,4.467309696157552,0.5492362061137621,1.2250781298157636,-0.4774458628030963,26.352269920733196
exbtc,all_best,12D,11,4.467309696157552,0.5492362061137621,1.2250781298157636,-0.4774458628030963,26.352269920733196
exbtc,all_alt,12D,11,4.467309696157552,0.5492362061137621,1.2250781298157636,-0.4774458628030963,26.352269920733196
exbtc,all_alt,17D,10,4.196663442052013,0.521176111221084,1.0674262670059573,-0.4244274385835035,21.669557918960418
all,all_best,11D,11,4.180185039348424,0.5194267763760254,1.1644815433111695,-0.4596813754871475,28.107272191688864
all,all_alt,11D,11,4.180185039348424,0.5194267763760254,1.1644815433111695,-0.4596813754871475,28.107272191688864
exbtc,all_best,11D,11,4.180185039348424,0.5194267763760254,1.1644815433111695,-0.4596813754871475,28.107272191688864
exbtc,all_alt,11D,11,4.180185039348424,0.5194267763760254,1.1644815433111695,-0.4596813754871475,28.107272191688864
all,all_best,11D,10,4.148402854163022,0.516038975120821,1.1139980242513772,-0.478034693843567,29.27913065025802
all,all_alt,11D,10,4.148402854163022,0.516038975120821,1.1139980242513772,-0.478034693843567,29.27913065025802
exbtc,all_best,11D,10,4.148402854163022,0.516038975120821,1.1139980242513772,-0.478034693843567,29.27913065025802
exbtc,all_alt,11D,10,4.148402854163022,0.516038975120821,1.1139980242513772,-0.478034693843567,29.27913065025802
all,all_best,13D,12,4.0081493331443045,0.5008654623901359,0.9910163117486053,-0.4822175384836629,24.010527540843064
all,all_alt,13D,12,4.0081493331443045,0.5008654623901359,0.9910163117486053,-0.4822175384836629,24.010527540843064
exbtc,all_best,13D,12,4.0081493331443045,0.5008654623901359,0.9910163117486053,-0.4822175384836629,24.010527540843064
exbtc,all_alt,13D,12,4.0081493331443045,0.5008654623901359,0.9910163117486053,-0.4822175384836629,24.010527540843064
all,all_best,16D,10,3.7242235618137998,0.4689589259838287,0.9890071822654699,-0.4253166078795646,26.651481534644233
all,all_alt,16D,10,3.7242235618137998,0.4689589259838287,0.9890071822654699,-0.4253166078795646,26.651481534644233
exbtc,all_best,16D,10,3.7242235618137998,0.4689589259838287,0.9890071822654699,-0.4253166078795646,26.651481534644233
exbtc,all_alt,16D,10,3.7242235618137998,0.4689589259838287,0.9890071822654699,-0.4253166078795646,26.651481534644233
all,all_best,12D,10,3.655690887380621,0.4610010395918829,1.089819365104686,-0.49692060908791635,24.010108852521775
all,all_alt,12D,10,3.655690887380621,0.4610010395918829,1.089819365104686,-0.49692060908791635,24.010108852521775
exbtc,all_best,12D,10,3.655690887380621,0.4610010395918829,1.089819365104686,-0.49692060908791635,24.010108852521775
exbtc,all_alt,12D,10,3.655690887380621,0.4610010395918829,1.089819365104686,-0.49692060908791635,24.010108852521775
all,all_best,16D,11,3.6439992514979043,0.4596329119916833,1.0197905136089482,-0.4157685353339836,26.651371445445857
all,all_alt,16D,11,3.6439992514979043,0.4596329119916833,1.0197905136089482,-0.4157685353339836,26.651371445445857
exbtc,all_best,16D,11,3.6439992514979043,0.4596329119916833,1.0197905136089482,-0.4157685353339836,26.651371445445857
exbtc,all_alt,16D,11,3.6439992514979043,0.4596329119916833,1.0197905136089482,-0.4157685353339836,26.651371445445857
all,all_best,17D,12,3.639291324733151,0.45908112438416526,0.9816166799727951,-0.47869296653538596,19.32569050696959
all,all_alt,17D,12,3.639291324733151,0.45908112438416526,0.9816166799727951,-0.47869296653538596,19.32569050696959
exbtc,all_best,17D,12,3.639291324733151,0.45908112438416526,0.9816166799727951,-0.47869296653538596,19.32569050696959
all,all_best,11D,12,3.380657095285505,0.427959443790916,1.0378890323288377,-0.4609325748682285,27.522110952163505
all,all_alt,11D,12,3.380657095285505,0.427959443790916,1.0378890323288377,-0.4609325748682285,27.522110952163505
exbtc,all_best,11D,12,3.380657095285505,0.427959443790916,1.0378890323288377,-0.4609325748682285,27.522110952163505
