,equity
2022-11-21,100000.0
2022-11-22,100000.0
2022-11-23,100000.0
2022-11-24,100000.0
2022-11-25,100000.0
2022-11-26,100000.0
2022-11-27,100000.0
2022-11-28,100000.0
2022-11-29,100000.0
2022-11-30,100000.0
2022-12-01,100000.0
2022-12-02,100000.0
2022-12-03,100000.0
2022-12-04,100000.0
2022-12-05,100000.0
2022-12-06,100000.0
2022-12-07,100000.0
2022-12-08,100000.0
2022-12-09,100000.0
2022-12-10,100000.0
2022-12-11,100000.0
2022-12-12,100000.0
2022-12-13,100000.0
2022-12-14,100000.0
2022-12-15,100000.0
2022-12-16,100000.0
2022-12-17,100000.0
2022-12-18,99575.13025496782
2022-12-19,97787.64414753986
2022-12-20,100512.98855240116
2022-12-21,100037.27648313789
2022-12-22,100006.8271045327
2022-12-23,99798.43916970353
2022-12-24,100132.60920560682
2022-12-25,100084.67522288069
2022-12-26,100601.89835907056
2022-12-27,99320.11035696635
2022-12-28,98368.15097545649
2022-12-29,98907.9732598299
2022-12-30,98719.03248672708
2022-12-31,98313.67513404567
2023-01-01,98804.67136405411
2023-01-02,99138.9603428426
2023-01-03,99139.43529196412
2023-01-04,100190.05344941547
2023-01-05,100065.4612927382
2023-01-06,100780.84031549277
2023-01-07,100760.44169509166
2023-01-08,101789.76916419435
2023-01-09,102165.7460684968
2023-01-10,103732.2768556261
2023-01-11,106679.43146961113
2023-01-12,112097.25747118577
2023-01-13,118538.28540862314
2023-01-14,124619.03683763529
2023-01-15,124169.55353445304
2023-01-16,126013.0416837045
2023-01-17,121519.02163893518
2023-01-18,116177.6991805071
2023-01-19,122221.82722557048
2023-01-20,150263.7701323179
2023-01-21,153848.07862415782
2023-01-22,152864.15080286842
2023-01-23,151809.9424229155
2023-01-24,139862.24745011586
2023-01-25,166709.4208595833
2023-01-26,155323.9703560919
2023-01-27,159611.08443456708
2023-01-28,153426.39527217668
2023-01-29,166358.01806626574
2023-01-30,148858.1589590474
2023-01-31,151729.2509021789
2023-02-01,190467.39768069805
2023-02-02,195791.26595405696
2023-02-03,216876.58635249146
2023-02-04,209801.44562079085
2023-02-05,206368.95160244106
2023-02-06,203707.0174657616
2023-02-07,207271.9211734105
2023-02-08,204661.7545212176
2023-02-09,194337.61241034264
2023-02-10,192792.09662372447
2023-02-11,194826.62151672295
2023-02-12,194181.79893043634
2023-02-13,194160.58824994363
2023-02-14,197908.73963292295
2023-02-15,216833.53704160647
2023-02-16,209713.37887921438
2023-02-17,219026.37715101943
2023-02-18,219560.97494093157
2023-02-19,216435.37352679946
2023-02-20,221341.66056153912
2023-02-21,217887.67227362367
2023-02-22,215538.7927026111
2023-02-23,213348.18045529982
2023-02-24,206652.8310384505
2023-02-25,206464.79947707118
2023-02-26,209927.87744236135
2023-02-27,209353.7128215239
2023-02-28,206184.55677078728
2023-03-01,210689.88122218137
2023-03-02,209125.31090762303
2023-03-03,199266.56633452378
2023-03-04,199198.03785175935
2023-03-05,199918.61172904586
2023-03-06,199710.97666423293
2023-03-07,197845.38006257665
2023-03-08,193419.09951783027
2023-03-09,181529.0067462713
2023-03-10,180069.59067054527
2023-03-11,183695.54052126373
2023-03-12,197687.381363043
2023-03-13,215718.5707961705
2023-03-14,220623.92684108918
2023-03-15,217189.03694872768
2023-03-16,223228.45471458894
2023-03-17,244540.72341033127
2023-03-18,240370.64499515275
2023-03-19,249877.56828966053
2023-03-20,247799.07894345635
2023-03-21,251194.84789502792
2023-03-22,243424.7517895752
2023-03-23,252599.191644249
2023-03-24,245000.55041369318
2023-03-25,244998.94636600706
2023-03-26,249475.39788923945
2023-03-27,241908.30292984453
2023-03-28,242978.29185022047
2023-03-29,252688.30540427196
2023-03-30,249881.3110673557
2023-03-31,253748.04624222266
2023-04-01,253693.4195071349
2023-04-02,251192.5309369829
2023-04-03,247816.81258158354
2023-04-04,251097.89212350294
2023-04-05,251123.1113176789
2023-04-06,249906.08469273004
2023-04-07,248875.12759936883
2023-04-08,249107.98185513445
2023-04-09,252554.4565362429
2023-04-10,264273.5398171358
2023-04-11,257706.27851849157
2023-04-12,252812.32407743353
2023-04-13,290474.4952107935
2023-04-14,360692.10240858316
2023-04-15,351116.9741543392
2023-04-16,359840.97989709483
2023-04-17,341329.06527222303
2023-04-18,354947.02545603685
2023-04-19,315795.3899275723
2023-04-20,305794.70041758404
2023-04-21,312178.1192537467
2023-04-22,317309.3997078417
2023-04-23,314745.6639129903
2023-04-24,313876.2748583847
2023-04-25,322850.9825804539
2023-04-26,324274.5549898101
2023-04-27,336261.78284475196
2023-04-28,334620.0327379836
2023-04-29,333607.3825679248
2023-04-30,333443.2645822604
2023-05-01,320327.0555319799
2023-05-02,327260.49868868495
2023-05-03,331217.4642985722
2023-05-04,329210.982212544
2023-05-05,336998.20385478344
2023-05-06,330103.53770650504
2023-05-07,325870.34293659043
2023-05-08,316867.3480301515
2023-05-09,315690.24224682053
2023-05-10,315103.1175841105
2023-05-11,307836.9367914839
2023-05-12,305732.38915973523
2023-05-13,305524.70578914974
2023-05-14,307150.5894415753
2023-05-15,309942.8530121656
2023-05-16,308349.58739597694
2023-05-17,312565.29750598385
2023-05-18,305917.3767638482
2023-05-19,306659.9503090882
2023-05-20,309284.4476863061
2023-05-21,305140.2463480493
2023-05-22,306283.3602543528
2023-05-23,310495.1926955514
2023-05-24,300247.5409126941
2023-05-25,302004.35290631856
2023-05-26,304735.71426929644
2023-05-27,306479.4106189799
2023-05-28,320222.096389413
2023-05-29,316441.3694620793
2023-05-30,315956.5468325742
2023-05-31,310443.5284633318
2023-06-01,305944.97664065455
2023-06-02,310796.73845711624
2023-06-03,308825.5141973263
2023-06-04,309360.8605682737
2023-06-05,293567.57237993827
2023-06-06,304215.288396724
2023-06-07,297589.131218374
2023-06-08,300642.9253962223
2023-06-09,299152.3556821465
2023-06-10,292034.32487586717
2023-06-11,292957.49251863617
2023-06-12,292595.2569595447
2023-06-13,292859.505191443
2023-06-14,283750.1995114857
2023-06-15,288838.1687937397
2023-06-16,297414.6683820841
2023-06-17,299454.25645180873
2023-06-18,297498.7061245033
2023-06-19,303215.65424543014
2023-06-20,319900.6505323209
2023-06-21,338891.9495674339
2023-06-22,337674.8888024785
2023-06-23,346854.0166694498
2023-06-24,345078.35506147373
2023-06-25,344236.1047307231
2023-06-26,341957.30699437205
2023-06-27,346759.1279519297
2023-06-28,339777.0127838278
2023-06-29,343937.0923077756
2023-06-30,344206.9603389134
2023-07-01,345559.12456357613
2023-07-02,345862.99438515864
2023-07-03,351992.12776040944
2023-07-04,327049.3751788841
2023-07-05,326687.70227300975
2023-07-06,330159.7621694031
2023-07-07,333693.07190312026
2023-07-08,333082.2737268197
2023-07-09,331725.88890986604
2023-07-10,334480.7178434608
2023-07-11,336750.1537567784
2023-07-12,334085.29419128137
2023-07-13,346124.18916952674
2023-07-14,333487.7430385044
2023-07-15,333127.4239986625
2023-07-16,332572.3737130237
2023-07-17,331463.0458847851
2023-07-18,328339.11572358705
2023-07-19,328941.7322282383
2023-07-20,327743.42584542604
2023-07-21,328863.2304613489
2023-07-22,327545.5222314191
2023-07-23,330778.7175520321
2023-07-24,320832.5216978499
2023-07-25,321333.7675735487
2023-07-26,322712.8259238207
2023-07-27,321228.4388723161
2023-07-28,322325.3746261759
2023-07-29,322786.4900468122
2023-07-30,321957.27390412294
2023-07-31,321386.98165642616
2023-08-01,326535.3961521083
2023-08-02,320641.7653659409
2023-08-03,320796.3487981833
2023-08-04,319705.24923803174
2023-08-05,319395.5326458364
2023-08-06,319349.5754092238
2023-08-07,320844.83478226507
2023-08-08,327313.4807538004
2023-08-09,325070.15191207005
2023-08-10,323548.8354455427
2023-08-11,323279.0290851425
2023-08-12,323427.67545810953
2023-08-13,321937.5835255486
2023-08-14,323341.2582619911
2023-08-15,333542.5560734966
2023-08-16,308479.64604277234
2023-08-17,283961.58188228135
2023-08-18,276663.3212738575
2023-08-19,277155.0084986933
2023-08-20,278170.2663750024
2023-08-21,277478.96117469657
2023-08-22,276592.090073209
2023-08-23,280712.30318976264
2023-08-24,277905.921844452
2023-08-25,276680.3826392823
2023-08-26,276243.8249514754
2023-08-27,277107.2366755039
2023-08-28,277263.77470327634
2023-08-29,294450.04263646126
2023-08-30,289999.9728593728
2023-08-31,275469.59227839345
2023-09-01,273998.6264928881
2023-09-02,274739.6210040203
2023-09-03,275831.5248797344
2023-09-04,274183.95121725486
2023-09-05,273852.26988237933
2023-09-06,273498.603905711
2023-09-07,278947.39647838246
2023-09-08,275149.25754216156
2023-09-09,275056.64591103396
2023-09-10,274369.068273511
2023-09-11,267183.17038120335
2023-09-12,274439.9075362535
2023-09-13,278551.6727145149
2023-09-14,281803.38172814855
2023-09-15,282566.25940541713
2023-09-16,282180.0943999113
2023-09-17,281797.6466043044
2023-09-18,284290.3013565657
2023-09-19,289082.315946341
2023-09-20,288098.6360010729
2023-09-21,282162.4642043904
2023-09-22,282329.10141386196
2023-09-23,282352.9977632126
2023-09-24,278912.24207471637
2023-09-25,279299.7877581848
2023-09-26,273386.33707942336
2023-09-27,273823.9359371729
2023-09-28,280780.46662841615
2023-09-29,279551.8619576089
2023-09-30,280124.13308059017
2023-10-01,290869.10486371827
2023-10-02,285786.8742182372
2023-10-03,284967.5263155324
2023-10-04,288734.06528680015
2023-10-05,284820.7821073978
2023-10-06,290369.5279220233
2023-10-07,290651.9609821716
2023-10-08,290233.52618257236
2023-10-09,286741.70238133066
2023-10-10,285004.0047563447
2023-10-11,289928.130707391
2023-10-12,282364.67324658384
2023-10-13,282354.12209229387
2023-10-14,282265.68601733836
2023-10-15,285673.21874315914
2023-10-16,299824.679252982
2023-10-17,298675.3268754877
2023-10-18,297816.3994124057
2023-10-19,302097.9507214978
2023-10-20,312129.7464842592
2023-10-21,314659.4614636841
2023-10-22,315475.8594062326
2023-10-23,348007.6711127716
2023-10-24,327719.03017587384
2023-10-25,352358.67105039966
2023-10-26,355956.494717919
2023-10-27,344726.923876874
2023-10-28,343745.6992402778
2023-10-29,356719.6694352716
2023-10-30,379723.9359154705
2023-10-31,417664.62186385534
2023-11-01,447537.4608002273
2023-11-02,437507.1645150221
2023-11-03,429112.2426241438
2023-11-04,461383.6306721952
2023-11-05,447864.53567909263
2023-11-06,458439.95676240686
2023-11-07,466916.834269632
2023-11-08,468873.6564706572
2023-11-09,492572.94757196255
2023-11-10,616613.7326480607
2023-11-11,612482.6635570074
2023-11-12,612047.8141790018
2023-11-13,561061.724607845
2023-11-14,617809.5684375761
2023-11-15,712063.1711202904
2023-11-16,628137.2411652091
2023-11-17,636399.3793473155
2023-11-18,636834.2287253211
2023-11-19,664555.8765731783
2023-11-20,615309.1845140439
2023-11-21,559084.196738835
2023-11-22,611294.0364603047
2023-11-23,606279.5320802765
2023-11-24,614243.7449191448
2023-11-25,628107.3746756933
2023-11-26,619258.249299173
2023-11-27,598610.2900872923
2023-11-28,608049.3571555805
2023-11-29,620438.1326827089
2023-11-30,628697.3163674612
2023-12-01,642560.9461240097
2023-12-02,654359.7799593701
2023-12-03,644920.7128910818
2023-12-04,666453.5846406146
2023-12-05,721717.0382694682
2023-12-06,770223.805567969
2023-12-07,772575.6488309267
2023-12-08,895165.4789125925
2023-12-09,938086.6184615692
2023-12-10,1092132.3521852929
2023-12-11,1117708.647669957
2023-12-12,1102127.6860528628
2023-12-13,1145342.806009709
2023-12-14,1155338.1398772786
2023-12-15,1167979.2974156756
2023-12-16,1239710.516935883
2023-12-17,1208625.1202595986
2023-12-18,1246801.0902476166
2023-12-19,1235618.8576164588
2023-12-20,1276598.7429100762
2023-12-21,1282594.458848329
2023-12-22,1286483.342764788
2023-12-23,1278435.7530980809
2023-12-24,1257691.0436818823
2023-12-25,1274373.5166925245
2023-12-26,1242904.9241227976
2023-12-27,1270735.4530722632
2023-12-28,1244998.6012339513
2023-12-29,1229933.305237956
2023-12-30,1232050.9535196095
2023-12-31,1235971.3593047801
2024-01-01,1292024.5804941838
2024-01-02,1314613.7239421925
2024-01-03,1252749.294197765
2024-01-04,1291930.1581683813
2024-01-05,1291477.3404537616
2024-01-06,1285906.7178780392
2024-01-07,1284810.776230454
2024-01-08,1373599.8817575397
2024-01-09,1348309.3254227347
2024-01-10,1364226.0581055083
2024-01-11,1355037.2787487344
2024-01-12,1250479.0667143967
2024-01-13,1252314.0162267713
2024-01-14,1219140.5144491368
2024-01-15,1242143.0112271653
2024-01-16,1260840.9625903657
2024-01-17,1249393.0642548804
2024-01-18,1206929.6372659311
2024-01-19,1216833.453504227
2024-01-20,1218342.1637851044
2024-01-21,1215216.873800051
2024-01-22,1155390.562266883
2024-01-23,1165704.2238479012
2024-01-24,1171614.5327916679
2024-01-25,1167613.1326125069
2024-01-26,1222419.2771909167
2024-01-27,1231407.5188119467
2024-01-28,1228627.469447261
2024-01-29,1265851.4826861299
2024-01-30,1255367.393262881
2024-01-31,1244008.655290827
2024-02-01,1259154.8085698076
2024-02-02,1262326.87120453
2024-02-03,1257000.928052562
2024-02-04,1244450.949159257
2024-02-05,1247209.0738444107
2024-02-06,1259690.0630794545
2024-02-07,1296158.9903552334
2024-02-08,1324385.4074431383
2024-02-09,1378455.175118326
2024-02-10,1396400.963809041
2024-02-11,1412275.6011066125
2024-02-12,1459978.149516582
2024-02-13,1564646.5049880228
2024-02-14,1664692.3431986745
2024-02-15,1810252.8287981974
2024-02-16,1787738.4658549475
2024-02-17,1766573.8848627321
2024-02-18,1715957.0616989515
2024-02-19,1720060.3988300953
2024-02-20,1677110.3371481886
2024-02-21,1690419.187185385
2024-02-22,1576497.5905181023
2024-02-23,1564160.5834856501
2024-02-24,1507280.772069071
2024-02-25,1524018.0682618944
2024-02-26,1605814.8544945638
2024-02-27,1632511.1732166668
2024-02-28,1647631.840396465
2024-02-29,1676361.1080380816
2024-03-01,1744404.1103471732
2024-03-02,1901659.049017074
2024-03-03,1904683.1824530342
2024-03-04,1863857.381067579
2024-03-05,1989358.9186599038
2024-03-06,2323525.6633334435
2024-03-07,2247922.3274344527
2024-03-08,2204072.392613038
2024-03-09,2140565.5904578855
2024-03-10,2146613.8573298045
2024-03-11,2176855.1916894005
2024-03-12,2619586.2833339013
2024-03-13,2519691.7326838793
2024-03-14,2871763.0805774415
2024-03-15,2422725.68677604
2024-03-16,2177707.4566800585
2024-03-17,2668394.6957036187
2024-03-18,2274673.5025878977
2024-03-19,2058614.9304979483
2024-03-20,2236277.55152372
2024-03-21,2149714.083399542
2024-03-22,2094472.9299762463
2024-03-23,2100649.7967463965
2024-03-24,2206236.550273318
2024-03-25,2294687.0546237864
2024-03-26,2297885.923564616
2024-03-27,2279639.335494954
2024-03-28,2324130.0040552677
2024-03-29,2295045.974903277
2024-03-30,2286058.9327406376
2024-03-31,2341312.185933015
2024-04-01,2287909.9882958545
2024-04-02,2149374.337735859
2024-04-03,2166423.8792368225
2024-04-04,2249740.421651929
2024-04-05,2227964.4176158635
2024-04-06,2262544.8144602785
2024-04-07,2277106.545825979
2024-04-08,2351701.083729733
2024-04-09,2269626.2123359675
2024-04-10,2318842.637368606
2024-04-11,2299074.4481857833
2024-04-12,2204909.3679829487
2024-04-13,2101918.8456943906
2024-04-14,2159186.2171511245
2024-04-15,2083070.5958264817
2024-04-16,2095462.198097284
2024-04-17,2012038.6077467084
2024-04-18,2085169.51518417
2024-04-19,2096235.7088131786
2024-04-20,2133366.521382831
2024-04-21,2132598.592026092
2024-04-22,2194926.6146605844
2024-04-23,2180507.665755689
2024-04-24,2109883.4452116736
2024-04-25,2117255.4357100455
2024-04-26,2093030.367084728
2024-04-27,2082649.3673711794
2024-04-28,2072041.501823731
2024-04-29,2096212.0701184736
2024-04-30,1990705.6681150282
2024-05-01,1913337.195819986
2024-05-02,1939812.865445851
2024-05-03,2065675.7975495174
2024-05-04,2098082.4820659626
2024-05-05,2102448.7465016018
2024-05-06,2073916.1818693993
2024-05-07,2046170.9171933334
2024-05-08,2008626.4274168443
2024-05-09,2070919.9769487553
2024-05-10,1995855.2927238652
2024-05-11,1996918.0491700766
2024-05-12,2017799.8836613887
2024-05-13,2066163.0173722475
2024-05-14,2020730.4255331475
2024-05-15,2174929.589752849
2024-05-16,2142274.370596372
2024-05-17,2201398.0364433373
2024-05-18,2197333.822032571
2024-05-19,2175687.6696522315
2024-05-20,2345163.342195137
2024-05-21,2255226.166977622
2024-05-22,2330022.312028558
2024-05-23,2212281.011924453
2024-05-24,2274909.363043658
2024-05-25,2273835.7341673286
2024-05-26,2249142.270011756
2024-05-27,2279919.631133194
2024-05-28,2303181.5901203277
2024-05-29,2314991.507759949
2024-05-30,2302823.713828218
2024-05-31,2255941.919561842
2024-06-01,2240195.3627090137
2024-06-02,2231781.1767777856
2024-06-03,2266873.8747129124
2024-06-04,2324480.185972725
2024-06-05,2343233.7340060035
2024-06-06,2331855.4766447023
2024-06-07,2284348.377366275
2024-06-08,2283461.062419008
2024-06-09,2294526.6343421526
2024-06-10,2290116.4187576096
2024-06-11,2218084.764649993
2024-06-12,2248647.8716658032
2024-06-13,2199077.5097806966
2024-06-14,2174813.581064871
2024-06-15,2180832.6054605264
2024-06-16,2195421.61344242
2024-06-17,2190483.9271508832
2024-06-18,2146869.45616731
2024-06-19,2140042.4937867336
2024-06-20,2136651.0881987377
2024-06-21,2112646.341855257
2024-06-22,2116957.3445477025
2024-06-23,2081729.9550746449
2024-06-24,1985847.0476670915
2024-06-25,2036113.8530601019
2024-06-26,2004083.4720802268
2024-06-27,2030629.2190935435
2024-06-28,1987604.8586854492
2024-06-29,2006748.0302255799
2024-06-30,2065415.7554939555
2024-07-01,2070535.6477927864
2024-07-02,2044282.4848822693
2024-07-03,1982099.1375793524
2024-07-04,1879428.1472137754
2024-07-05,1866417.7097855704
2024-07-06,1919445.612896284
2024-07-07,1840729.6163965417
2024-07-08,1868510.608677458
2024-07-09,1912577.464690775
2024-07-10,1901987.1063496154
2024-07-11,1889564.4730182504
2024-07-12,1908178.159589314
2024-07-13,1951584.0654802874
2024-07-14,2003896.982666033
2024-07-15,2133938.095520621
2024-07-16,2140189.8359358544
2024-07-17,2071305.6614847372
2024-07-18,2120795.2625467046
2024-07-19,2254550.941092563
2024-07-20,2314473.4850811074
2024-07-21,2459197.1292677256
2024-07-22,2385363.994710412
2024-07-23,2304441.809190168
2024-07-24,2372657.2052485556
2024-07-25,2289728.6845501238
2024-07-26,2440203.822914214
2024-07-27,2449432.964733878
2024-07-28,2464681.1120881056
2024-07-29,2432713.504915646
2024-07-30,2526421.5369375516
2024-07-31,2507425.4354703585
2024-08-01,2523748.2968395944
2024-08-02,2373270.167653504
2024-08-03,2344438.0752254045
2024-08-04,2245744.560164299
2024-08-05,2086490.5352775017
2024-08-06,2165101.4669421464
2024-08-07,2129121.691510554
2024-08-08,2384377.0151349907
2024-08-09,2351795.29942444
2024-08-10,2354586.853796163
2024-08-11,2268604.340480196
2024-08-12,2293279.368412289
2024-08-13,2341504.8563066074
