,equity
2022-11-21,100000.0
2022-11-22,100000.0
2022-11-23,100000.0
2022-11-24,100000.0
2022-11-25,100000.0
2022-11-26,100000.0
2022-11-27,100000.0
2022-11-28,100000.0
2022-11-29,100000.0
2022-11-30,100000.0
2022-12-01,100000.0
2022-12-02,100000.0
2022-12-03,100000.0
2022-12-04,100000.0
2022-12-05,100000.0
2022-12-06,100000.0
2022-12-07,100000.0
2022-12-08,100000.0
2022-12-09,100000.0
2022-12-10,100000.0
2022-12-11,100000.0
2022-12-12,100000.0
2022-12-13,100000.0
2022-12-14,100000.0
2022-12-15,100000.0
2022-12-16,100000.0
2022-12-17,100000.0
2022-12-18,99575.13025496782
2022-12-19,97787.64414753986
2022-12-20,100512.98855240116
2022-12-21,100037.27648313789
2022-12-22,100006.8271045327
2022-12-23,99798.43916970353
2022-12-24,100132.60920560682
2022-12-25,100084.67522288069
2022-12-26,100601.89835907056
2022-12-27,99320.11035696635
2022-12-28,98368.15097545649
2022-12-29,98907.9732598299
2022-12-30,98719.03248672708
2022-12-31,98313.67513404567
2023-01-01,98804.67136405411
2023-01-02,99138.9603428426
2023-01-03,99139.43529196412
2023-01-04,100190.05344941547
2023-01-05,100065.4612927382
2023-01-06,100780.84031549277
2023-01-07,100760.44169509166
2023-01-08,101789.76916419435
2023-01-09,102165.7460684968
2023-01-10,103732.2768556261
2023-01-11,106679.43146961113
2023-01-12,112097.25747118577
2023-01-13,118538.28540862314
2023-01-14,124619.03683763529
2023-01-15,124169.55353445304
2023-01-16,126013.0416837045
2023-01-17,121519.02163893518
2023-01-18,116177.6991805071
2023-01-19,122221.82722557048
2023-01-20,150263.7701323179
2023-01-21,153848.07862415782
2023-01-22,152864.15080286842
2023-01-23,151809.9424229155
2023-01-24,139862.24745011586
2023-01-25,166709.4208595833
2023-01-26,155323.9703560919
2023-01-27,159611.08443456708
2023-01-28,153426.39527217668
2023-01-29,166358.01806626574
2023-01-30,148858.1589590474
2023-01-31,151729.2509021789
2023-02-01,190467.39768069805
2023-02-02,195791.26595405696
2023-02-03,216876.58635249146
2023-02-04,209801.44562079085
2023-02-05,206368.95160244106
2023-02-06,203707.0174657616
2023-02-07,207271.9211734105
2023-02-08,204661.7545212176
2023-02-09,194337.61241034264
2023-02-10,192792.09662372447
2023-02-11,194826.62151672295
2023-02-12,194181.79893043634
2023-02-13,194160.58824994363
2023-02-14,197908.73963292295
2023-02-15,216833.53704160647
2023-02-16,209713.37887921438
2023-02-17,219026.37715101943
2023-02-18,219560.97494093157
2023-02-19,216435.37352679946
2023-02-20,221341.66056153912
2023-02-21,217887.67227362367
2023-02-22,215538.7927026111
2023-02-23,213348.18045529982
2023-02-24,206652.8310384505
2023-02-25,206464.79947707118
2023-02-26,209927.87744236135
2023-02-27,209353.7128215239
2023-02-28,206184.55677078728
2023-03-01,210689.88122218137
2023-03-02,209125.31090762303
2023-03-03,199266.56633452378
2023-03-04,199198.03785175935
2023-03-05,199918.61172904586
2023-03-06,199710.97666423293
2023-03-07,197845.38006257665
2023-03-08,193419.09951783027
2023-03-09,181529.0067462713
2023-03-10,180069.59067054527
2023-03-11,183695.54052126373
2023-03-12,197687.381363043
2023-03-13,215718.5707961705
2023-03-14,220623.92684108918
2023-03-15,217189.03694872768
2023-03-16,223228.45471458894
2023-03-17,244540.72341033127
2023-03-18,240370.64499515275
2023-03-19,249877.56828966053
2023-03-20,247799.07894345635
2023-03-21,251194.84789502792
2023-03-22,243424.7517895752
2023-03-23,252599.191644249
2023-03-24,245000.55041369318
2023-03-25,244998.94636600706
2023-03-26,249475.39788923945
2023-03-27,241908.30292984453
2023-03-28,258315.71592954677
2023-03-29,272584.17147959804
2023-03-30,267391.0586822296
2023-03-31,270012.82436633797
2023-04-01,255946.0430996797
2023-04-02,260332.45876347634
2023-04-03,249290.7917477123
2023-04-04,252517.58028199954
2023-04-05,254080.5559782949
2023-04-06,252416.74314030306
2023-04-07,257710.693079368
2023-04-08,253727.62598235722
2023-04-09,253778.04455320546
2023-04-10,259878.69162584224
2023-04-11,253418.611975622
2023-04-12,248606.04361218054
2023-04-13,285641.8958004045
2023-04-14,354691.7897106524
2023-04-15,345275.8950865277
2023-04-16,353854.82129961904
2023-04-17,335650.7583596446
2023-04-18,349042.2529361776
2023-04-19,310541.7060286454
2023-04-20,300707.327199004
2023-04-21,306984.5902817538
2023-04-22,312030.500395348
2023-04-23,309509.41600783716
2023-04-24,308654.4904821099
2023-04-25,317479.89099297655
2023-04-26,318879.7802228092
2023-04-27,330667.58325930615
2023-04-28,329053.1460326246
2023-04-29,328057.3427581747
2023-04-30,327895.9551118256
2023-05-01,314997.95310992934
2023-05-02,321816.0484431463
2023-05-03,325707.1842249955
2023-05-04,323734.0828613963
2023-05-05,331391.7528440705
2023-05-06,324611.7894078367
2023-05-07,320449.0199363019
2023-05-08,311595.80283056916
2023-05-09,309507.3928387765
2023-05-10,307693.5586685145
2023-05-11,300569.68731596647
2023-05-12,298506.3576230003
2023-05-13,298302.7417680774
2023-05-14,299896.782200686
2023-05-15,302634.35879380855
2023-05-16,301072.2975674097
2023-05-17,305205.442246909
2023-05-18,298687.72221206385
2023-05-19,299415.75232266384
2023-05-20,301988.84845307836
2023-05-21,297925.8120333465
2023-05-22,299046.5378509697
2023-05-23,303156.3432055995
2023-05-24,293150.8215728838
2023-05-25,294866.1238469354
2023-05-26,297532.9489677651
2023-05-27,299235.44549256214
2023-05-28,312653.4209157419
2023-05-29,308962.0245002129
2023-05-30,308488.6571951628
2023-05-31,303105.89968897105
2023-06-01,298713.63904902764
2023-06-02,303450.76408411114
2023-06-03,301526.1156483343
2023-06-04,302048.8129265996
2023-06-05,286628.68644606805
2023-06-06,297024.7233694189
2023-06-07,290555.1848137176
2023-06-08,293536.79823504086
2023-06-09,292081.4602656204
2023-06-10,285131.6743364822
2023-06-11,286033.0215866644
2023-06-12,285679.3479850573
2023-06-13,285937.35033062537
2023-06-14,277043.35616823175
2023-06-15,282011.06399193243
2023-06-16,290384.845699614
2023-06-17,292376.2251771664
2023-06-18,290466.8970893419
2023-06-19,296048.716933867
2023-06-20,312339.3393790241
2023-06-21,330881.75179583725
2023-06-22,329693.4580093827
2023-06-23,338655.6240108424
2023-06-24,336921.9327142692
2023-06-25,336099.5901792956
2023-06-26,333874.6550990888
2023-06-27,338562.9781243915
2023-06-28,331745.89527243574
2023-06-29,335807.6453442533
2023-06-30,336071.13465702854
2023-07-01,337391.33853895357
2023-07-02,337688.0259610404
2023-07-03,343672.2884694359
2023-07-04,319319.0936552196
2023-07-05,318965.96940772556
2023-07-06,322355.96218366816
2023-07-07,325805.75706909376
2023-07-08,325209.3959846065
2023-07-09,323885.0712701488
2023-07-10,326574.78586681944
2023-07-11,328790.58040412073
2023-07-12,326188.7086203648
2023-07-13,337943.04703168577
2023-07-14,325605.28144698153
2023-07-15,325253.4790649525
2023-07-16,324711.54818969464
2023-07-17,323628.44091732666
2023-07-18,320578.34933048184
2023-07-19,321166.72212887555
2023-07-20,319996.7394378168
2023-07-21,321090.07586395077
2023-07-22,319803.51355985506
2023-07-23,322960.28766720125
2023-07-24,313249.1844316803
2023-07-25,313738.5826414736
2023-07-26,315085.0449677375
2023-07-27,313635.7435353139
2023-07-28,314706.75163777225
2023-07-29,315156.9679334233
2023-07-30,314347.3515047633
2023-07-31,313790.5389331033
2023-08-01,318817.26326065604
2023-08-02,313062.93689954275
2023-08-03,313213.8665304303
2023-08-04,312148.556674863
2023-08-05,311846.160678981
2023-08-06,311801.28970763605
2023-08-07,313261.2064786675
2023-08-08,319576.95671569934
2023-08-09,317386.6521718667
2023-08-10,315901.29420416354
2023-08-11,315637.8651044495
2023-08-12,315782.99800698145
2023-08-13,314328.12653655576
2023-08-14,315698.62340536155
2023-08-15,325658.7988971973
2023-08-16,301188.2867276027
2023-08-17,277249.742213869
2023-08-18,270123.9864729604
2023-08-19,270604.05196432705
2023-08-20,271595.3127631346
2023-08-21,270920.3475537375
2023-08-22,270054.438924005
2023-08-23,274077.2648882027
2023-08-24,271337.2163950803
2023-08-25,270140.64456851844
2023-08-26,269714.4055484241
2023-08-27,270557.4092967641
2023-08-28,270710.2473235102
2023-08-29,287490.29313995206
2023-08-30,283145.4071509629
2023-08-31,268958.472976128
2023-09-01,267522.275578813
2023-09-02,268245.75562083663
2023-09-03,269311.85078081343
2023-09-04,267703.21988725057
2023-09-05,267379.3783169162
2023-09-06,267034.07174336084
2023-09-07,272354.0742808037
2023-09-08,268645.70981128805
2023-09-09,268555.2871890237
2023-09-10,267883.9614361115
2023-09-11,260867.91255720574
2023-09-12,267953.1263111759
2023-09-13,271967.70401623147
2023-09-14,275142.5542188838
2023-09-15,275887.40018699475
2023-09-16,275510.36274580704
2023-09-17,275136.95465292555
2023-09-18,277570.6919314392
2023-09-19,282249.4403765408
2023-09-20,281289.0111190379
2023-09-21,275493.1492652688
2023-09-22,275655.84776505525
2023-09-23,275679.1792898812
2023-09-24,272319.75080193894
2023-09-25,272698.1362867833
2023-09-26,266425.9336355537
2023-09-27,266852.3912467104
2023-09-28,273631.80898966955
2023-09-29,272434.48453671514
2023-09-30,272992.185663486
2023-10-01,283463.5909640951
2023-10-02,278510.7536747899
2023-10-03,277712.26633163117
2023-10-04,281382.9093956376
2023-10-05,277569.2582242197
2023-10-06,282976.7332281315
2023-10-07,283251.97555568675
2023-10-08,282844.19408665
2023-10-09,279441.2719572006
2023-10-10,277747.8160330347
2023-10-11,282546.5739660818
2023-10-12,275175.6817809214
2023-10-13,275165.3992585296
2023-10-14,275079.21476193477
2023-10-15,278399.9918628283
2023-10-16,292191.1568453742
2023-10-17,291071.0669260261
2023-10-18,290234.00771625893
2023-10-19,294406.5509278899
2023-10-20,304182.93763648544
2023-10-21,306648.2461900337
2023-10-22,307443.85867888475
2023-10-23,339147.4119704038
2023-10-24,319375.3188893983
2023-10-25,343387.6356517139
2023-10-26,346893.8588957689
2023-10-27,335950.19240674895
2023-10-28,334993.9497038249
2023-10-29,347637.6032202655
2023-10-30,370056.18214437424
2023-10-31,407030.8999907716
2023-11-01,436143.1778353488
2023-11-02,426368.2524276805
2023-11-03,418187.06485821895
2023-11-04,449636.82486549945
2023-11-05,436461.9254029901
2023-11-06,446768.0967567273
2023-11-07,455029.15335635014
2023-11-08,456936.1549550272
2023-11-09,480032.06320567144
2023-11-10,600914.775655144
2023-11-11,596888.8833912703
2023-11-12,596465.1052582309
2023-11-13,546777.119159368
2023-11-14,602080.1655210023
2023-11-15,693934.0758572798
2023-11-16,612144.8961806867
2023-11-17,620196.6807084342
2023-11-18,620620.4588414736
2023-11-19,647636.3148227318
2023-11-20,599643.4412560262
2023-11-21,544849.9390580514
2023-11-22,595730.5186852406
2023-11-23,590843.6833538157
2023-11-24,598605.127703726
2023-11-25,612115.7900906068
2023-11-26,603491.963035151
2023-11-27,583369.6999057542
2023-11-28,592568.448764907
2023-11-29,604641.806642545
2023-11-30,612690.7118943038
2023-12-01,626201.3742811845
2023-12-02,637699.8103551257
2023-12-03,628501.0614959729
2023-12-04,649485.7073309154
2023-12-05,703342.15599724
2023-12-06,750613.9432533497
2023-12-07,752905.9086960703
2023-12-08,872374.6073978753
2023-12-09,914202.9767275242
2023-12-10,1064326.7132257153
2023-12-11,1089251.8374153005
2023-12-12,1074067.5663572773
2023-12-13,1116182.4313672662
2023-12-14,1125923.2844988282
2023-12-15,1138242.5987534507
2023-12-16,1208147.5447564253
2023-12-17,1177853.5808356733
2023-12-18,1215057.5924009832
2023-12-19,1204160.0588932254
2023-12-20,1244096.5982106896
2023-12-21,1249939.663499642
2023-12-22,1253729.5366122178
2023-12-23,1245886.8382046327
2023-12-24,1225670.288126626
2023-12-25,1241928.0261492801
2023-12-26,1211260.6224847338
2023-12-27,1238382.5874598108
2023-12-28,1213300.9946738842
2023-12-29,1198619.2604141985
2023-12-30,1200682.9934689607
2023-12-31,1204503.585904935
2024-01-01,1259129.694686401
2024-01-02,1281143.7195914376
2024-01-03,1220854.3553548413
2024-01-04,1259037.6763486278
2024-01-05,1258596.38735199
2024-01-06,1253167.5925683028
2024-01-07,1252099.5535441611
2024-01-08,1338628.0925685791
2024-01-09,1313981.4326233696
2024-01-10,1329492.9260313357
2024-01-11,1320538.0925701875
2024-01-12,1218641.927757753
2024-01-13,1220430.159540772
2024-01-14,1188101.2535775625
2024-01-15,1210518.1078560362
2024-01-16,1228740.0102460068
2024-01-17,1217583.574870414
2024-01-18,1176201.264760274
2024-01-19,1185852.9302971526
2024-01-20,1187323.228884355
2024-01-21,1184277.5086371584
2024-01-22,1125974.3722168289
2024-01-23,1136025.4484530406
2024-01-24,1141785.2812056192
2024-01-25,1137885.7564891637
2024-01-26,1191296.539172228
2024-01-27,1200055.94057907
2024-01-28,1197346.6711420822
2024-01-29,1233622.9627328601
2024-01-30,1223405.7977393651
2024-01-31,1212336.2527084919
2024-02-01,1227096.7856284939
2024-02-02,1230188.0876958712
2024-02-03,1224997.7428091746
2024-02-04,1212767.2857955752
2024-02-05,1215455.1887543534
2024-02-06,1227618.4125831865
2024-02-07,1263158.842664423
2024-02-08,1290666.6164843226
2024-02-09,1343359.7703859175
2024-02-10,1360848.660130108
2024-02-11,1376319.129899424
2024-02-12,1422807.1736425504
2024-02-13,1524810.6776452952
2024-02-14,1622309.353462005
2024-02-15,1764163.8758591174
2024-02-16,1742222.7275506617
2024-02-17,1721596.9958074617
2024-02-18,1672268.8746103947
2024-02-19,1676267.7409687703
2024-02-20,1634411.1858623526
2024-02-21,1647381.193195768
2024-02-22,1536360.0350882355
2024-02-23,1524337.127681804
2024-02-24,1468905.473621953
2024-02-25,1485216.6390311166
2024-02-26,1564930.8828855767
2024-02-27,1590947.514572998
2024-02-28,1605683.2102687191
2024-02-29,1633681.0320905892
2024-03-01,1699991.6627213338
2024-03-02,1853242.8979568328
2024-03-03,1856190.0370959775
2024-03-04,1816403.6587175303
2024-03-05,1938709.9329920155
2024-03-06,2264368.8078674516
2024-03-07,2190690.329388846
2024-03-08,2147956.811871255
2024-03-09,2086066.8899492263
2024-03-10,2091961.1682275145
2024-03-11,2121432.5596189564
2024-03-12,2552891.73823404
2024-03-13,2455540.498203693
2024-03-14,2798648.125932798
2024-03-15,2361043.2033208157
2024-03-16,2122263.1259825383
2024-03-17,2600457.490691864
2024-03-18,2216760.4208654156
2024-03-19,2006202.6899854476
2024-03-20,2179342.0289319274
2024-03-21,2094982.4626855154
2024-03-22,2041147.746462551
2024-03-23,2047167.3504916343
2024-03-24,2150065.8701780248
2024-03-25,2236264.428796055
2024-03-26,2239381.8546822313
2024-03-27,2221599.8238973105
2024-03-28,2264957.7621025685
2024-03-29,2236614.210981901
2024-03-30,2227855.978495294
2024-03-31,2281702.486427781
2024-04-01,2229659.9062620522
2024-04-02,2094651.366930649
2024-04-03,2111266.8278969103
2024-04-04,2192462.135011992
2024-04-05,2171240.5470272386
2024-04-06,2204940.5285741757
2024-04-07,2219131.518935665
2024-04-08,2291826.8833691357
2024-04-09,2211841.6343888645
2024-04-10,2259805.0115261627
2024-04-11,2240540.1195217473
2024-04-12,2148772.477887123
2024-04-13,2048404.089512356
2024-04-14,2104213.4363517403
2024-04-15,2030035.7152106257
2024-04-16,2042111.827863175
2024-04-17,1960812.1982480893
2024-04-18,2032081.1961789574
2024-04-19,2042865.645032171
2024-04-20,2079051.1088384418
2024-04-21,2078302.7309274566
2024-04-22,2139043.8850006694
2024-04-23,2124992.0418651653
2024-04-24,2056165.9106958662
2024-04-25,2063350.210658562
2024-04-26,2039741.9111552457
2024-04-27,2029625.2112122301
2024-04-28,2019287.4214289086
2024-04-29,2042842.608177535
2024-04-30,1940022.394268565
2024-05-01,1864623.7196845654
2024-05-02,1890425.3199914906
2024-05-03,2013083.7876898441
2024-05-04,2044665.3995237176
2024-05-05,2048920.4990696283
2024-05-06,2021114.372207689
2024-05-07,1994075.5006815714
2024-05-08,1957486.8918709357
2024-05-09,2018194.4505251576
2024-05-10,1945040.9096740496
2024-05-11,1946076.608390503
2024-05-12,1966426.7923455802
2024-05-13,2013558.602918518
2024-05-14,1969282.722757401
2024-05-15,2119555.983418269
2024-05-16,2087732.1646247553
2024-05-17,2145350.5446854164
2024-05-18,2141389.8049847744
2024-05-19,2120294.7626386243
2024-05-20,2285455.5924303466
2024-05-21,2197808.2135164924
2024-05-22,2270700.052188542
2024-05-23,2155956.4401162723
2024-05-24,2216990.2763249264
2024-05-25,2215943.9819899206
2024-05-26,2191879.212284794
2024-05-27,2221872.983221619
2024-05-28,2244542.693813405
2024-05-29,2256051.9314984656
2024-05-30,2244193.92903507
2024-05-31,2198505.7430731626
2024-06-01,2183160.0928264153
2024-06-02,2174960.1316781766
2024-06-03,2209159.371153851
2024-06-04,2265299.0284046712
2024-06-05,2283575.111976082
2024-06-06,2272486.5445187055
2024-06-07,2226188.9737813105
2024-06-08,2225324.249831387
2024-06-09,2236108.092807339
2024-06-10,2231810.161106734
2024-06-11,2161612.429566991
2024-06-12,2191397.401297766
2024-06-13,2143089.0985238235
2024-06-14,2119442.9283060986
2024-06-15,2125308.70862021
2024-06-16,2139526.281136511
2024-06-17,2134714.3081086124
2024-06-18,2092210.2595304882
2024-06-19,2085557.1112950242
2024-06-20,2082252.0507357756
2024-06-21,2058858.4641192341
2024-06-22,2063059.7088833663
2024-06-23,2028729.2071100608
2024-06-24,1935287.474071561
2024-06-25,1984274.4889340438
2024-06-26,1953059.5999661782
2024-06-27,1978929.4934935253
2024-06-28,1937000.5313030374
2024-06-29,1955656.3185849132
2024-06-30,2012830.3662929381
2024-07-01,2017819.9063716482
2024-07-02,1992235.1477694332
2024-07-03,1931634.9856005735
2024-07-04,1831577.9938808703
2024-07-05,1818898.8015852822
2024-07-06,1870576.6167458224
2024-07-07,1793864.7258607848
2024-07-08,1820938.4153685928
2024-07-09,1863883.3312746158
2024-07-10,1853562.6029649242
2024-07-11,1841456.2493011728
2024-07-12,1859596.0322767005
2024-07-13,1901896.8258197953
2024-07-14,1952877.8585638076
2024-07-15,2079608.1307252315
2024-07-16,2085700.7021198717
2024-07-17,2018570.3155507671
2024-07-18,2066799.913668376
2024-07-19,2197150.178851103
2024-07-20,2255547.0976529648
2024-07-21,2396586.0845806752
2024-07-22,2324632.7381998096
2024-07-23,2245770.82776426
2024-07-24,2312249.463007451
2024-07-25,2231432.2985941605
2024-07-26,2378076.3469247282
2024-07-27,2387070.515222336
2024-07-28,2401930.445453167
2024-07-29,2370776.7320744954
2024-07-30,2462098.9619536484
2024-07-31,2443586.5003474844
2024-08-01,2459493.782424419
2024-08-02,2312846.81941804
2024-08-03,2284748.7907239753
2024-08-04,2188568.0079722363
2024-08-05,2033368.5831620703
2024-08-06,2109978.084157832
2024-08-07,2074914.352137549
2024-08-08,2323670.887078536
2024-08-09,2291918.7003366295
2024-08-10,2294639.1818637094
2024-08-11,2210845.7793430747
2024-08-12,2234892.5822101156
