signal,lookback,confirm,multiple,cagr,sharpe,mdd,turnover
trailing,11,2,236.99983312605926,3.9492305844527538,2.2937857129091577,-0.5078751284617207,37.8012035414024
trailing,10,4,178.7134106773014,3.5570498550115355,2.118852222342605,-0.4735853110142876,36.04245070736414
trailing,12,2,175.25001815033718,3.5310418538041697,2.119708615230018,-0.4625944202856611,37.21468709788154
trailing,10,3,174.3722622270597,3.524392750509529,2.162655388717861,-0.4266695250893463,37.80120901079434
trailing,9,4,164.01812110741562,3.4441107255734043,2.1135200075996656,-0.462648729806044,38.3876824159757
trailing,12,1,158.6313544122414,3.4009178986897135,2.143175181356123,-0.5230448339985637,44.83432269878367
trailing,10,2,155.94330486384976,3.3789751662825545,2.1427137449973257,-0.5197282389870144,36.62894128004926
trailing,9,2,135.64371753633117,3.203959866784283,2.1130562429235638,-0.60837034125408,37.8010417192004
trailing,13,1,134.51431355338084,3.1936922440146587,2.0529492297535845,-0.6421338730862172,44.83442406068017
trailing,12,3,130.1860273397684,3.1537686580367152,2.014617068865841,-0.530772095545172,39.55965532525497
trailing,13,2,126.82784288884321,3.1221411760608886,2.0082204693110612,-0.606686917378551,36.62930823011176
trailing,11,3,126.24727190397084,3.1166134510594565,2.014032419649801,-0.5483121559585538,37.21509572888143
trailing,11,4,124.31901541919686,3.098124086993809,1.9673862421962383,-0.5590719636337966,40.14606366064374
trailing,9,3,123.62592769731765,3.091428749818,2.087591139000492,-0.5607906534084134,37.214948640050906
trailing,12,4,106.63330126553863,2.918263724321453,1.9094597098613764,-0.5161521753895222,40.14607058427519
trailing,14,1,89.10598716916911,2.7177935285615793,1.9309080655742403,-0.6554855216277753,46.00547021978504
trailing,9,1,89.01688871967889,2.716705900278409,1.9373071991570985,-0.6260856696853343,46.593416227105585
trailing,10,1,86.31714918025085,2.68337845902196,1.9294738025436649,-0.6506984518144999,46.59367170497699
trailing,13,4,73.704802257789,2.517083357845046,1.7910776028348734,-0.6506128046115341,39.56044516674539
trailing,14,4,72.40177710084512,2.4987832705885844,1.78081499571277,-0.642072676080397,39.56048151968288
trailing,14,3,65.79546486583747,2.402232921611381,1.765124692116743,-0.6476695386361362,37.21619604321388
trailing,14,2,63.676289076481375,2.3698119869570067,1.7698103392168631,-0.6737976404893684,39.56024199852454
trailing,13,3,60.99402932820483,2.327662875399141,1.753049472545956,-0.6787773954227667,39.560201519408615
ma,20,1,59.33593469419849,2.3009474904809557,1.7941547149814308,-0.586044526477067,44.83552334537156
trailing,11,1,47.39223800514749,2.0909405541396993,1.758935537345177,-0.5545747465265716,45.42092464191692
ma,15,1,41.836138601617186,1.980244314841077,1.7077072591577254,-0.6672049053493554,46.008040851101946
ma,12,1,30.366862474772805,1.7136539481559918,1.6120760217167602,-0.7182138730646348,46.59399598637105
ma,10,1,19.497811008987114,1.3838532532820094,1.4850229100869743,-0.6053234315595013,46.59282037882071
