universe,earliest_universe_date,freq,weights,base_regime,stop_lb,regime_overlay,multiple,cagr,sharpe,mdd,turnover,monthly_win_rate
loose,2022-12-31,14D,balanced,always_on,12,False,87.90736905744234,2.703096986139587,1.9469368318418725,-0.523044834047634,46.00665124420677,0.5714285714285714
loose,2022-12-31,14D,short_accel,always_on,12,False,86.91128141253733,2.690775465143264,1.9629048363804034,-0.5230448339985635,46.00656762114629,0.5714285714285714
loose,2022-12-31,14D,balanced,always_on,13,False,78.92117629289044,2.5881311268439195,1.880406989759686,-0.6337535406177155,46.00678249057249,0.5714285714285714
medium,2023-01-30,14D,short_accel,bull_only,13,True,78.26574486314378,2.5793901408000055,1.9979666797182176,-0.5319709665662674,27.252234802047724,0.6190476190476191
medium,2023-01-30,14D,short_accel,always_on,13,True,78.26574486314378,2.5793901408000055,1.9979666797182176,-0.5319709665662674,27.252234802047724,0.6190476190476191
loose,2022-12-31,14D,short_accel,always_on,13,False,77.65608946096249,2.5712130189271525,1.8923182179099813,-0.6337535406177153,46.00672036445721,0.5714285714285714
loose,2022-12-31,14D,short_accel,bull_only,13,True,75.86771877787149,2.546961069382244,1.9912115260227818,-0.5319709665662676,27.83827188406235,0.5952380952380952
loose,2022-12-31,14D,short_accel,always_on,13,True,75.86771877787149,2.546961069382244,1.9912115260227818,-0.5319709665662676,27.83827188406235,0.5952380952380952
medium,2023-01-30,14D,short_accel,bull_only,12,True,75.66840630057952,2.5442332462762898,2.0023049970259788,-0.5319378904013118,27.83863351606632,0.6190476190476191
medium,2023-01-30,14D,short_accel,always_on,12,True,75.66840630057952,2.5442332462762898,2.0023049970259788,-0.5319378904013118,27.83863351606632,0.6190476190476191
medium,2023-01-30,14D,breakout,bull_only,12,True,74.58672426579793,2.529339831277151,1.9799228190012093,-0.5319378904013122,28.424575760939117,0.5952380952380952
medium,2023-01-30,14D,breakout,always_on,12,True,74.58672426579793,2.529339831277151,1.9799228190012093,-0.5319378904013122,28.424575760939117,0.5952380952380952
medium,2023-01-30,14D,breakout,bull_only,13,True,70.88954588001289,2.4772505003633207,1.9465569554270208,-0.5319709665374845,27.838274971608598,0.5952380952380952
medium,2023-01-30,14D,breakout,always_on,13,True,70.88954588001289,2.4772505003633207,1.9465569554270208,-0.5319709665374845,27.838274971608598,0.5952380952380952
loose,2022-12-31,14D,balanced,bull_only,13,True,69.52966630188403,2.4576077542241204,1.9421200771569826,-0.5319709665662675,27.838237617020393,0.5714285714285714
loose,2022-12-31,14D,balanced,always_on,13,True,69.52966630188403,2.4576077542241204,1.9421200771569826,-0.5319709665662675,27.838237617020393,0.5714285714285714
loose,2022-12-31,14D,short_accel,bull_only,12,True,66.35050893317197,2.4106020843964453,1.9852158775049813,-0.5367080325731438,28.424497520061212,0.5952380952380952
loose,2022-12-31,14D,short_accel,always_on,12,True,66.35050893317197,2.4106020843964453,1.9852158775049813,-0.5367080325731438,28.424497520061212,0.5952380952380952
loose,2022-12-31,14D,short_accel,bull_only,14,True,62.66403475870757,2.354055710614383,1.9450297226832183,-0.5945611024900233,28.423443805867393,0.5714285714285714
loose,2022-12-31,14D,short_accel,always_on,14,True,62.66403475870757,2.354055710614383,1.9450297226832183,-0.5945611024900233,28.423443805867393,0.5714285714285714
medium,2023-01-30,14D,balanced,bull_only,13,True,61.41380675643893,2.334344696133753,1.8914825361163794,-0.5319709665662673,27.83842059829848,0.5952380952380952
medium,2023-01-30,14D,balanced,always_on,13,True,61.41380675643893,2.334344696133753,1.8914825361163794,-0.5319709665662673,27.83842059829848,0.5952380952380952
medium,2023-01-30,14D,short_accel,bull_only,14,True,61.14400122330256,2.3300537827850385,1.9276473507621061,-0.5945611024900233,27.837486961589548,0.5952380952380952
medium,2023-01-30,14D,short_accel,always_on,14,True,61.14400122330256,2.3300537827850385,1.9276473507621061,-0.5945611024900233,27.837486961589548,0.5952380952380952
loose,2022-12-31,14D,balanced,bull_only,12,True,60.82713325235043,2.324997261461496,1.933569545485025,-0.5367080325731433,28.424463263816786,0.5714285714285714
loose,2022-12-31,14D,balanced,always_on,12,True,60.82713325235043,2.324997261461496,1.933569545485025,-0.5367080325731433,28.424463263816786,0.5714285714285714
loose,2022-12-31,14D,short_accel,always_on,14,False,59.49809649794927,2.30358338627461,1.8096942979258526,-0.6554855216277748,47.17767918232573,0.5238095238095238
medium,2023-01-30,14D,balanced,bull_only,12,True,59.394800865760686,2.301904932615673,1.8939090974673765,-0.5319378904013119,28.42481961010063,0.5952380952380952
medium,2023-01-30,14D,balanced,always_on,12,True,59.394800865760686,2.301904932615673,1.8939090974673765,-0.5319378904013119,28.42481961010063,0.5952380952380952
loose,2022-12-31,14D,balanced,bull_only,14,True,57.447539588147784,2.269870154249572,1.8950741567269764,-0.5945611024900236,28.423409557660072,0.5476190476190477
loose,2022-12-31,14D,balanced,always_on,14,True,57.447539588147784,2.269870154249572,1.8950741567269764,-0.5945611024900236,28.423409557660072,0.5476190476190477
medium,2023-01-30,14D,short_accel,bull_only,13,False,54.21162142065755,2.2148924310206337,1.8751077172462767,-0.5012379292641214,35.154832653532914,0.5952380952380952
loose,2022-12-31,14D,short_accel,bull_only,13,False,52.550599008796404,2.1857656260820026,1.8679254837949266,-0.501237929264122,35.740869755148154,0.5714285714285714
medium,2023-01-30,14D,breakout,bull_only,14,True,51.19632554411177,2.161531864575602,1.8479082999534402,-0.6048178839852206,28.423596437198803,0.5476190476190477
medium,2023-01-30,14D,breakout,always_on,14,True,51.19632554411177,2.161531864575602,1.8479082999534402,-0.6048178839852206,28.423596437198803,0.5476190476190477
medium,2023-01-30,14D,breakout,bull_only,13,False,50.01448713865451,2.140010274144646,1.8315816924071,-0.5014878515484151,35.74084082197638,0.5714285714285714
medium,2023-01-30,14D,short_accel,bull_only,12,False,49.79150156645766,2.135909399642571,1.8617376576807338,-0.4814260089176915,35.15573402086555,0.5714285714285714
medium,2023-01-30,14D,breakout,bull_only,12,False,49.08328613447009,2.122797985354548,1.8406274178390176,-0.48142600891769083,35.74165494837571,0.5476190476190477
loose,2022-12-31,14D,balanced,bull_only,13,False,49.055052123724494,2.1222725134371485,1.8268770822466145,-0.5012379292641218,35.74080348708149,0.5476190476190477
medium,2023-01-30,14D,balanced,bull_only,14,True,47.99408835871526,2.10236956837841,1.81978720239711,-0.594561102490023,28.423673023071633,0.5476190476190477
medium,2023-01-30,14D,balanced,always_on,14,True,47.99408835871526,2.10236956837841,1.81978720239711,-0.594561102490023,28.423673023071633,0.5476190476190477
medium,2023-01-30,14D,breakout,always_on,12,False,46.382445845506645,2.0715319184421395,1.758003964450826,-0.5681858148015345,45.42047956801513,0.5476190476190477
loose,2022-12-31,14D,balanced,always_on,14,False,46.25118485905095,2.0689871363155925,1.714978355837295,-0.6554855216529978,47.17789589420784,0.5238095238095238
medium,2023-01-30,14D,short_accel,always_on,13,False,45.78003830385882,2.0598106194966976,1.7469708198809948,-0.6071534171578278,44.24822202967799,0.5952380952380952
medium,2023-01-30,14D,breakout,always_on,13,False,44.94810257175463,2.043442508601731,1.7306626548061974,-0.6172988577173817,45.420317887237005,0.5714285714285714
loose,2022-12-31,14D,breakout,always_on,12,False,44.85779815397574,2.0416529334902562,1.7462183047705484,-0.5458417098128159,44.83421448648488,0.5714285714285714
loose,2022-12-31,14D,short_accel,bull_only,12,False,43.66011405425082,2.017673551181613,1.8416713558299753,-0.48646985292617595,35.74159804446095,0.5476190476190477
medium,2023-01-30,14D,balanced,bull_only,13,False,43.32909462474067,2.0109640925001155,1.7758927764945145,-0.5012379292641217,35.74098646847043,0.5714285714285714
medium,2023-01-30,14D,short_accel,always_on,12,False,40.21673371401913,1.9460327091335028,1.716981457629485,-0.5712884188988889,45.42069925717536,0.5476190476190477
loose,2022-12-31,14D,balanced,bull_only,12,False,40.02850930406462,1.9419934158861905,1.7908638776098387,-0.48646985292617617,35.74154247094942,0.5238095238095238
medium,2023-01-30,14D,balanced,always_on,13,False,39.14067060767219,1.9227570781741394,1.6722430599885563,-0.6071534171578283,46.0067026290516,0.5714285714285714
medium,2023-01-30,14D,balanced,bull_only,12,False,39.0859343692911,1.9215610740979803,1.7532137908029448,-0.48142600891769094,35.741898817344236,0.5476190476190477
medium,2023-01-30,14D,balanced,always_on,12,False,35.90786003682219,1.8499883836923372,1.6568661826247155,-0.571288418898889,46.00696729986163,0.5476190476190477
loose,2022-12-31,14D,breakout,bull_only,12,True,34.87636314518634,1.8257968279183374,1.7174985927474076,-0.5592652192563601,27.838596145403535,0.5476190476190477
loose,2022-12-31,14D,breakout,always_on,12,True,34.87636314518634,1.8257968279183374,1.7174985927474076,-0.5592652192563601,27.838596145403535,0.5476190476190477
loose,2022-12-31,14D,breakout,bull_only,13,True,34.77770527352043,1.8234566177721203,1.6855780818458022,-0.5319709665374843,27.2525270750711,0.5476190476190477
loose,2022-12-31,14D,breakout,always_on,13,True,34.77770527352043,1.8234566177721203,1.6855780818458022,-0.5319709665374843,27.2525270750711,0.5476190476190477
loose,2022-12-31,14D,short_accel,bull_only,14,False,34.411066745799815,1.814718396723313,1.7236633804897348,-0.5746927933893389,36.911466714380154,0.5238095238095238
loose,2022-12-31,14D,breakout,always_on,13,False,34.32250060414867,1.812597699585723,1.6290126343462665,-0.6421338730676109,44.83449846354109,0.5476190476190477
medium,2023-01-30,14D,short_accel,bull_only,14,False,33.57636411431802,1.794576070450626,1.7073753499574884,-0.574692793389338,36.32550985042376,0.5476190476190477
loose,2022-12-31,14D,balanced,bull_only,14,False,31.18885093074281,1.7349345175001698,1.6712559884443896,-0.5746927933893384,36.911421389108185,0.5
medium,2023-01-30,14D,breakout,bull_only,14,False,28.946156232899465,1.6758914563045701,1.640253374418817,-0.5682833972448134,36.911559601881244,0.5
loose,2022-12-31,14D,breakout,bull_only,14,True,27.609609423830236,1.6391491759924963,1.6178289222617226,-0.6048178839852203,28.42398221279731,0.5238095238095238
loose,2022-12-31,14D,breakout,always_on,14,True,27.609609423830236,1.6391491759924963,1.6178289222617226,-0.6048178839852203,28.42398221279731,0.5238095238095238
medium,2023-01-30,14D,balanced,bull_only,14,False,26.056476526959568,1.5948362526364472,1.596627509646042,-0.5746927933893388,36.91168485463139,0.5
loose,2022-12-31,14D,breakout,bull_only,13,False,24.536607690763926,1.549624369553337,1.5669131979273123,-0.5014878515484156,35.15509294513514,0.5238095238095238
medium,2023-01-30,14D,short_accel,always_on,14,False,24.42004415268324,1.5460759585125063,1.5317841948825908,-0.6554855216651778,44.83293082525118,0.5238095238095238
loose,2022-12-31,14D,breakout,bull_only,12,False,22.95108699036193,1.500295491585954,1.5714050339562196,-0.5114730824432787,35.15567535253618,0.5
medium,2023-01-30,14D,breakout,always_on,14,False,19.823750779784305,1.3954398967072779,1.4556288025583444,-0.6500602759316947,46.00512005241168,0.5
loose,2022-12-31,14D,breakout,always_on,14,False,19.192000595659955,1.3728568947079953,1.436629018060717,-0.6500602759200738,45.42005036490356,0.5
medium,2023-01-30,14D,balanced,always_on,14,False,17.478682456353454,1.308840694770566,1.4015679717313438,-0.6554855216651775,46.591397714801666,0.5
loose,2022-12-31,14D,breakout,bull_only,14,False,15.610339329745562,1.2337515152753702,1.4075276122922764,-0.5682833972448134,36.911945397254414,0.47619047619047616
medium,2023-01-30,16D,breakout,always_on,13,False,5.108469683159008,0.6112107963418341,1.2222281721072132,-0.3632772583271545,23.721186032103997,0.5476190476190477
medium,2023-01-30,16D,breakout,bull_only,13,True,5.013575529377819,0.6023992065793862,1.2475250482578986,-0.49625792192140084,12.591791112440086,0.5714285714285714
medium,2023-01-30,16D,breakout,always_on,13,True,5.013575529377819,0.6023992065793862,1.2475250482578986,-0.49625792192140084,12.591791112440086,0.5714285714285714
medium,2023-01-30,16D,short_accel,bull_only,13,True,4.976031016661498,0.5988803477928255,1.2462206244955134,-0.4962579219214007,12.591875332322045,0.5714285714285714
medium,2023-01-30,16D,short_accel,always_on,13,True,4.976031016661498,0.5988803477928255,1.2462206244955134,-0.4962579219214007,12.591875332322045,0.5714285714285714
medium,2023-01-30,16D,short_accel,always_on,13,False,4.868193594283318,0.5886676874565389,1.1771275346963557,-0.36327725832715463,23.721320976868494,0.5476190476190477
medium,2023-01-30,16D,breakout,bull_only,14,True,4.864978517822444,0.5883607596047526,1.2154698319117023,-0.49625772909883903,12.006325262772306,0.5952380952380952
medium,2023-01-30,16D,breakout,always_on,14,True,4.864978517822444,0.5883607596047526,1.2154698319117023,-0.49625772909883903,12.006325262772306,0.5952380952380952
medium,2023-01-30,16D,short_accel,bull_only,14,True,4.8285479933056195,0.5848728452245848,1.21396632097707,-0.4962577290988387,12.006409409028256,0.5952380952380952
medium,2023-01-30,16D,short_accel,always_on,14,True,4.8285479933056195,0.5848728452245848,1.21396632097707,-0.4962577290988387,12.006409409028256,0.5952380952380952
medium,2023-01-30,16D,breakout,bull_only,12,True,4.751152159221429,0.5774005846470327,1.2258466290510637,-0.4962577290988388,10.835408519268881,0.5714285714285714
medium,2023-01-30,16D,breakout,always_on,12,True,4.751152159221429,0.5774005846470327,1.2258466290510637,-0.4962577290988388,10.835408519268881,0.5714285714285714
medium,2023-01-30,16D,short_accel,bull_only,12,True,4.715574000837846,0.5739367377215565,1.2245097262392866,-0.49625772909883836,10.835492665666083,0.5714285714285714
medium,2023-01-30,16D,short_accel,always_on,12,True,4.715574000837846,0.5739367377215565,1.2245097262392866,-0.49625772909883836,10.835492665666083,0.5714285714285714
medium,2023-01-30,16D,balanced,bull_only,13,True,4.371410772074818,0.5394347670093256,1.1643515599679415,-0.4962579219214007,12.591881683437478,0.5714285714285714
medium,2023-01-30,16D,balanced,always_on,13,True,4.371410772074818,0.5394347670093256,1.1643515599679415,-0.4962579219214007,12.591881683437478,0.5714285714285714
loose,2022-12-31,16D,short_accel,bull_only,13,True,4.371410772074818,0.5394347670093256,1.1643515599679415,-0.4962579219214007,12.591881683437478,0.5714285714285714
loose,2022-12-31,16D,short_accel,always_on,13,True,4.371410772074818,0.5394347670093256,1.1643515599679415,-0.4962579219214007,12.591881683437478,0.5714285714285714
loose,2022-12-31,16D,balanced,bull_only,13,True,4.371410772074818,0.5394347670093256,1.1643515599679415,-0.4962579219214007,12.591881683437478,0.5714285714285714
loose,2022-12-31,16D,balanced,always_on,13,True,4.371410772074818,0.5394347670093256,1.1643515599679415,-0.4962579219214007,12.591881683437478,0.5714285714285714
medium,2023-01-30,16D,balanced,always_on,13,False,4.276676224935372,0.5296018004496168,1.1009612049330182,-0.36327725832715463,23.721327333157404,0.5476190476190477
medium,2023-01-30,16D,balanced,bull_only,14,True,4.241847898604508,0.525948056460728,1.1334934575663598,-0.4962577290988387,12.006415760143689,0.5952380952380952
medium,2023-01-30,16D,balanced,always_on,14,True,4.241847898604508,0.525948056460728,1.1334934575663598,-0.4962577290988387,12.006415760143689,0.5952380952380952
loose,2022-12-31,16D,short_accel,bull_only,14,True,4.241847898604508,0.525948056460728,1.1334934575663598,-0.4962577290988387,12.006415760143689,0.5952380952380952
loose,2022-12-31,16D,short_accel,always_on,14,True,4.241847898604508,0.525948056460728,1.1334934575663598,-0.4962577290988387,12.006415760143689,0.5952380952380952
loose,2022-12-31,16D,balanced,bull_only,14,True,4.241847898604508,0.525948056460728,1.1334934575663598,-0.4962577290988387,12.006415760143689,0.5952380952380952
loose,2022-12-31,16D,balanced,always_on,14,True,4.241847898604508,0.525948056460728,1.1334934575663598,-0.4962577290988387,12.006415760143689,0.5952380952380952
medium,2023-01-30,16D,breakout,always_on,14,False,4.183343056015715,0.5197624064977326,1.095178856353601,-0.35499199862422537,22.550154497146124,0.5476190476190477
medium,2023-01-30,16D,balanced,bull_only,12,True,4.142600983546235,0.5154185480274349,1.1414015495832657,-0.49625772909883825,10.835499016781515,0.5714285714285714
medium,2023-01-30,16D,balanced,always_on,12,True,4.142600983546235,0.5154185480274349,1.1414015495832657,-0.49625772909883825,10.835499016781515,0.5714285714285714
loose,2022-12-31,16D,short_accel,bull_only,12,True,4.142600983546235,0.5154185480274349,1.1414015495832657,-0.49625772909883825,10.835499016781515,0.5714285714285714
loose,2022-12-31,16D,short_accel,always_on,12,True,4.142600983546235,0.5154185480274349,1.1414015495832657,-0.49625772909883825,10.835499016781515,0.5714285714285714
loose,2022-12-31,16D,balanced,bull_only,12,True,4.142600983546235,0.5154185480274349,1.1414015495832657,-0.49625772909883825,10.835499016781515,0.5714285714285714
loose,2022-12-31,16D,balanced,always_on,12,True,4.142600983546235,0.5154185480274349,1.1414015495832657,-0.49625772909883825,10.835499016781515,0.5714285714285714
medium,2023-01-30,16D,short_accel,always_on,14,False,3.8953615000183124,0.48838846026708227,1.0396507649145503,-0.3549919986242255,22.55028936828461,0.5476190476190477
loose,2022-12-31,16D,breakout,bull_only,13,True,3.4988646522777573,0.442385193975094,1.028352191866859,-0.4962579219214003,12.592134422726458,0.5714285714285714
loose,2022-12-31,16D,breakout,always_on,13,True,3.4988646522777573,0.442385193975094,1.028352191866859,-0.4962579219214003,12.592134422726458,0.5714285714285714
medium,2023-01-30,16D,breakout,bull_only,13,False,3.457458729396284,0.43737191889758487,1.0493264981077128,-0.5813327967930169,20.20359901604292,0.5238095238095238
medium,2023-01-30,16D,short_accel,bull_only,13,False,3.4315673067037697,0.4342154590181746,1.0473525899589273,-0.5813327967930167,20.20368323592488,0.5238095238095238
medium,2023-01-30,16D,balanced,always_on,14,False,3.422049594134282,0.4330509058134131,0.964272862893705,-0.35499199862422526,22.550295724594182,0.5476190476190477
loose,2022-12-31,16D,breakout,bull_only,14,True,3.3951654509008677,0.4297490314545078,0.999438205126422,-0.49625772909883836,12.00666827823255,0.5952380952380952
loose,2022-12-31,16D,breakout,always_on,14,True,3.3951654509008677,0.4297490314545078,0.999438205126422,-0.49625772909883836,12.00666827823255,0.5952380952380952
medium,2023-01-30,16D,breakout,bull_only,12,False,3.3602968783092155,0.42543884964062806,1.0415558057214784,-0.5039133779251719,17.861574097142608,0.5238095238095238
medium,2023-01-30,16D,short_accel,bull_only,12,False,3.335133892459492,0.42230869866640064,1.0395990966537396,-0.5039133779251717,17.86165824353981,0.5238095238095238
loose,2022-12-31,16D,breakout,bull_only,12,True,3.315728440087628,0.4198833251259455,1.003254933685198,-0.4962577290988387,10.835751535294737,0.5714285714285714
loose,2022-12-31,16D,breakout,always_on,12,True,3.315728440087628,0.4198833251259455,1.003254933685198,-0.4962577290988387,10.835751535294737,0.5714285714285714
medium,2023-01-30,16D,breakout,always_on,12,False,3.2107182880047582,0.4065815184208088,0.9743794584956783,-0.44413970919295376,20.79344141412559,0.5238095238095238
loose,2022-12-31,16D,short_accel,always_on,12,False,3.159778031155344,0.4000177234204323,0.9475827928855292,-0.41886335138032604,20.793545586095,0.5238095238095238
loose,2022-12-31,16D,balanced,always_on,12,False,3.159778031155344,0.4000177234204323,0.9475827928855292,-0.41886335138032604,20.793545586095,0.5238095238095238
medium,2023-01-30,12D,short_accel,bull_only,14,True,3.1564715614258,0.3995890953334773,0.9793997321304528,-0.49625792011309067,11.420575363969933,0.5952380952380952
medium,2023-01-30,12D,short_accel,always_on,14,True,3.1564715614258,0.3995890953334773,0.9793997321304528,-0.49625792011309067,11.420575363969933,0.5952380952380952
medium,2023-01-30,12D,breakout,bull_only,14,True,3.1564715614258,0.3995890953334773,0.9793997321304528,-0.49625792011309067,11.420575363969933,0.5952380952380952
medium,2023-01-30,12D,breakout,always_on,14,True,3.1564715614258,0.3995890953334773,0.9793997321304528,-0.49625792011309067,11.420575363969933,0.5952380952380952
medium,2023-01-30,12D,short_accel,bull_only,13,True,3.1174494617703354,0.3945063748395441,0.9788563144235191,-0.4962579201130909,13.178643705248145,0.5714285714285714
medium,2023-01-30,12D,short_accel,always_on,13,True,3.1174494617703354,0.3945063748395441,0.9788563144235191,-0.4962579201130909,13.178643705248145,0.5714285714285714
medium,2023-01-30,12D,breakout,bull_only,13,True,3.116444769913535,0.39437491843052275,0.9786466376919729,-0.4962579201130909,13.178643705248145,0.5714285714285714
medium,2023-01-30,12D,breakout,always_on,13,True,3.116444769913535,0.39437491843052275,0.9786466376919729,-0.4962579201130909,13.178643705248145,0.5714285714285714
medium,2023-01-30,12D,balanced,bull_only,14,True,3.040938215898257,0.3844084484960544,0.9535005772175112,-0.4962579201130912,11.420501810253919,0.5952380952380952
medium,2023-01-30,12D,balanced,always_on,14,True,3.040938215898257,0.3844084484960544,0.9535005772175112,-0.4962579201130912,11.420501810253919,0.5952380952380952
loose,2022-12-31,12D,short_accel,bull_only,14,True,3.040938215898257,0.3844084484960544,0.9535005772175112,-0.4962579201130912,11.420501810253919,0.5952380952380952
loose,2022-12-31,12D,short_accel,always_on,14,True,3.040938215898257,0.3844084484960544,0.9535005772175112,-0.4962579201130912,11.420501810253919,0.5952380952380952
loose,2022-12-31,12D,breakout,bull_only,14,True,3.040938215898257,0.3844084484960544,0.9535005772175112,-0.4962579201130912,11.420501810253919,0.5952380952380952
loose,2022-12-31,12D,breakout,always_on,14,True,3.040938215898257,0.3844084484960544,0.9535005772175112,-0.4962579201130912,11.420501810253919,0.5952380952380952
loose,2022-12-31,12D,balanced,bull_only,14,True,3.040938215898257,0.3844084484960544,0.9535005772175112,-0.4962579201130912,11.420501810253919,0.5952380952380952
loose,2022-12-31,12D,balanced,always_on,14,True,3.040938215898257,0.3844084484960544,0.9535005772175112,-0.4962579201130912,11.420501810253919,0.5952380952380952
medium,2023-01-30,16D,balanced,bull_only,13,False,3.0146094296823054,0.38089203026412344,0.9601426482562045,-0.5813327967930173,20.20368959221379,0.5238095238095238
loose,2022-12-31,16D,short_accel,bull_only,13,False,3.0146094296823054,0.38089203026412344,0.9601426482562045,-0.5813327967930173,20.20368959221379,0.5238095238095238
loose,2022-12-31,16D,balanced,bull_only,13,False,3.0146094296823054,0.38089203026412344,0.9601426482562045,-0.5813327967930173,20.20368959221379,0.5238095238095238
loose,2022-12-31,12D,short_accel,bull_only,13,True,3.0033444052785074,0.37938085774344876,0.952553268295262,-0.4962579201130908,13.178570151532135,0.5714285714285714
loose,2022-12-31,12D,short_accel,always_on,13,True,3.0033444052785074,0.37938085774344876,0.952553268295262,-0.4962579201130908,13.178570151532135,0.5714285714285714
medium,2023-01-30,12D,balanced,bull_only,13,True,3.0023764872082594,0.37925082717671676,0.9523438053392683,-0.49625792011309067,13.178570151532135,0.5714285714285714
medium,2023-01-30,12D,balanced,always_on,13,True,3.0023764872082594,0.37925082717671676,0.9523438053392683,-0.49625792011309067,13.178570151532135,0.5714285714285714
