strategy,universe_setting,min_history_days,min_daily_dollar_volume,earliest_universe_date,variant,stop_lookback,immediate_reentry,risk_on_fraction,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,multiple
loose__momentum_lead_top1_biweekly_w0__stop14__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,14.0,False,0.561698717948718,14.131577197293707,1.2134938061725,0.6233319379063358,1.5568161685307258,3.5668632789302963,-0.38809911024613275,3.1267626596796405,0.3333333333333333,16.39780737637451,1.1680629911938007,0.19230769230769232,15.131577197293707
loose__momentum_lead_top1_biweekly_w0__stop12__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,12.0,False,0.5584935897435898,13.219444232594974,1.1736079590576334,0.6025692574441017,1.5598990376388158,3.6709619249741845,-0.4007932863738407,2.928212619716759,0.2857142857142857,16.398210652550837,1.1442531112319512,0.18509615384615385,14.219444232594974
medium__momentum_lead_top1_biweekly_w0__stop14__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_biweekly_w0,14.0,False,0.561698717948718,11.944479479024212,1.114701626078948,0.6296365403499339,1.4736110343809026,3.4290359245699604,-0.3621175949162099,3.0782862852518336,0.3333333333333333,16.398046683661796,1.1680800377402925,0.19230769230769232,12.944479479024212
medium__momentum_lead_top1_biweekly_w0__stop12__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_biweekly_w0,12.0,False,0.5584935897435898,11.750452720821835,1.1053815171835928,0.6278642494500318,1.466644175661256,3.5659890927045517,-0.372678118410664,2.9660488839474692,0.2857142857142857,16.983984303719488,1.1851278955013653,0.18509615384615385,12.750452720821835
medium__momentum_lead_top1_7D_w0__stop12__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_7D_w0,12.0,False,0.5584935897435898,10.547690691821694,1.0452470498890274,0.562498721826838,1.5181379367354293,4.207480581393277,-0.33276809292788667,3.1410675245103508,0.3333333333333333,16.97924632118967,1.000949428854261,0.11298076923076923,11.547690691821694
loose__momentum_lead_top1_7D_w0__stop12__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_7D_w0,12.0,False,0.5584935897435898,10.396158007438352,1.0373609589019281,0.5421001477740446,1.5517130973314481,4.079946693304331,-0.36267193924390473,2.8603287066118463,0.3333333333333333,16.979044105477143,1.000937507965776,0.11298076923076923,11.396158007438352
loose__momentum_lead_top1_biweekly_w0__stop14__reentry1,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,14.0,True,0.561698717948718,10.27070558203233,1.0307758113468646,0.7157580367193397,1.3197046587196624,2.7612223382634737,-0.5781065810643151,1.7830203722108975,0.3333333333333333,36.897204385806326,1.1264117190187453,0.2948717948717949,11.27070558203233
loose__momentum_lead_top1_7D_w0__stop14__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_7D_w0,14.0,False,0.561698717948718,10.222348953508654,1.0282236656493704,0.5692660249969655,1.495017863578377,3.7382062583197677,-0.39996583751403203,2.570778724603691,0.2857142857142857,16.393527946564415,1.0009355615123479,0.1201923076923077,11.222348953508654
medium__momentum_lead_top1_biweekly_w0__stop10__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_biweekly_w0,10.0,False,0.5488782051282052,10.189471802886606,1.0264840426229207,0.618417393961581,1.4184108689061339,3.4223993207335126,-0.47332703526818887,2.1686571147183913,0.21428571428571427,14.640598385564664,1.1377002979567061,0.16666666666666666,11.189471802886606
strict__sector_lead_top1_biweekly__stop10__reentry0,strict,90.0,25000000.0,2023-02-27,sector_lead_top1_biweekly,10.0,False,0.5488782051282052,9.585529167794133,0.9938642397476352,0.539785413055083,1.5305949538046293,3.380819666210418,-0.40281599804940826,2.4672908835803753,0.30952380952380953,14.05459689994232,1.092162947143712,0.16666666666666666,10.585529167794133
loose__momentum_lead_top1_biweekly_w0__stop0__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,0.0,False,1.0,9.35179382534587,0.9808862364217026,0.8352773272526871,1.2084145839520992,2.4454817178412016,-0.5976493293616231,1.6412404201464303,0.30952380952380953,19.337382254321,1.4692878571319699,0.44871794871794873,10.35179382534587
strict__momentum_lead_top1_biweekly_w0__stop12__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_biweekly_w0,12.0,False,0.5584935897435898,9.122687444033483,0.9679624543164198,0.6344431460139527,1.3533693138616982,3.1940844658625247,-0.4153740751876518,2.330339113915878,0.2857142857142857,15.225823862796593,1.0624449639793205,0.18509615384615385,10.122687444033483
medium__momentum_lead_top1_7D_w0__stop14__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_7D_w0,14.0,False,0.561698717948718,8.969443558383167,0.9592020886884458,0.5665488490425158,1.4375324205058577,3.6937939003536675,-0.3645621973357318,2.6311068336169248,0.2857142857142857,16.39365642030465,1.0009434057015756,0.1201923076923077,9.969443558383167
loose__momentum_lead_top1_biweekly_w0__stop10__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,10.0,False,0.5488782051282052,8.736201993989306,0.9456838392145592,0.5910972962992002,1.3913910481100802,3.2257289626559693,-0.4789599085693027,1.9744530226744945,0.19047619047619047,14.640413710835224,1.1376859471433598,0.16666666666666666,9.736201993989306
strict__momentum_lead_top1_biweekly_w0__stop14__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_biweekly_w0,14.0,False,0.561698717948718,8.629480364832187,0.9394219584815233,0.6279465453849088,1.3404858957992092,3.029719624114634,-0.40315465860345356,2.3301776090985147,0.30952380952380953,15.225992891176148,1.0845912744399449,0.19230769230769232,9.629480364832187
medium__momentum_lead_top1_biweekly_w0__stop0__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_biweekly_w0,0.0,False,1.0,8.561042844125623,0.9353805105955235,0.8562925068022508,1.168600937675849,2.433297369123707,-0.5628874588501713,1.661754043172779,0.30952380952380953,19.33716972365058,1.4692717086828562,0.44871794871794873,9.561042844125623
