strategy,regime,annualized_return,annualized_volatility,sharpe,days
BTC_BH__always_on,bull,2.3363363265006165,0.4628889156901181,2.8365093916925814,551
BTC_BH__always_on,non_bull,-0.16140029227702657,0.47477356258642206,-0.13433525915267894,697
ETH_BH__always_on,bull,3.5069642073729588,0.6660436358523253,2.590463424253337,551
ETH_BH__always_on,non_bull,-0.5888845471571524,0.6111371241100712,-1.1455549884693814,697
TOP20_EQ__always_on,bull,2.913991840701324,0.6671321575079364,2.382822782977281,551
TOP20_EQ__always_on,non_bull,-0.4949388659537485,0.5980807272653003,-0.8419841019556732,697
TOP20_MOM_top4_monthly__always_on,bull,2.605126297509792,0.7534625983755476,2.075854525566942,551
TOP20_MOM_top4_monthly__always_on,non_bull,-0.4460212383436517,0.5623105493834349,-0.7667699455196739,697
TOP20_MOM_top4_biweekly__always_on,bull,3.089936256607823,0.8265665652614876,2.114979997069765,551
TOP20_MOM_top4_biweekly__always_on,non_bull,-0.4584930116315,0.5606138361457219,-0.8099518272549227,697
TOP20_MOM_top6_monthly__always_on,bull,2.2961068352647245,0.6927739502975604,2.068502905567919,551
TOP20_MOM_top6_monthly__always_on,non_bull,-0.4470817456658749,0.5446561679165919,-0.812582609911036,697
TOP20_MOM_top6_biweekly__always_on,bull,3.0234029959551183,0.7442052151393267,2.243383868149183,551
TOP20_MOM_top6_biweekly__always_on,non_bull,-0.5101952243825418,0.5410475292830581,-1.0452591060980347,697
TOP20_MOM_top8_monthly__always_on,bull,3.0472002808928096,0.6868066522222427,2.3815970963523787,551
TOP20_MOM_top8_monthly__always_on,non_bull,-0.46507530513808226,0.5593529109475993,-0.8375368865259413,697
TOP20_MOM_top8_biweekly__always_on,bull,3.7917757540848216,0.7141347940081411,2.5540120776523536,551
TOP20_MOM_top8_biweekly__always_on,non_bull,-0.5529980787904918,0.5324937503943655,-1.241344172703507,697
TOP20_SECTOR_top2_monthly__always_on,bull,1.0930111843522363,0.6887197810213145,1.4170789206769294,551
TOP20_SECTOR_top2_monthly__always_on,non_bull,-0.4902657650744917,0.5924431913914103,-0.8355936017439084,697
TOP20_SECTOR_top2_biweekly__always_on,bull,2.352586363192726,0.7884638611480743,1.9244276286342004,551
TOP20_SECTOR_top2_biweekly__always_on,non_bull,-0.4797860986465302,0.584140255005318,-0.8207120727780607,697
TOP20_SECTOR_top3_monthly__always_on,bull,2.410606464318278,0.7119961890899428,2.0787863662139947,551
TOP20_SECTOR_top3_monthly__always_on,non_bull,-0.45353808924265504,0.5399397243776711,-0.846103036926374,697
TOP20_SECTOR_top3_biweekly__always_on,bull,2.312927493053889,0.7143649342303926,2.0338618556962667,551
TOP20_SECTOR_top3_biweekly__always_on,non_bull,-0.5368615710250297,0.5069780391667935,-1.2598100036618813,697
TOP20_SECTOR_top4_monthly__always_on,bull,2.084666359135063,0.6533669633895167,2.0520229727578436,551
TOP20_SECTOR_top4_monthly__always_on,non_bull,-0.46282100878331767,0.5116507117280676,-0.9551369914661539,697
TOP20_SECTOR_top4_biweekly__always_on,bull,2.4682520891204294,0.6663553289295192,2.201065896435883,551
TOP20_SECTOR_top4_biweekly__always_on,non_bull,-0.5355720022111883,0.5022051280814385,-1.2709443329013876,697
BTC_BH__bull_only,bull,1.288891895609177,0.4316580223077335,2.1345094358666707,551
BTC_BH__bull_only,non_bull,-0.22125597777899675,0.12469800953614933,-1.9412861224658415,697
