coin_id,contribution,holding_days,share_of_gross
dogecoin,1.6830456040871724,89,0.27124687873569747
terra-luna,0.8607059457842301,49,0.1387150774383513
zcash,0.8029279742101476,83,0.12940333067932644
solana,0.5758426435418067,63,0.09280528069133523
stellar,0.4286040324553446,56,0.06907567194538378
shiba-inu,0.41131111200412185,63,0.066288670401737
bitcoin-cash,0.30648165030833907,49,0.049393902835443725
hyperliquid,0.29996986357829786,56,0.04834443523859022
crypto-com-chain,0.2998812284363708,7,0.048330150417349706
monero,0.234100519348634,14,0.03772864801139032
okb,0.22685348643389805,21,0.036560684972573476
pepe,0.20495807713144373,28,0.03303192650191252
ethereum,0.09856600840109142,7,0.015885322455497657
internet-computer,0.07138043532234692,38,0.011503978404960143
cosmos,0.06798012788714602,7,0.010955970212965687
matic-network,0.05932746644503408,7,0.009561470026381308
bittensor,0.048969847530170835,7,0.007892191549928946
sui,0.04535632171818607,49,0.007309820165961993
avalanche-2,0.042813962884291956,49,0.006900082665893523
bitcoin,0.04202382699406626,14,0.006772740962566944
filecoin,0.031541354895441936,14,0.005083340609254465
theta-token,0.029559221893236117,21,0.0047638915172145925
uniswap,0.022723842079719392,19,0.0036622722652543977
tron,0.0105268821291159,7,0.0016965576651085136
the-open-network,0.009447212578448327,28,0.0015225534699914195
havven,0.00897326787371594,7,0.0014461705000114132
kaspa,0.006319148026155385,21,0.001018421113605614
mantle,0.002496550782139978,7,0.00040235487714423155
polkadot,0.0012476062820413359,7,0.00020106960207908476
pancakeswap-token,0.0,0,0.0
osmosis,0.0,0,0.0
optimism,0.0,0,0.0
ondo-finance,0.0,0,0.0
pump-fun,0.0,0,0.0
neo,0.0,0,0.0
pi-network,0.0,0,0.0
morpho,0.0,0,0.0
polygon-ecosystem-token,0.0,0,0.0
1inch,0.0,0,0.0
rain,0.0,0,0.0
render-token,0.0,0,0.0
yearn-finance,0.0,0,0.0
worldcoin-wld,0.0,0,0.0
world-liberty-financial,0.0,0,0.0
waves,0.0,0,0.0
venice-token,0.0,0,0.0
vechain,0.0,0,0.0
thorchain,0.0,0,0.0
the-sandbox,0.0,0,0.0
the-graph,0.0,0,0.0
tezos,0.0,0,0.0
terra-luna-2,0.0,0,0.0
sushi,0.0,0,0.0
memecore,0.0,0,0.0
sky,0.0,0,0.0
sei-network,0.0,0,0.0
stepn,0.0,0,0.0
kucoin-shares,0.0,0,0.0
maker,0.0,0,0.0
canton-network,0.0,0,0.0
elrond-erd-2,0.0,0,0.0
dydx-chain,0.0,0,0.0
decentraland,0.0,0,0.0
curve-dao-token,0.0,0,0.0
compound-governance-token,0.0,0,0.0
celestia,0.0,0,0.0
cardano,0.0,0,0.0
bitway,0.0,0,0.0
eos,0.0,0,0.0
bitget-token,0.0,0,0.0
basic-attention-token,0.0,0,0.0
axie-infinity,0.0,0,0.0
aster-2,0.0,0,0.0
arbitrum,0.0,0,0.0
apecoin,0.0,0,0.0
algorand,0.0,0,0.0
litecoin,0.0,0,0.0
enjincoin,0.0,0,0.0
ethena,0.0,0,0.0
gala,0.0,0,0.0
lido-dao,0.0,0,0.0
leo-token,0.0,0,0.0
aave,0.0,0,0.0
jupiter-exchange-solana,0.0,0,0.0
injective-protocol,0.0,0,0.0
htx-dao,0.0,0,0.0
helium,0.0,0,0.0
ftx-token,0.0,0,0.0
flow,0.0,0,0.0
fantom,0.0,0,0.0
ethereum-name-service,0.0,0,0.0
zilliqa,0.0,0,0.0
chiliz,-0.013165529388478562,7,-0.0021218134225571123
binancecoin,-0.015225009361583303,14,-0.0024537280855744105
chainlink,-0.019053773330736844,42,-0.0030707881780202523
immutable-x,-0.02003351348973006,7,-0.0032286873219611917
hedera-hashgraph,-0.04464874167257972,21,-0.007195783518137182
ethereum-classic,-0.052659131765629946,21,-0.00848677248772822
aptos,-0.06595396219845295,14,-0.010629424623514806
near,-0.1922775643444901,13,-0.030988280443911158
ripple,-0.30607017592485375,37,-0.049327587851506836
