rebalance_date,btc_gate_open,top20,picked,picked_symbol,pipeline_rank,independent_rank,in_top20,target_vol_exposure,top_score
2021-01-01,True,bitcoin ethereum ripple litecoin polkadot bitcoin-cash binancecoin cardano chainlink stellar eos monero theta-token tron tezos crypto-com-chain uniswap vechain cosmos neo,theta-token,THETA,13.0,13.0,True,0.4538,2.91811131749852
2021-01-08,True,bitcoin ethereum ripple litecoin cardano polkadot bitcoin-cash stellar binancecoin chainlink eos monero tron theta-token tezos crypto-com-chain vechain uniswap neo aave,theta-token,THETA,14.0,14.0,True,0.4043,2.020485057554996
2021-01-15,True,bitcoin ethereum ripple polkadot litecoin cardano bitcoin-cash chainlink stellar binancecoin monero eos tron tezos theta-token uniswap aave havven cosmos neo,havven,SNX,18.0,18.0,True,0.5171,2.383724125861776
2021-01-22,True,bitcoin ethereum polkadot ripple cardano litecoin chainlink bitcoin-cash binancecoin stellar uniswap eos monero aave tezos tron vechain theta-token crypto-com-chain cosmos,polkadot,DOT,3.0,3.0,True,0.302,3.7546494755401945
2021-01-29,True,bitcoin ethereum polkadot ripple cardano chainlink litecoin bitcoin-cash binancecoin stellar dogecoin uniswap aave eos monero tron tezos theta-token havven vechain,dogecoin,DOGE,11.0,11.0,True,0.0627,13.666040173116969
2021-02-05,True,bitcoin ethereum ripple polkadot cardano chainlink binancecoin litecoin bitcoin-cash stellar uniswap aave dogecoin eos monero havven maker tezos tron cosmos,dogecoin,DOGE,13.0,13.0,True,0.0629,5.209373916569735
2021-02-12,True,bitcoin ethereum cardano ripple polkadot binancecoin litecoin chainlink stellar bitcoin-cash dogecoin uniswap aave eos cosmos tron tezos avalanche-2 monero vechain,dogecoin,DOGE,11.0,11.0,True,0.0629,10.561549643026813
2021-02-19,True,bitcoin ethereum binancecoin polkadot cardano ripple litecoin chainlink bitcoin-cash stellar dogecoin uniswap aave monero eos cosmos tron tezos theta-token vechain,binancecoin,BNB,3.0,3.0,True,0.2674,9.923836576906858
2021-02-26,True,bitcoin ethereum cardano binancecoin polkadot ripple litecoin chainlink bitcoin-cash stellar uniswap dogecoin aave cosmos crypto-com-chain monero solana eos tron theta-token,dogecoin,DOGE,12.0,12.0,True,0.0626,8.359584995691971
2021-03-05,True,bitcoin ethereum cardano binancecoin polkadot ripple uniswap litecoin chainlink bitcoin-cash stellar dogecoin aave theta-token cosmos monero crypto-com-chain tron eos terra-luna,binancecoin,BNB,4.0,4.0,True,0.2352,4.846800024557016
2021-03-12,True,bitcoin ethereum binancecoin cardano polkadot ripple uniswap litecoin chainlink bitcoin-cash stellar dogecoin theta-token terra-luna aave crypto-com-chain vechain chiliz monero cosmos,chiliz,CHZ,18.0,18.0,True,0.1665,35.65587657957329
