rebalance_date,status,pipeline_n,independent_n,same_set,same_order,overlap,only_pipeline,only_independent,cap_mismatch_n,missing_in_raw_n,top1
2021-01-01,ok,20,20,True,True,20,,,0,0,bitcoin
2021-01-08,ok,20,20,True,True,20,,,0,0,bitcoin
2021-01-15,ok,20,20,True,True,20,,,0,0,bitcoin
2021-01-22,ok,20,20,True,True,20,,,0,0,bitcoin
2021-01-29,ok,20,20,True,True,20,,,0,0,bitcoin
2021-02-05,ok,20,20,True,True,20,,,0,0,bitcoin
2021-02-12,ok,20,20,True,True,20,,,0,0,bitcoin
2021-02-19,ok,20,20,True,True,20,,,0,0,bitcoin
2021-02-26,ok,20,20,True,True,20,,,0,0,bitcoin
2021-03-05,ok,20,20,True,True,20,,,0,0,bitcoin
2021-03-12,ok,20,20,True,True,20,,,0,0,bitcoin
2021-03-19,ok,20,20,True,True,20,,,0,0,bitcoin
2021-03-26,ok,20,20,True,True,20,,,0,0,bitcoin
2021-04-02,ok,20,20,True,True,20,,,0,0,bitcoin
2021-04-09,ok,20,20,True,True,20,,,0,0,bitcoin
2021-04-16,ok,20,20,True,True,20,,,0,0,bitcoin
2021-04-23,ok,20,20,True,True,20,,,0,0,bitcoin
2021-04-30,ok,20,20,True,True,20,,,0,0,bitcoin
2021-05-07,ok,20,20,True,True,20,,,0,0,bitcoin
2021-05-14,ok,20,20,True,True,20,,,0,0,bitcoin
2021-05-21,ok,20,20,True,True,20,,,0,0,bitcoin
2021-05-28,ok,20,20,True,True,20,,,0,0,bitcoin
2021-06-04,ok,20,20,True,True,20,,,0,0,bitcoin
2021-06-11,ok,20,20,True,True,20,,,0,0,bitcoin
2021-06-18,ok,20,20,True,True,20,,,0,0,bitcoin
2021-06-25,ok,20,20,True,True,20,,,0,0,bitcoin
2021-07-02,ok,20,20,True,True,20,,,0,0,bitcoin
2021-07-09,ok,20,20,True,True,20,,,0,0,bitcoin
2021-07-16,ok,20,20,True,True,20,,,0,0,bitcoin
2021-07-23,ok,20,20,True,True,20,,,0,0,bitcoin
2021-07-30,ok,20,20,True,True,20,,,0,0,bitcoin
2021-08-06,ok,20,20,True,True,20,,,0,0,bitcoin
2021-08-13,ok,20,20,True,True,20,,,0,0,bitcoin
2021-08-20,ok,20,20,True,True,20,,,0,0,bitcoin
2021-08-27,ok,20,20,True,True,20,,,0,0,bitcoin
2021-09-03,ok,20,20,True,True,20,,,0,0,bitcoin
2021-09-10,ok,20,20,True,True,20,,,0,0,bitcoin
2021-09-17,ok,20,20,True,True,20,,,0,0,bitcoin
2021-09-24,ok,20,20,True,True,20,,,0,0,bitcoin
2021-10-01,ok,20,20,True,True,20,,,0,0,bitcoin
2021-10-08,ok,20,20,True,True,20,,,0,0,bitcoin
2021-10-15,ok,20,20,True,True,20,,,0,0,bitcoin
2021-10-22,ok,20,20,True,True,20,,,0,0,bitcoin
2021-10-29,ok,20,20,True,True,20,,,0,0,bitcoin
2021-11-05,ok,20,20,True,True,20,,,0,0,bitcoin
2021-11-12,ok,20,20,True,True,20,,,0,0,bitcoin
2021-11-19,ok,20,20,True,True,20,,,0,0,bitcoin
2021-11-26,ok,20,20,True,True,20,,,0,0,bitcoin
2021-12-03,ok,20,20,True,True,20,,,0,0,bitcoin
2021-12-10,ok,20,20,True,True,20,,,0,0,bitcoin
2021-12-17,ok,20,20,True,True,20,,,0,0,bitcoin
2021-12-24,ok,20,20,True,True,20,,,0,0,bitcoin
2021-12-31,ok,20,20,True,True,20,,,0,0,bitcoin
2022-01-07,ok,20,20,True,True,20,,,0,0,bitcoin
2022-01-14,ok,20,20,True,True,20,,,0,0,bitcoin
2022-01-21,ok,20,20,True,True,20,,,0,0,bitcoin
2022-01-28,ok,20,20,True,True,20,,,0,0,bitcoin
2022-02-04,ok,20,20,True,True,20,,,0,0,bitcoin
2022-02-11,ok,20,20,True,True,20,,,0,0,bitcoin
2022-02-18,ok,20,20,True,True,20,,,0,0,bitcoin
2022-02-25,ok,20,20,True,True,20,,,0,0,bitcoin
2022-03-04,ok,20,20,True,True,20,,,0,0,bitcoin
2022-03-11,ok,20,20,True,True,20,,,0,0,bitcoin
2022-03-18,ok,20,20,True,True,20,,,0,0,bitcoin
2022-03-25,ok,20,20,True,True,20,,,0,0,bitcoin
2022-04-01,ok,20,20,True,True,20,,,0,0,bitcoin
2022-04-08,ok,20,20,True,True,20,,,0,0,bitcoin
2022-04-15,ok,20,20,True,True,20,,,0,0,bitcoin
2022-04-22,ok,20,20,True,True,20,,,0,0,bitcoin
2022-04-29,ok,20,20,True,True,20,,,0,0,bitcoin
2022-05-06,ok,20,20,True,True,20,,,0,0,bitcoin
2022-05-13,ok,20,20,True,True,20,,,0,0,bitcoin
2022-05-20,ok,20,20,True,True,20,,,0,0,bitcoin
2022-05-27,ok,20,20,True,True,20,,,0,0,bitcoin
2022-06-03,ok,20,20,True,True,20,,,0,0,bitcoin
2022-06-10,ok,20,20,True,True,20,,,0,0,bitcoin
2022-06-17,ok,20,20,True,True,20,,,0,0,bitcoin
2022-06-24,ok,20,20,True,True,20,,,0,0,bitcoin
2022-07-01,ok,20,20,True,True,20,,,0,0,bitcoin
2022-07-08,ok,20,20,True,True,20,,,0,0,bitcoin
2022-07-15,ok,20,20,True,True,20,,,0,0,bitcoin
2022-07-22,ok,20,20,True,True,20,,,0,0,bitcoin
2022-07-29,ok,20,20,True,True,20,,,0,0,bitcoin
2022-08-05,ok,20,20,True,True,20,,,0,0,bitcoin
2022-08-12,ok,20,20,True,True,20,,,0,0,bitcoin
2022-08-19,ok,20,20,True,True,20,,,0,0,bitcoin
2022-08-26,ok,20,20,True,True,20,,,0,0,bitcoin
2022-09-02,ok,20,20,True,True,20,,,0,0,bitcoin
2022-09-09,ok,20,20,True,True,20,,,0,0,bitcoin
2022-09-16,ok,20,20,True,True,20,,,0,0,bitcoin
2022-09-23,ok,20,20,True,True,20,,,0,0,bitcoin
2022-09-30,ok,20,20,True,True,20,,,0,0,bitcoin
2022-10-07,ok,20,20,True,True,20,,,0,0,bitcoin
2022-10-14,ok,20,20,True,True,20,,,0,0,bitcoin
2022-10-21,ok,20,20,True,True,20,,,0,0,bitcoin
2022-10-28,ok,20,20,True,True,20,,,0,0,bitcoin
2022-11-04,ok,20,20,True,True,20,,,0,0,bitcoin
2022-11-11,ok,20,20,True,True,20,,,0,0,bitcoin
2022-11-18,ok,20,20,True,True,20,,,0,0,bitcoin
2022-11-25,ok,20,20,True,True,20,,,0,0,bitcoin
2022-12-02,ok,20,20,True,True,20,,,0,0,bitcoin
