coin_id,contribution,holding_days,share_of_gross
dogecoin,0.8687116213985123,46,0.35744902280669655
zcash,0.6699818049087305,84,0.27567760757862775
solana,0.6320424235244784,56,0.26006667931700345
shiba-inu,0.31073399114549405,35,0.12785780545789271
hyperliquid,0.2420774725471782,49,0.09960768783799759
stellar,0.21708790592711547,56,0.0893252236131906
okb,0.20787379046860754,28,0.08553388885313581
bitcoin,0.13917575282683126,21,0.057266687380386365
near,0.078242768663461,21,0.03219457471447204
ethereum,0.07625932276260883,14,0.03137844565439547
bitget-token,0.05843296953895827,7,0.024043430923335714
chainlink,0.04781686408559417,21,0.019675218933482463
world-liberty-financial,0.015591063848613862,7,0.006415259563619074
maker,0.006708591726006685,7,0.0027603861831728984
avalanche-2,0.0035603982890137238,28,0.001464998116592215
sui,0.0008520232999793334,42,0.0003505822743522827
pancakeswap-token,0.0,0,0.0
polkadot,0.0,0,0.0
osmosis,0.0,0,0.0
pi-network,0.0,0,0.0
neo,0.0,0,0.0
optimism,0.0,0,0.0
ondo-finance,0.0,0,0.0
pump-fun,0.0,0,0.0
morpho,0.0,0,0.0
memecore,0.0,0,0.0
matic-network,0.0,0,0.0
litecoin,0.0,0,0.0
lido-dao,0.0,0,0.0
polygon-ecosystem-token,0.0,0,0.0
1inch,0.0,0,0.0
rain,0.0,0,0.0
the-sandbox,0.0,0,0.0
yearn-finance,0.0,0,0.0
worldcoin-wld,0.0,0,0.0
waves,0.0,0,0.0
venice-token,0.0,0,0.0
vechain,0.0,0,0.0
thorchain,0.0,0,0.0
theta-token,0.0,0,0.0
the-graph,0.0,0,0.0
render-token,0.0,0,0.0
tezos,0.0,0,0.0
terra-luna-2,0.0,0,0.0
sushi,0.0,0,0.0
stepn,0.0,0,0.0
sky,0.0,0,0.0
aave,0.0,0,0.0
sei-network,0.0,0,0.0
leo-token,0.0,0,0.0
kucoin-shares,0.0,0,0.0
decentraland,0.0,0,0.0
cardano,0.0,0,0.0
dydx-chain,0.0,0,0.0
jupiter-exchange-solana,0.0,0,0.0
curve-dao-token,0.0,0,0.0
crypto-com-chain,0.0,0,0.0
cosmos,0.0,0,0.0
compound-governance-token,0.0,0,0.0
chiliz,0.0,0,0.0
celestia,0.0,0,0.0
canton-network,0.0,0,0.0
enjincoin,0.0,0,0.0
bitway,0.0,0,0.0
binancecoin,0.0,0,0.0
basic-attention-token,0.0,0,0.0
axie-infinity,0.0,0,0.0
aster-2,0.0,0,0.0
arbitrum,0.0,0,0.0
apecoin,0.0,0,0.0
algorand,0.0,0,0.0
elrond-erd-2,0.0,0,0.0
zilliqa,0.0,0,0.0
eos,0.0,0,0.0
helium,0.0,0,0.0
ethena,0.0,0,0.0
injective-protocol,0.0,0,0.0
ethereum-name-service,0.0,0,0.0
fantom,0.0,0,0.0
filecoin,0.0,0,0.0
flow,0.0,0,0.0
ftx-token,0.0,0,0.0
gala,0.0,0,0.0
havven,0.0,0,0.0
htx-dao,0.0,0,0.0
monero,-0.0005827688387219643,14,-0.00023979206308764157
terra-luna,-0.001452279077276926,7,-0.000597569693127323
tron,-0.0060980080362242894,7,-0.0025091491352523623
immutable-x,-0.014515175543915293,7,-0.005972563490848065
kaspa,-0.015286796811667011,21,-0.006290062717680889
uniswap,-0.016311338729518596,14,-0.0067116312777641286
bittensor,-0.02231225383134034,21,-0.009180829555138301
ethereum-classic,-0.038313217411843396,21,-0.015764750680319822
mantle,-0.05423682832368472,7,-0.022316843480492735
aptos,-0.06459269978506124,14,-0.026577976914187968
the-open-network,-0.07520267864804711,14,-0.03094366799412141
pepe,-0.09757934682468325,21,-0.040151002138600476
hedera-hashgraph,-0.1059905480960973,28,-0.04361196156522493
bitcoin-cash,-0.1294238125044416,56,-0.05325405366760642
internet-computer,-0.18884031687585015,37,-0.07770217995370213
ripple,-0.31410157188434795,28,-0.12924346488119837
