,strategy_5bps,strategy_8bps,strategy_10bps,strategy_15bps,btc
2022-01-01,0.0,0.0,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0,0.0,-0.0076596346798532
2022-01-03,0.0,0.0,0.0,0.0,-0.018736919900028792
2022-01-04,0.0,0.0,0.0,0.0,-0.012065515539708471
2022-01-05,0.0,0.0,0.0,0.0,-0.05073410604335071
2022-01-06,0.0,0.0,0.0,0.0,-0.009366175415770894
2022-01-07,0.0,0.0,0.0,0.0,-0.03714070381086476
2022-01-08,0.0,0.0,0.0,0.0,0.004236064214114821
2022-01-09,0.0,0.0,0.0,0.0,0.004256929114560659
2022-01-10,0.0,0.0,0.0,0.0,-0.0021554508542050987
2022-01-11,0.0,0.0,0.0,0.0,0.021869042488380508
2022-01-12,0.0,0.0,0.0,0.0,0.02838943066123001
2022-01-13,0.0,0.0,0.0,0.0,-0.030888650906105708
2022-01-14,0.0,0.0,0.0,0.0,0.011930237447463243
2022-01-15,0.0,0.0,0.0,0.0,0.0018027262848716585
2022-01-16,0.0,0.0,0.0,0.0,-0.0014710631261840579
2022-01-17,0.0,0.0,0.0,0.0,-0.020024426895917546
2022-01-18,0.0,0.0,0.0,0.0,0.0029605170035427175
2022-01-19,0.0,0.0,0.0,0.0,-0.014897783425296018
2022-01-20,0.0,0.0,0.0,0.0,-0.025486333901572844
2022-01-21,0.0,0.0,0.0,0.0,-0.1038116573632597
2022-01-22,0.0,0.0,0.0,0.0,-0.039143480840267086
2022-01-23,0.0,0.0,0.0,0.0,0.03558504046856714
2022-01-24,0.0,0.0,0.0,0.0,0.010406773460295726
2022-01-25,0.0,0.0,0.0,0.0,0.008175646304871886
2022-01-26,0.0,0.0,0.0,0.0,-0.0027569251905119607
2022-01-27,0.0,0.0,0.0,0.0,0.007763778616367567
2022-01-28,0.0,0.0,0.0,0.0,0.017397136940227487
2022-01-29,0.0,0.0,0.0,0.0,0.009364868217630162
2022-01-30,0.0,0.0,0.0,0.0,-0.005783596397638147
2022-01-31,0.0,0.0,0.0,0.0,0.014914539287625317
2022-02-01,0.0,0.0,0.0,0.0,0.006760008477640689
2022-02-02,0.0,0.0,0.0,0.0,-0.04620899366218467
2022-02-03,0.0,0.0,0.0,0.0,0.005455995292795945
2022-02-04,0.0,0.0,0.0,0.0,0.11697811600960017
2022-02-05,0.0,0.0,0.0,0.0,-0.001438778366893212
2022-02-06,0.0,0.0,0.0,0.0,0.02343730972615643
2022-02-07,0.0,0.0,0.0,0.0,0.033665889871959065
2022-02-08,0.0,0.0,0.0,0.0,0.006344841818951785
2022-02-09,0.0,0.0,0.0,0.0,0.004994543470345114
2022-02-10,0.0,0.0,0.0,0.0,-0.01744940376609072
2022-02-11,0.0,0.0,0.0,0.0,-0.026561947785976425
2022-02-12,0.0,0.0,0.0,0.0,-0.0038546545547559763
2022-02-13,0.0,0.0,0.0,0.0,-0.0011114980582209721
2022-02-14,0.0,0.0,0.0,0.0,0.009228134462895943
2022-02-15,0.0,0.0,0.0,0.0,0.04668766050021267
2022-02-16,0.0,0.0,0.0,0.0,-0.013759756545962398
2022-02-17,0.0,0.0,0.0,0.0,-0.0778822052013528
2022-02-18,0.0,0.0,0.0,0.0,-0.012507698326300942
2022-02-19,0.0,0.0,0.0,0.0,0.0022777153253061844
2022-02-20,0.0,0.0,0.0,0.0,-0.042140723999159024
2022-02-21,0.0,0.0,0.0,0.0,-0.035286238188354524
2022-02-22,0.0,0.0,0.0,0.0,0.03265646963988855
2022-02-23,0.0,0.0,0.0,0.0,-0.025843765019217924
2022-02-24,0.0,0.0,0.0,0.0,0.027778366073452965
2022-02-25,0.0,0.0,0.0,0.0,0.02299897654336136
2022-02-26,0.0,0.0,0.0,0.0,-0.0027814605965023054
2022-02-27,0.0,0.0,0.0,0.0,-0.03568236255492652
2022-02-28,0.0,0.0,0.0,0.0,0.14541187282971912
2022-03-01,0.0,0.0,0.0,0.0,0.02688855095800302
2022-03-02,0.0,0.0,0.0,0.0,-0.009706337228749806
2022-03-03,0.0,0.0,0.0,0.0,-0.03351978299924041
2022-03-04,0.0,0.0,0.0,0.0,-0.0780694048503684
2022-03-05,0.0,0.0,0.0,0.0,0.006719381741125963
2022-03-06,0.0,0.0,0.0,0.0,-0.02488797519376784
2022-03-07,0.0,0.0,0.0,0.0,-0.009316588409073123
2022-03-08,0.0,0.0,0.0,0.0,0.017740202213639478
2022-03-09,0.0,0.0,0.0,0.0,0.0837864409487763
2022-03-10,0.0,0.0,0.0,0.0,-0.06063099460161703
2022-03-11,0.0,0.0,0.0,0.0,-0.016291278389576225
2022-03-12,0.0,0.0,0.0,0.0,0.002810680140568511
2022-03-13,0.0,0.0,0.0,0.0,-0.027101332392518107
2022-03-14,0.0,0.0,0.0,0.0,0.048008169295317815
2022-03-15,0.0,0.0,0.0,0.0,-0.008268140919867828
2022-03-16,0.0,0.0,0.0,0.0,0.045887094015157226
2022-03-17,0.0,0.0,0.0,0.0,-0.004679868306523227
2022-03-18,0.0,0.0,0.0,0.0,0.020750817754404238
2022-03-19,0.0,0.0,0.0,0.0,0.009317899716138278
2022-03-20,-0.009172181387043787,-0.009327584390951826,-0.009431186393557223,-0.009690191400070547,-0.022346892913816307
2022-03-21,0.031013953118668613,0.031013953118668613,0.031013953118668613,0.031013953118668613,-0.004117197971652775
2022-03-22,-0.016362198073991863,-0.016362198073991863,-0.016362198073991863,-0.016362198073991863,0.03117996241832821
