coin_id,contribution,holding_days,share_of_gross
dogecoin,1.8798879104019974,84,0.2427430701626423
shiba-inu,1.2659125680800176,56,0.16346267329710465
solana,1.0248103128913522,70,0.13233001835326905
terra-luna,0.9052437094344379,35,0.11689081889278416
zcash,0.46367896822798776,63,0.059873174190177736
crypto-com-chain,0.45881788421323394,14,0.05924548013909596
stellar,0.3841314140653275,42,0.049601488620773744
aave,0.32752898758386106,7,0.04229262371093544
pepe,0.29937003077462254,21,0.03865656031022443
bitcoin-cash,0.2800851537368336,49,0.0361663744677819
immutable-x,0.2357278927234553,14,0.030438683118306376
okb,0.22119839474004402,28,0.028562542030904536
polkadot,0.17269611424643116,7,0.022299619432295165
sui,0.1389128593499806,49,0.017937310930668655
hyperliquid,0.11975523939325947,49,0.015463557331014325
ethereum,0.09856600840109142,7,0.012727469207374878
uniswap,0.07447197492214935,14,0.009616294532056495
matic-network,0.07257027011302015,7,0.009370734325324611
cardano,0.0681406872034509,21,0.008798758438326712
bitcoin,0.04202382699406626,14,0.005426383524293199
theta-token,0.032163153127983256,21,0.004153110668565504
world-liberty-financial,0.014345849877269501,7,0.0018524272771965925
tron,0.0105268821291159,7,0.0013592978991579408
hedera-hashgraph,0.010179013192046976,28,0.0013143788519471588
bittensor,0.009283255980161349,14,0.0011987129898868255
filecoin,0.009280158467481689,7,0.0011983130193707282
monero,0.00017550037328729895,21,2.2661723175473144e-05
the-graph,0.0,0,0.0
osmosis,0.0,0,0.0
venice-token,0.0,0,0.0
waves,0.0,0,0.0
pancakeswap-token,0.0,0,0.0
ondo-finance,0.0,0,0.0
optimism,0.0,0,0.0
worldcoin-wld,0.0,0,0.0
yearn-finance,0.0,0,0.0
neo,0.0,0,0.0
morpho,0.0,0,0.0
pi-network,0.0,0,0.0
pump-fun,0.0,0,0.0
vechain,0.0,0,0.0
polygon-ecosystem-token,0.0,0,0.0
tezos,0.0,0,0.0
rain,0.0,0,0.0
render-token,0.0,0,0.0
sei-network,0.0,0,0.0
sky,0.0,0,0.0
thorchain,0.0,0,0.0
memecore,0.0,0,0.0
stepn,0.0,0,0.0
sushi,0.0,0,0.0
the-sandbox,0.0,0,0.0
terra-luna-2,0.0,0,0.0
1inch,0.0,0,0.0
leo-token,0.0,0,0.0
mantle,0.0,0,0.0
celestia,0.0,0,0.0
enjincoin,0.0,0,0.0
dydx-chain,0.0,0,0.0
decentraland,0.0,0,0.0
curve-dao-token,0.0,0,0.0
cosmos,0.0,0,0.0
compound-governance-token,0.0,0,0.0
canton-network,0.0,0,0.0
ethereum-name-service,0.0,0,0.0
bitget-token,0.0,0,0.0
basic-attention-token,0.0,0,0.0
axie-infinity,0.0,0,0.0
aster-2,0.0,0,0.0
arbitrum,0.0,0,0.0
apecoin,0.0,0,0.0
ethena,0.0,0,0.0
elrond-erd-2,0.0,0,0.0
htx-dao,0.0,0,0.0
havven,0.0,0,0.0
lido-dao,0.0,0,0.0
kucoin-shares,0.0,0,0.0
jupiter-exchange-solana,0.0,0,0.0
injective-protocol,0.0,0,0.0
helium,0.0,0,0.0
zilliqa,0.0,0,0.0
gala,0.0,0,0.0
ftx-token,0.0,0,0.0
fantom,0.0,0,0.0
flow,0.0,0,0.0
algorand,-0.0012395933336557738,7,-0.0001600641665387389
kaspa,-0.0013185214244565008,28,-0.00017025586306331904
internet-computer,-0.011754043822822517,35,-0.0015177568133666248
near,-0.012313895638108027,24,-0.0015900484365674314
the-open-network,-0.01674863643643014,28,-0.002162690342929836
chiliz,-0.016802333141503152,7,-0.0021696240026309902
litecoin,-0.032091851032447716,7,-0.004143903688998501
chainlink,-0.065294724853389,28,-0.00843126969891906
aptos,-0.08369552607140432,14,-0.01080729805486416
binancecoin,-0.12521681225706927,21,-0.016168790317269692
ethereum-classic,-0.13927832447772664,42,-0.017984502109810546
ripple,-0.17278563916648904,56,-0.022311179458736455
avalanche-2,-0.1965915854951783,35,-0.025385154490959193
