coin_id,contribution
dogecoin,1.0361466637586703
stellar,1.0006010560452467
zcash,0.8089929170969982
monero,0.4552313144925343
cardano,0.3613824074015197
uniswap,0.29191634572005354
terra-luna,0.2452699788204885
solana,0.24429055377724274
avalanche-2,0.20074747653929692
near,0.17731055043514465
bitcoin-cash,0.17102900711707325
ethereum-classic,0.07029294088107219
cosmos,0.0618323127671736
world-liberty-financial,0.02792804597358345
ripple,0.0222970185297674
ethereum,0.01560617956109156
osmosis,0.0
ondo-finance,0.0
pancakeswap-token,0.0
pepe,0.0
okb,0.0
pi-network,0.0
neo,0.0
polkadot,0.0
polygon-ecosystem-token,0.0
morpho,0.0
pump-fun,0.0
memecore,0.0
rain,0.0
matic-network,0.0
optimism,0.0
1inch,0.0
render-token,0.0
sei-network,0.0
yearn-finance,0.0
worldcoin-wld,0.0
waves,0.0
venice-token,0.0
vechain,0.0
thorchain,0.0
theta-token,0.0
the-sandbox,0.0
the-open-network,0.0
the-graph,0.0
tezos,0.0
terra-luna-2,0.0
sushi,0.0
sui,0.0
stepn,0.0
maker,0.0
sky,0.0
mantle,0.0
kucoin-shares,0.0
elrond-erd-2,0.0
lido-dao,0.0
decentraland,0.0
curve-dao-token,0.0
crypto-com-chain,0.0
compound-governance-token,0.0
chiliz,0.0
chainlink,0.0
celestia,0.0
canton-network,0.0
bitway,0.0
bittensor,0.0
bitget-token,0.0
bitcoin,0.0
basic-attention-token,0.0
axie-infinity,0.0
aster-2,0.0
arbitrum,0.0
aptos,0.0
apecoin,0.0
algorand,0.0
dydx-chain,0.0
zilliqa,0.0
helium,0.0
havven,0.0
kaspa,0.0
jupiter-exchange-solana,0.0
injective-protocol,0.0
immutable-x,0.0
htx-dao,0.0
enjincoin,0.0
leo-token,0.0
hedera-hashgraph,0.0
gala,0.0
flow,0.0
filecoin,0.0
fantom,0.0
ethereum-name-service,0.0
ethena,0.0
eos,0.0
aave,0.0
internet-computer,-0.02182718000078887
binancecoin,-0.11018164795931651
ftx-token,-0.14462599093712714
tron,-0.14662639275278366
hyperliquid,-0.1566008245875662
shiba-inu,-0.16308369658076793
litecoin,-0.17199663691081757
