rebalance_date,status,pipeline_n,independent_n,same_set,same_order,overlap,only_pipeline,only_independent,cap_mismatch_n,pipeline_top1,independent_top1
2022-01-01,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-01-22,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-02-12,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-03-05,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-03-26,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-04-16,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-05-07,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-05-28,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-06-18,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-07-09,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-07-30,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-08-20,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-09-10,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-10-01,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-10-22,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-11-12,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-12-03,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2022-12-24,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-01-14,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-02-04,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-02-25,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-03-18,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-04-08,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-04-29,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-05-20,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-06-10,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-07-01,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-07-22,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-08-12,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-09-02,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-09-23,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-10-14,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-11-04,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-11-25,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2023-12-16,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-01-06,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-01-27,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-02-17,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-03-09,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-03-30,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-04-20,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-05-11,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-06-01,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-06-22,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-07-13,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-08-03,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-08-24,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-09-14,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-10-05,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-10-26,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-11-16,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-12-07,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2024-12-28,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-01-18,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-02-08,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-03-01,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-03-22,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-04-12,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-05-03,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-05-24,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-06-14,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-07-05,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-07-26,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-08-16,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-09-06,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-09-27,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-10-18,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-11-08,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
2025-11-29,ok,20,20,True,True,20,,,0,bitcoin,bitcoin
