,daily_return
2022-01-01,0.0
2022-01-02,-0.037041973665475236
2022-01-03,0.11211690424181708
2022-01-04,-0.01369912020638231
2022-01-05,-0.013472217376363171
2022-01-06,0.007265864106746234
2022-01-07,-0.07707691094845004
2022-01-08,-0.0850775230898504
2022-01-09,0.004782909778066058
2022-01-10,0.02658379245423581
2022-01-11,0.14252892924233018
2022-01-12,0.047796963759171085
2022-01-13,0.051909300483913956
2022-01-14,0.011702734639378987
2022-01-15,-0.011858223402738233
2022-01-16,0.011935579813972419
2022-01-17,-0.06793478256506325
2022-01-18,-0.0062218649018106476
2022-01-19,-0.02453537203245304
2022-01-20,-0.04720111288017648
2022-01-21,-0.14258845520859753
2022-01-22,-0.12317351810820454
2022-01-23,0.05118353542110343
2022-01-24,-0.04190260380687538
2022-01-25,0.048242176867748565
2022-01-26,-0.025453054693738375
2022-01-27,-0.0030467378025534897
2022-01-28,0.03505538670506714
2022-01-29,0.03734663181499487
2022-01-30,-0.01686374614353714
2022-01-31,0.043165673462862264
2022-02-01,0.03214013907317437
2022-02-02,-0.05308912380478692
2022-02-03,0.00788043764110502
2022-02-04,0.07454714167284782
2022-02-05,0.017421471327048188
2022-02-06,0.010046378156806313
2022-02-07,0.02444431117154955
2022-02-08,-0.018414251231293033
2022-02-09,0.03189227769145808
2022-02-10,-0.04721408280334094
2022-02-11,-0.04253643330018553
2022-02-12,0.011033044071298681
2022-02-13,-0.01007607765969909
2022-02-14,-0.004708705132570934
2022-02-15,0.05357890759209627
2022-02-16,-0.014194385506732465
2022-02-17,-0.08258237099181487
2022-02-18,0.00953157410657246
2022-02-19,0.014338297371992326
2022-02-20,-0.05817659604410774
2022-02-21,-0.07539216659776848
2022-02-22,0.03531108131567495
2022-02-23,-0.02573445028725163
2022-02-24,-0.005627110151289916
2022-02-25,0.05379480290014316
2022-02-26,-0.0013102030930719488
2022-02-27,-0.06754891542112296
2022-02-28,0.22413569574049452
2022-03-01,-0.013283076636170899
2022-03-02,-0.0020000000000000018
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,0.0
