rebalance_date,sector,coin_id,coin_score,coin_weight
2021-11-04,Meme,shiba-inu,0.95,1.0
2022-03-24,Store of Value,ethereum-classic,0.9999999999999999,1.0
2022-04-07,Smart Contract Platform / L1,near,0.8999999999999999,1.0
2023-01-12,Smart Contract Platform / L1,optimism,0.9999999999999999,1.0
2023-01-26,Smart Contract Platform / L1,optimism,0.98,1.0
2023-03-09,Smart Contract Platform / L1,ethereum,0.8749999999999999,1.0
2023-03-23,Smart Contract Platform / L1,immutable-x,0.9199999999999999,1.0
2023-11-02,Oracle / Middleware,chainlink,0.9999999999999999,1.0
2023-11-16,Smart Contract Platform / L1,avalanche-2,0.9374999999999999,1.0
2023-11-30,Smart Contract Platform / L1,avalanche-2,0.9,1.0
2023-12-14,Smart Contract Platform / L1,avalanche-2,0.9222222222222223,1.0
2023-12-28,Smart Contract Platform / L1,injective-protocol,0.8181818181818181,1.0
2024-01-11,Smart Contract Platform / L1,internet-computer,0.8545454545454546,1.0
2024-01-25,Smart Contract Platform / L1,sui,0.9999999999999999,1.0
2024-02-08,Smart Contract Platform / L1,sui,0.9999999999999999,1.0
2024-02-22,Smart Contract Platform / L1,immutable-x,0.9142857142857143,1.0
2024-03-07,Meme,shiba-inu,0.9999999999999999,1.0
2024-03-21,Meme,shiba-inu,0.95,1.0
2024-04-04,Smart Contract Platform / L1,the-open-network,0.9444444444444443,1.0
2024-04-18,Meme,shiba-inu,0.95,1.0
2024-05-02,Smart Contract Platform / L1,ethereum,0.8714285714285713,1.0
2024-05-16,Smart Contract Platform / L1,the-open-network,0.9999999999999999,1.0
2024-05-30,Oracle / Middleware,chainlink,0.9999999999999999,1.0
2024-06-13,Smart Contract Platform / L1,the-open-network,0.9999999999999999,1.0
2024-10-17,Smart Contract Platform / L1,sui,0.9857142857142857,1.0
2024-10-31,Meme,dogecoin,0.9999999999999999,1.0
2024-11-14,Meme,dogecoin,0.9666666666666666,1.0
2024-11-28,Payments,stellar,0.9249999999999999,1.0
2024-12-12,Payments,hedera-hashgraph,0.95,1.0
2024-12-26,Payments,hedera-hashgraph,0.9749999999999999,1.0
2025-01-09,Exchange / Trading Infrastructure,bitget-token,0.9999999999999999,1.0
2025-01-23,Exchange / Trading Infrastructure,bitget-token,0.95,1.0
2025-02-06,Exchange / Trading Infrastructure,bitget-token,0.9999999999999999,1.0
2025-02-20,Payments,litecoin,0.9999999999999999,1.0
2025-05-15,Meme,pepe,0.9999999999999999,1.0
2025-05-29,Privacy,monero,0.9999999999999999,1.0
2025-06-12,Smart Contract Platform / L1,ethereum,0.9999999999999999,1.0
2025-06-26,Exchange / Trading Infrastructure,whitebit,0.9666666666666666,1.0
2025-07-10,Exchange / Trading Infrastructure,binancecoin,0.75,1.0
2025-07-24,Payments,stellar,0.9199999999999999,1.0
2025-08-07,Payments,litecoin,0.7999999999999999,1.0
2025-08-21,Oracle / Middleware,chainlink,0.9999999999999999,1.0
2025-09-04,Smart Contract Platform / L1,crypto-com-chain,0.9249999999999999,1.0
2025-09-18,Smart Contract Platform / L1,solana,0.888888888888889,1.0
2025-10-02,Exchange / Trading Infrastructure,binancecoin,0.9999999999999999,1.0
