,TOP20_MOM_top8_biweekly__bull_only,TOP20_SECTOR_top4_biweekly__bull_only,SECTOR_LEAD_V3A_top2_biweekly__bull_only,SECTOR_LEAD_V3B_top1_biweekly__bull_only,SECTOR_LEAD_V3C_top2_biweekly__bull_only__BTC_LT_21D,SECTOR_LEAD_V3D_top1_biweekly__bull_only__BTC_LT_21D
2021-04-22,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-23,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-24,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-25,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-26,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-27,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-28,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-29,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-30,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-04,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-05,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-06,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-07,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-08,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-09,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-10,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-11,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-12,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-13,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-14,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-15,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-16,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-17,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-18,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-19,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-20,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-21,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-22,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-23,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-24,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-25,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-26,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-27,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-28,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-29,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-30,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-05-31,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-03,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-04,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-05,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-06,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-07,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-08,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-09,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-10,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-11,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-12,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-13,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-14,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-15,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-06-16,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
