rebalance_date,sector,sector_score,sector_weight,sector_rank,sector_ret_30,sector_ret_60,sector_ret_90,sector_rel_btc_60,breadth_positive_30,breadth_above_ma20,leader_momentum,top2_momentum,member_count
2021-04-22,CASH,0.0,1.0,,,,,,,,,,
2021-05-06,CASH,0.0,1.0,,,,,,,,,,
2021-05-20,CASH,0.0,1.0,,,,,,,,,,
2021-06-03,CASH,0.0,1.0,,,,,,,,,,
2021-06-17,CASH,0.0,1.0,,,,,,,,,,
2021-07-01,CASH,0.0,1.0,,,,,,,,,,
2021-07-15,CASH,0.0,1.0,,,,,,,,,,
2021-07-29,CASH,0.0,1.0,,,,,,,,,,
2021-08-12,CASH,0.0,1.0,,,,,,,,,,
2021-08-26,CASH,0.0,1.0,,,,,,,,,,
2021-09-09,CASH,0.0,1.0,,,,,,,,,,
2021-09-23,CASH,0.0,1.0,,,,,,,,,,
2021-10-07,CASH,0.0,1.0,,,,,,,,,,
2021-10-21,CASH,0.0,1.0,,,,,,,,,,
2021-11-04,Meme,0.925,0.3333333333333333,1.0,0.9473250841212097,2.6887996293917604,3.555973064056479,2.5021728693941085,1.0,1.0,3.9519509692389643,1.991497043689429,2.0
2021-11-04,Other,0.8187500000000001,0.3333333333333333,2.0,0.12674743709226477,0.7619625941219335,2.4016412661195785,0.5753358341242818,1.0,1.0,0.7722907500066281,0.7722907500066281,1.0
2021-11-04,Smart Contract Platform / L1,0.6437500000000002,0.3333333333333333,3.0,0.2036352020250854,0.2541188075528456,1.9124613910030135,0.06749204755519395,0.5714285714285714,0.8571428571428571,1.523329614898934,1.355312058268022,7.0
2021-11-18,CASH,0.0,1.0,,,,,,,,,,
2021-12-02,CASH,0.0,1.0,,,,,,,,,,
2021-12-16,CASH,0.0,1.0,,,,,,,,,,
2021-12-30,CASH,0.0,1.0,,,,,,,,,,
2022-01-13,CASH,0.0,1.0,,,,,,,,,,
2022-01-27,CASH,0.0,1.0,,,,,,,,,,
2022-02-10,CASH,0.0,1.0,,,,,,,,,,
2022-02-24,CASH,0.0,1.0,,,,,,,,,,
2022-03-10,CASH,0.0,1.0,,,,,,,,,,
2022-03-24,Store of Value,0.8625,0.3333333333333333,1.0,0.48793066328108803,0.5729787348683125,0.08332840991465773,0.3602751387908053,1.0,1.0,0.7531356568354223,0.4325246340839693,2.0
2022-03-24,Payments,0.7000000000000001,0.3333333333333333,2.0,0.17257894484456993,0.23333307855366692,-0.14525818673538377,0.0206294824761597,1.0,1.0,0.1710972501282591,0.12723775864130826,2.0
2022-03-24,Other,0.6937500000000001,0.3333333333333333,3.0,0.19808392110724182,0.2788278109423602,-0.278099699535646,0.06612421486485298,1.0,1.0,0.20816804225067798,0.12707036392919976,2.0
2022-04-07,Privacy,0.8343750000000001,0.3333333333333333,1.0,0.11360952568392046,0.303819344432283,0.16335132356720639,0.2789728431370253,1.0,1.0,0.1806208308850864,0.1806208308850864,1.0
2022-04-07,Store of Value,0.7656250000000001,0.3333333333333333,2.0,0.3724185161749609,0.23974163029275775,0.23683635290049665,0.21489512899750007,1.0,0.0,0.5334134316095844,0.3054990177554071,2.0
2022-04-07,DeFi,0.684375,0.3333333333333333,3.0,0.6629684418145956,0.16554345947814064,-0.043759746703842084,0.14069695818288297,1.0,1.0,0.37239530940997156,0.37239530940997156,1.0
2022-04-21,CASH,0.0,1.0,,,,,,,,,,
2022-05-05,CASH,0.0,1.0,,,,,,,,,,
2022-05-19,CASH,0.0,1.0,,,,,,,,,,
2022-06-02,CASH,0.0,1.0,,,,,,,,,,
2022-06-16,CASH,0.0,1.0,,,,,,,,,,
2022-06-30,CASH,0.0,1.0,,,,,,,,,,
2022-07-14,CASH,0.0,1.0,,,,,,,,,,
2022-07-28,CASH,0.0,1.0,,,,,,,,,,
2022-08-11,CASH,0.0,1.0,,,,,,,,,,
2022-08-25,CASH,0.0,1.0,,,,,,,,,,
2022-09-08,CASH,0.0,1.0,,,,,,,,,,
2022-09-22,CASH,0.0,1.0,,,,,,,,,,
2022-10-06,CASH,0.0,1.0,,,,,,,,,,
2022-10-20,CASH,0.0,1.0,,,,,,,,,,
2022-11-03,CASH,0.0,1.0,,,,,,,,,,
2022-11-17,CASH,0.0,1.0,,,,,,,,,,
2022-12-01,CASH,0.0,1.0,,,,,,,,,,
2022-12-15,CASH,0.0,1.0,,,,,,,,,,
2022-12-29,CASH,0.0,1.0,,,,,,,,,,
2023-01-12,Payments,0.865,0.3333333333333333,1.0,0.03052905981446663,0.30223828197899827,0.222538717934038,0.14638761967515823,0.5,1.0,0.34258045603462656,0.15044375808774038,2.0
2023-01-12,Smart Contract Platform / L1,0.7600000000000001,0.3333333333333333,2.0,0.10848549949602636,0.1769185356102164,0.05524021879684463,0.021067873306376356,0.8333333333333334,1.0,0.4606395331096242,0.28788998257953036,6.0
2023-01-12,Store of Value,0.6200000000000001,0.3333333333333333,3.0,0.060402850694108556,0.15585066230384004,-0.017360537295100897,0.0,1.0,1.0,0.0734845165791861,0.0734845165791861,1.0
2023-01-26,Smart Contract Platform / L1,0.9,0.3333333333333333,1.0,0.777484320670582,0.641170503258396,0.12988199489218472,0.2399566820662179,1.0,1.0,1.3186017445010494,1.0431890277833757,5.0
2023-01-26,Store of Value,0.75,0.3333333333333333,2.0,0.3777488632104111,0.4012138211921781,0.11695499344899418,0.0,1.0,1.0,0.3326295766526578,0.3326295766526578,1.0
2023-01-26,Oracle / Middleware,0.5599999999999999,0.3333333333333333,3.0,0.2154967785690065,0.0397389412617839,0.007872908758610908,-0.3614748799303942,1.0,1.0,0.1212446534147606,0.1212446534147606,1.0
2023-02-09,CASH,0.0,1.0,,,,,,,,,,
2023-02-23,CASH,0.0,1.0,,,,,,,,,,
2023-03-09,Smart Contract Platform / L1,0.90625,0.3333333333333333,1.0,-0.22657190823957973,0.27663847856713775,0.3678082381246222,0.08648271030376031,0.0,0.0,0.3000514924400185,0.14617788283383656,4.0
2023-03-09,Store of Value,0.71875,0.3333333333333333,2.0,-0.12395507117858595,0.19015576826337743,0.18938859159740407,0.0,0.0,0.0,0.03294691320920107,0.03294691320920107,1.0
2023-03-09,Meme,0.45625000000000004,0.3333333333333333,3.0,-0.2934665226781857,0.032028630968560345,-0.11191019267022606,-0.1581271372948171,0.0,0.0,-0.08134490238611707,-0.15950671058256996,2.0
2023-03-23,Store of Value,0.8687500000000001,0.3333333333333333,1.0,0.15930962557002926,0.2478852070813149,0.6891574205781905,0.0,1.0,1.0,0.2918518590250472,0.2918518590250472,1.0
2023-03-23,Smart Contract Platform / L1,0.775,0.3333333333333333,2.0,0.02145351190741209,0.1954541595709281,1.045031218706041,-0.0524310475103868,0.4,1.0,0.7002540680662808,0.5284078575694393,5.0
2023-03-23,Payments,0.5687500000000001,0.3333333333333333,3.0,0.0675962873358642,0.09082699738927202,0.34090624884212073,-0.15705820969204287,1.0,1.0,0.15135247771766003,0.12922749265313785,2.0
2023-04-06,CASH,0.0,1.0,,,,,,,,,,
2023-04-20,CASH,0.0,1.0,,,,,,,,,,
2023-05-04,CASH,0.0,1.0,,,,,,,,,,
2023-05-18,CASH,0.0,1.0,,,,,,,,,,
2023-06-01,CASH,0.0,1.0,,,,,,,,,,
2023-06-15,CASH,0.0,1.0,,,,,,,,,,
2023-06-29,CASH,0.0,1.0,,,,,,,,,,
2023-07-13,CASH,0.0,1.0,,,,,,,,,,
2023-07-27,CASH,0.0,1.0,,,,,,,,,,
2023-08-10,CASH,0.0,1.0,,,,,,,,,,
