,BTC_BH__always_on,ETH_BH__always_on,TOP20_EQ__always_on,TOP20_MOM_top4_monthly__always_on,TOP20_MOM_top4_biweekly__always_on,TOP20_MOM_top6_monthly__always_on,TOP20_MOM_top6_biweekly__always_on,TOP20_MOM_top8_monthly__always_on,TOP20_MOM_top8_biweekly__always_on,TOP20_SECTOR_top2_monthly__always_on,TOP20_SECTOR_top2_biweekly__always_on,TOP20_SECTOR_top3_monthly__always_on,TOP20_SECTOR_top3_biweekly__always_on,TOP20_SECTOR_top4_monthly__always_on,TOP20_SECTOR_top4_biweekly__always_on,BTC_BH__bull_only,ETH_BH__bull_only,TOP20_EQ__bull_only,TOP20_MOM_top4_monthly__bull_only,TOP20_MOM_top4_biweekly__bull_only,TOP20_MOM_top6_monthly__bull_only,TOP20_MOM_top6_biweekly__bull_only,TOP20_MOM_top8_monthly__bull_only,TOP20_MOM_top8_biweekly__bull_only,TOP20_SECTOR_top2_monthly__bull_only,TOP20_SECTOR_top2_biweekly__bull_only,TOP20_SECTOR_top3_monthly__bull_only,TOP20_SECTOR_top3_biweekly__bull_only,TOP20_SECTOR_top4_monthly__bull_only,TOP20_SECTOR_top4_biweekly__bull_only
2021-01-01,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-02,109153.83540068122,105835.18912602954,100000.0,100000.0,112393.17322229738,100000.0,109397.9133922066,100000.0,107876.94820717779,100000.0,105624.94463245447,100000.0,109107.9203880732,100000.0,108431.33593228516,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-03,111382.85814510855,133351.84147539313,100000.0,100000.0,116497.86704957357,100000.0,119341.23089113811,100000.0,120811.80783152659,100000.0,113092.76858698142,100000.0,113382.21207447679,100000.0,117828.01033470518,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-04,108624.95402818512,142213.86905653283,100000.0,100000.0,111002.69392476964,100000.0,119033.60319008144,100000.0,119651.30529178634,100000.0,111286.62542068714,100000.0,109685.09133387079,100000.0,113699.10621678189,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-05,115503.50435954574,150397.83746318053,100000.0,100000.0,116373.88250918926,100000.0,127167.37267263081,100000.0,130180.58339696102,100000.0,123939.15923866257,100000.0,120054.40914459877,100000.0,123976.7849567482,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-06,125144.41272392902,165062.52672061604,100000.0,100000.0,122674.15142680686,100000.0,140805.7614357028,100000.0,142642.2200893327,100000.0,130132.88757993508,100000.0,125400.84735499613,100000.0,130908.19662094284,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-07,133814.20497065468,167604.52088556992,100000.0,100000.0,121190.64180450255,100000.0,137206.60237623763,100000.0,138200.01408296198,100000.0,132972.2962721153,100000.0,124780.7219148413,100000.0,129133.45727106387,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-08,138670.74813897273,167401.74764472566,100000.0,100000.0,122075.0936448385,100000.0,138296.3395279027,100000.0,137173.58692433202,100000.0,131387.86632839227,100000.0,123020.88533143864,100000.0,127335.84568292234,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-09,136821.9654955764,175189.6271363842,100000.0,100000.0,124515.0133996596,100000.0,143822.96767898015,100000.0,143279.47439842325,100000.0,134302.89204664668,100000.0,126343.90143676288,100000.0,131245.47835067965,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-01-10,130360.13810832756,172611.3873560458,100000.0,100000.0,119551.81921530061,100000.0,137415.74986009215,100000.0,136633.51147362456,100000.0,128325.73882351778,100000.0,120968.24287248033,100000.0,125429.04339208524,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
