rebalance_date,strategy,coin_id,coin_rank,coin_score,coin_weight
2021-01-01,TOP20_MOM_top4_biweekly__always_on,bitcoin,1,,0.25
2021-01-01,TOP20_MOM_top4_biweekly__always_on,litecoin,2,,0.25
2021-01-01,TOP20_MOM_top4_biweekly__always_on,polkadot,3,,0.25
2021-01-01,TOP20_MOM_top4_biweekly__always_on,the-graph,4,,0.25
2021-01-01,TOP20_MOM_top6_biweekly__always_on,bitcoin,1,,0.16666666666666666
2021-01-01,TOP20_MOM_top6_biweekly__always_on,ethereum,2,,0.16666666666666666
2021-01-01,TOP20_MOM_top6_biweekly__always_on,litecoin,3,,0.16666666666666666
2021-01-01,TOP20_MOM_top6_biweekly__always_on,polkadot,4,,0.16666666666666666
2021-01-01,TOP20_MOM_top6_biweekly__always_on,the-graph,5,,0.16666666666666666
2021-01-01,TOP20_MOM_top6_biweekly__always_on,uniswap,6,,0.16666666666666666
2021-01-01,TOP20_MOM_top8_biweekly__always_on,algorand,1,,0.125
2021-01-01,TOP20_MOM_top8_biweekly__always_on,binancecoin,2,,0.125
2021-01-01,TOP20_MOM_top8_biweekly__always_on,bitcoin,3,,0.125
2021-01-01,TOP20_MOM_top8_biweekly__always_on,ethereum,4,,0.125
2021-01-01,TOP20_MOM_top8_biweekly__always_on,litecoin,5,,0.125
2021-01-01,TOP20_MOM_top8_biweekly__always_on,polkadot,6,,0.125
2021-01-01,TOP20_MOM_top8_biweekly__always_on,the-graph,7,,0.125
2021-01-01,TOP20_MOM_top8_biweekly__always_on,uniswap,8,,0.125
2021-01-01,TOP20_SECTOR_top2_biweekly__always_on,uniswap,1,,0.7
2021-01-01,TOP20_SECTOR_top2_biweekly__always_on,chainlink,2,,0.15000000000000002
2021-01-01,TOP20_SECTOR_top2_biweekly__always_on,the-graph,3,,0.15000000000000002
2021-01-01,TOP20_SECTOR_top3_biweekly__always_on,uniswap,1,,0.3333333333333333
2021-01-01,TOP20_SECTOR_top3_biweekly__always_on,chainlink,2,,0.16666666666666666
2021-01-01,TOP20_SECTOR_top3_biweekly__always_on,ethereum,3,,0.16666666666666666
2021-01-01,TOP20_SECTOR_top3_biweekly__always_on,polkadot,4,,0.16666666666666666
2021-01-01,TOP20_SECTOR_top3_biweekly__always_on,the-graph,5,,0.16666666666666666
2021-01-01,TOP20_SECTOR_top4_biweekly__always_on,uniswap,1,,0.25
2021-01-01,TOP20_SECTOR_top4_biweekly__always_on,bitcoin-cash,2,,0.125
2021-01-01,TOP20_SECTOR_top4_biweekly__always_on,chainlink,3,,0.125
2021-01-01,TOP20_SECTOR_top4_biweekly__always_on,ethereum,4,,0.125
2021-01-01,TOP20_SECTOR_top4_biweekly__always_on,litecoin,5,,0.125
2021-01-01,TOP20_SECTOR_top4_biweekly__always_on,polkadot,6,,0.125
2021-01-01,TOP20_SECTOR_top4_biweekly__always_on,the-graph,7,,0.125
2021-01-15,TOP20_MOM_top4_biweekly__always_on,cardano,1,,0.25
2021-01-15,TOP20_MOM_top4_biweekly__always_on,polkadot,2,,0.25
2021-01-15,TOP20_MOM_top4_biweekly__always_on,stellar,3,,0.25
2021-01-15,TOP20_MOM_top4_biweekly__always_on,the-graph,4,,0.25
2021-01-15,TOP20_MOM_top6_biweekly__always_on,bitcoin,1,,0.16666666666666666
2021-01-15,TOP20_MOM_top6_biweekly__always_on,cardano,2,,0.16666666666666666
2021-01-15,TOP20_MOM_top6_biweekly__always_on,ethereum,3,,0.16666666666666666
2021-01-15,TOP20_MOM_top6_biweekly__always_on,polkadot,4,,0.16666666666666666
2021-01-15,TOP20_MOM_top6_biweekly__always_on,stellar,5,,0.16666666666666666
2021-01-15,TOP20_MOM_top6_biweekly__always_on,the-graph,6,,0.16666666666666666
2021-01-15,TOP20_MOM_top8_biweekly__always_on,bitcoin,1,,0.125
2021-01-15,TOP20_MOM_top8_biweekly__always_on,cardano,2,,0.125
2021-01-15,TOP20_MOM_top8_biweekly__always_on,ethereum,3,,0.125
2021-01-15,TOP20_MOM_top8_biweekly__always_on,litecoin,4,,0.125
2021-01-15,TOP20_MOM_top8_biweekly__always_on,polkadot,5,,0.125
2021-01-15,TOP20_MOM_top8_biweekly__always_on,stellar,6,,0.125
2021-01-15,TOP20_MOM_top8_biweekly__always_on,the-graph,7,,0.125
2021-01-15,TOP20_MOM_top8_biweekly__always_on,uniswap,8,,0.125
2021-01-15,TOP20_SECTOR_top2_biweekly__always_on,uniswap,1,,0.7
2021-01-15,TOP20_SECTOR_top2_biweekly__always_on,chainlink,2,,0.15000000000000002
2021-01-15,TOP20_SECTOR_top2_biweekly__always_on,the-graph,3,,0.15000000000000002
2021-01-15,TOP20_SECTOR_top3_biweekly__always_on,uniswap,1,,0.3333333333333333
2021-01-15,TOP20_SECTOR_top3_biweekly__always_on,chainlink,2,,0.16666666666666666
2021-01-15,TOP20_SECTOR_top3_biweekly__always_on,litecoin,3,,0.16666666666666666
2021-01-15,TOP20_SECTOR_top3_biweekly__always_on,stellar,4,,0.16666666666666666
2021-01-15,TOP20_SECTOR_top3_biweekly__always_on,the-graph,5,,0.16666666666666666
2021-01-15,TOP20_SECTOR_top4_biweekly__always_on,uniswap,1,,0.25
2021-01-15,TOP20_SECTOR_top4_biweekly__always_on,cardano,2,,0.125
2021-01-15,TOP20_SECTOR_top4_biweekly__always_on,chainlink,3,,0.125
2021-01-15,TOP20_SECTOR_top4_biweekly__always_on,litecoin,4,,0.125
2021-01-15,TOP20_SECTOR_top4_biweekly__always_on,polkadot,5,,0.125
2021-01-15,TOP20_SECTOR_top4_biweekly__always_on,stellar,6,,0.125
2021-01-15,TOP20_SECTOR_top4_biweekly__always_on,the-graph,7,,0.125
2021-01-29,TOP20_MOM_top4_biweekly__always_on,aave,1,,0.25
2021-01-29,TOP20_MOM_top4_biweekly__always_on,dogecoin,2,,0.25
2021-01-29,TOP20_MOM_top4_biweekly__always_on,the-graph,3,,0.25
2021-01-29,TOP20_MOM_top4_biweekly__always_on,uniswap,4,,0.25
2021-01-29,TOP20_MOM_top6_biweekly__always_on,aave,1,,0.16666666666666666
2021-01-29,TOP20_MOM_top6_biweekly__always_on,dogecoin,2,,0.16666666666666666
2021-01-29,TOP20_MOM_top6_biweekly__always_on,polkadot,3,,0.16666666666666666
2021-01-29,TOP20_MOM_top6_biweekly__always_on,stellar,4,,0.16666666666666666
2021-01-29,TOP20_MOM_top6_biweekly__always_on,the-graph,5,,0.16666666666666666
2021-01-29,TOP20_MOM_top6_biweekly__always_on,uniswap,6,,0.16666666666666666
2021-01-29,TOP20_MOM_top8_biweekly__always_on,aave,1,,0.125
2021-01-29,TOP20_MOM_top8_biweekly__always_on,cardano,2,,0.125
2021-01-29,TOP20_MOM_top8_biweekly__always_on,dogecoin,3,,0.125
2021-01-29,TOP20_MOM_top8_biweekly__always_on,ethereum,4,,0.125
2021-01-29,TOP20_MOM_top8_biweekly__always_on,polkadot,5,,0.125
2021-01-29,TOP20_MOM_top8_biweekly__always_on,stellar,6,,0.125
2021-01-29,TOP20_MOM_top8_biweekly__always_on,the-graph,7,,0.125
2021-01-29,TOP20_MOM_top8_biweekly__always_on,uniswap,8,,0.125
2021-01-29,TOP20_SECTOR_top2_biweekly__always_on,dogecoin,1,,0.7
2021-01-29,TOP20_SECTOR_top2_biweekly__always_on,chainlink,2,,0.15000000000000002
2021-01-29,TOP20_SECTOR_top2_biweekly__always_on,the-graph,3,,0.15000000000000002
2021-01-29,TOP20_SECTOR_top3_biweekly__always_on,dogecoin,1,,0.3333333333333333
2021-01-29,TOP20_SECTOR_top3_biweekly__always_on,aave,2,,0.16666666666666666
2021-01-29,TOP20_SECTOR_top3_biweekly__always_on,chainlink,3,,0.16666666666666666
2021-01-29,TOP20_SECTOR_top3_biweekly__always_on,the-graph,4,,0.16666666666666666
2021-01-29,TOP20_SECTOR_top3_biweekly__always_on,uniswap,5,,0.16666666666666666
2021-01-29,TOP20_SECTOR_top4_biweekly__always_on,dogecoin,1,,0.25
2021-01-29,TOP20_SECTOR_top4_biweekly__always_on,aave,2,,0.125
2021-01-29,TOP20_SECTOR_top4_biweekly__always_on,chainlink,3,,0.125
2021-01-29,TOP20_SECTOR_top4_biweekly__always_on,ethereum,4,,0.125
2021-01-29,TOP20_SECTOR_top4_biweekly__always_on,polkadot,5,,0.125
2021-01-29,TOP20_SECTOR_top4_biweekly__always_on,the-graph,6,,0.125
2021-01-29,TOP20_SECTOR_top4_biweekly__always_on,uniswap,7,,0.125
2021-01-31,BTC_BH__always_on,bitcoin,1,,1.0
2021-01-31,BTC_BH__bull_only,bitcoin,1,,1.0
2021-01-31,ETH_BH__always_on,ethereum,1,,1.0
2021-01-31,ETH_BH__bull_only,ethereum,1,,1.0
2021-01-31,TOP20_EQ__always_on,aave,1,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,algorand,2,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,binancecoin,3,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,bitcoin,4,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,bitcoin-cash,5,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,chainlink,6,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,dogecoin,7,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,eos,8,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,ethereum,9,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,litecoin,10,,0.06666666666666667
2021-01-31,TOP20_EQ__always_on,monero,11,,0.06666666666666667
