strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings
ETH_BH__bull_only,3.1576839763094995,0.2828635164046778,0.5178417377748648,0.7393776504350694,1.2024947623959612,-0.5098999977727066,0.5547431214752961,0.2753623188405797,3.3247046233849673,0.4754783050430008,0.48802681992337166
TOP20_SECTOR_top3_monthly__bull_only,2.7561875670295297,0.26029051443253914,0.576063735824918,0.6916738890066532,1.0985933405649104,-0.7771987750155348,0.33490854952433036,0.2608695652173913,8.02361540693099,1.067429689052049,2.2231800766283527
TOP20_MOM_top6_monthly__bull_only,2.8162662408684707,0.2637912420996329,0.6057763453398988,0.6888008343205537,1.1031581898687755,-0.7377207086675921,0.35757602979055586,0.2463768115942029,7.580980198423614,1.0085432720171077,2.92816091954023
TOP20_MOM_top8_monthly__bull_only,2.596215425967981,0.2507384860536328,0.5720365275114478,0.6806222191837449,1.0484439579965834,-0.7364237521096847,0.34048125869830337,0.2608695652173913,7.174003912781814,0.9544007753990715,3.9042145593869733
ETH_BH__always_on,2.6014928700361213,0.2510591454863864,0.7708921242088019,0.6752780320268061,1.150269900934298,-0.7937678441212017,0.31628787604055647,0.5072463768115942,0.17480842911877395,1.0,0.9995210727969349
TOP20_MOM_top8_biweekly__always_on,2.3999199192717113,0.23852622366994924,0.7493710392355015,0.6662720969286519,1.0685139006398194,-0.848777646415083,0.28102321577081363,0.4782608695652174,16.80708676469421,0.6409716377110777,7.996168582375479
TOP20_EQ__bull_only,2.1942361065775984,0.22508890162178297,0.5367555747219659,0.6524284664808141,0.973237181461889,-0.7289465761156403,0.30878655445673536,0.2463768115942029,4.492282278374223,0.5976352594613172,9.760536398467433
TOP20_SECTOR_top4_monthly__bull_only,2.2351404416708585,0.22781693326038388,0.5514498312727798,0.651560608366592,1.0076515664836587,-0.747126428079059,0.30492420653104896,0.2463768115942029,7.360145568406102,0.9791643164595056,2.9564176245210727
TOP20_MOM_top6_biweekly__always_on,1.9990688305034308,0.21166133400481302,0.7713347298183352,0.6400055880198958,1.0354513723026253,-0.8560399289208029,0.24725638005186437,0.4782608695652174,19.235226470943232,0.7335735684261089,5.997126436781609
TOP20_MOM_top4_biweekly__always_on,1.5114890844027853,0.1746577853275708,0.8225574542752669,0.6117491462096898,1.0070438995994802,-0.8996624226079708,0.19413702399758692,0.4782608695652174,21.77715216264338,0.8305149537095775,3.9980842911877397
BTC_BH__always_on,1.7632942591086116,0.19444232446489673,0.5712782050054455,0.5965226138626951,1.005190465027921,-0.7670751163186151,0.253485376240692,0.5507246376811594,0.17480842911877395,1.0,0.9995210727969349
TOP20_MOM_top4_biweekly__bull_only,1.7003969056044936,0.1896444458433486,0.632319567500231,0.5945324223079547,0.9282432717747265,-0.7160309410144725,0.2648550991032041,0.2898550724637681,12.854809219941057,0.8452477295303709,2.0134099616858236
TOP20_SECTOR_top4_biweekly__always_on,1.0703211171259106,0.135654055041053,0.7342177418999178,0.547260053628979,0.870026274659051,-0.8678721992008196,0.15630648748279996,0.5072463768115942,21.022075243442906,0.8017185955855486,5.9238505747126435
TOP20_SECTOR_top3_biweekly__always_on,0.9796236636587698,0.12679560609969975,0.7613958599452121,0.5414359127217512,0.883953488948603,-0.8492000156425128,0.14931182732464388,0.5362318840579711,24.932916256344356,0.9508662857214064,4.387452107279693
TOP20_SECTOR_top3_monthly__always_on,0.9832508350983644,0.1271562386185794,0.74929513750784,0.539545931649894,0.8737604667659783,-0.891819388212238,0.14258070669833692,0.463768115942029,13.648595412992641,1.1481977124225882,4.327586206896552
TOP20_MOM_top6_monthly__always_on,0.9455515648410959,0.12338108811471438,0.7638682836800414,0.5365250868137962,0.8755362846383772,-0.8952056018472039,0.13782430299824397,0.4492753623188406,12.790406198520186,1.0760019396660008,5.910919540229885
TOP20_EQ__always_on,0.8482745542608057,0.11335337531699974,0.7244549009695903,0.517718113375293,0.8102644325470838,-0.8568945939559895,0.13228391930177308,0.4927536231884058,2.912230787899382,0.24499346837767563,19.703065134099617
TOP20_MOM_top6_biweekly__bull_only,1.0319510104629077,0.1319463113285062,0.5917885474811314,0.5103184292094617,0.7786570271974826,-0.647546500325503,0.20376345368584434,0.2753623188405797,12.156573553715452,0.7993363432580023,3.0201149425287355
TOP20_MOM_top8_biweekly__bull_only,0.8818583095288219,0.11686352635958386,0.5639564719763512,0.48423065664658993,0.725014456511361,-0.6474429137174451,0.18050012423270578,0.2898550724637681,11.264665017237322,0.7406903025032759,4.026819923371647
TOP20_SECTOR_top4_monthly__always_on,0.5644993144240704,0.0813803019231607,0.7244647483015205,0.476790502499555,0.7555731048690881,-0.8947723911387708,0.09095084149790153,0.4492753623188406,11.8049265508481,0.9930977694669956,5.851053639846743
TOP20_MOM_top4_monthly__bull_only,0.7725828474860059,0.10524489891625333,0.6179122581872568,0.473252944725296,0.7403542510002786,-0.7581266488905065,0.13882231823703306,0.2463768115942029,8.348927041035761,1.1107078471922696,1.9521072796934866
TOP20_MOM_top8_monthly__always_on,0.4984820353554089,0.07326105335947486,0.7347956702070454,0.4693630675012314,0.7418754304738907,-0.8998664193128675,0.08141325399765062,0.463768115942029,11.467320262499431,0.9646964024213868,7.881226053639847
TOP20_SECTOR_top4_biweekly__bull_only,0.8033810250190538,0.10857799282462,0.5529658721742696,0.4682693861024217,0.7082877393821283,-0.6602905461136783,0.16443972045894895,0.30434782608695654,12.62898322877475,0.8303988972345041,3.0742337164750957
BTC_BH__bull_only,0.7568943392664742,0.10352862105447369,0.39192122245075206,0.44638502704851907,0.714280429569182,-0.5882658940993142,0.17598950082425727,0.2463768115942029,3.324536845765816,0.47545431054513865,0.48802681992337166
TOP20_MOM_top4_monthly__always_on,0.1336839544813353,0.02217595553333984,0.7964831637870188,0.43037766504240155,0.6999845964989038,-0.9206472924149862,0.02408735214456474,0.463768115942029,13.907640004368448,1.1699900213183447,3.9406130268199235
TOP20_SECTOR_top2_monthly__bull_only,0.45458778761064567,0.06769771367581945,0.6288990523591004,0.4152731867105935,0.6799555888804898,-0.8394908920136368,0.08064139149078434,0.21739130434782608,9.502238388039629,1.2641397740826215,1.4947318007662835
TOP20_SECTOR_top3_biweekly__bull_only,0.25793675253142645,0.040929218764522934,0.5820692131941807,0.36319818640551527,0.5596172541402445,-0.6695265938702737,0.061131580342353525,0.3333333333333333,14.715423717440151,0.9675895047083936,2.2954980842911876
TOP20_SECTOR_top2_monthly__always_on,-0.3046465521349727,-0.061539039327852985,0.8232112940496171,0.33618677331756236,0.5593082387258397,-0.9238852195691827,-0.06660896616199714,0.43478260869565216,16.443154386199886,1.3832919564216504,2.943007662835249
