,aave,algorand,arbitrum,aster-2,avalanche-2,axie-infinity,binancecoin,bitcoin,bitcoin-cash,bitget-token,bittensor,canton-network,cardano,chainlink,crypto-com-chain,decentraland,dogecoin,eos,ethereum,ethereum-classic,fantom,filecoin,hedera-hashgraph,htx-dao,hyperliquid,immutable-x,injective-protocol,internet-computer,leo-token,litecoin,maker,memecore,monero,near,neo,okb,optimism,pepe,pi-network,polkadot,rain,render-token,ripple,shiba-inu,sky,solana,stellar,sui,tezos,the-graph,the-open-network,theta-token,tron,uniswap,vechain,whitebit,world-liberty-financial,zcash
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.12329508041966278,0.0,0.0,0.0,0.0,0.1222377732198332,0.13209095801162093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12785509585110877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1305523585687161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339752949694394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10868719382498987,0.0,0.0,0.0,0.12331025315066091,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.11737050161305278,0.0,0.0,0.0,0.0,0.12049714321100918,0.1237635750559487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14736477628174022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14032691684481854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134626395277074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09039592998058743,0.0,0.0,0.0,0.127483601312393,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.12344221312468538,0.0,0.0,0.0,0.0,0.11985262024183725,0.12001020308524055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15722042091713084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13538412794341043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12629645558386288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375818856900371,0.0,0.0,0.0,0.12586633531401364,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.12487883953546328,0.0,0.0,0.0,0.0,0.11494728316040408,0.11997768709831708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15641821379933774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13009113422758523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12168732523223046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09693874367658022,0.0,0.0,0.0,0.1367828959203805,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.12571594784433482,0.0,0.0,0.0,0.0,0.10943632924562031,0.12257818179097678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619864431475106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13082328699439402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904703900744426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09988815981231693,0.0,0.0,0.0,0.13214981906822262,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.11451230121207345,0.0,0.0,0.0,0.0,0.11446786728731466,0.13311182789178075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16621245470570403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329086313469621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11537404416881311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944481617228072,0.0,0.0,0.0,0.13061202919808362,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.1150547813840599,0.0,0.0,0.0,0.0,0.11306482253435805,0.1392926282787952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16780400107522825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137310831773769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11306743444642153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09141201898755259,0.0,0.0,0.0,0.12466821593075599,0.0,0.0,0.0,0.0
2021-01-09,0.0,0.11785491913928088,0.0,0.0,0.0,0.0,0.11245443095537852,0.13230812239494874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16930322666150913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13579303299488835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11388245190226727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09301652758453968,0.0,0.0,0.0,0.1269938445230712,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.11634634152406743,0.0,0.0,0.0,0.0,0.11345028919896268,0.13120950744761606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734903651838944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13594028090869092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11326817433478026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09095425106593523,0.0,0.0,0.0,0.1270188585959504,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.11961350950669779,0.0,0.0,0.0,0.0,0.11555189292189764,0.13810091130577926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17033252261034554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261100883752301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11435444309556975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09178129905464673,0.0,0.0,0.0,0.12605618418903078,0.0,0.0,0.0,0.0
2021-01-12,0.0,0.1164043062692741,0.0,0.0,0.0,0.0,0.11797398426775917,0.1349668501675982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16738362474585136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12284331757300865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11658905974813741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890238314079712,0.0,0.0,0.0,0.13675115441118144,0.0,0.0,0.0,0.0
2021-01-13,0.0,0.11621336769887516,0.0,0.0,0.0,0.0,0.10954020096115792,0.13103436839343013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15931521265188905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12013119496513448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1358855449285128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09217545494000982,0.0,0.0,0.0,0.13741730055412155,0.0,0.0,0.0,0.0
2021-01-14,0.0,0.1078732204734655,0.0,0.0,0.0,0.0,0.10475274136487925,0.12589483066998614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15935583611968035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11393057450095204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16485520317152738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08683744341537294,0.0,0.0,0.0,0.13807103952098593,0.0,0.0,0.0,0.0
2021-01-15,0.0,0.11793825334036327,0.0,0.0,0.0,0.0,0.10458545211485037,0.12096131471459715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1546164719768003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10988087468960404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15378306989516807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08997044108903571,0.0,0.0,0.0,0.1498704938311684,0.0,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10781060241113948,0.0,0.0,0.0,0.0,0.1277040151058739,0.0,0.0,0.0,0.0,0.0,0.11569952432061467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10991599838252465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150135957274079,0.0,0.0,0.0,0.0,0.0,0.0,0.1127340368834921,0.0,0.0,0.15170885247606256,0.0,0.0,0.0,0.12551246549326242,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416237222194687,0.0,0.0,0.0,0.0,0.13476053135114247,0.0,0.0,0.0,0.0,0.0,0.11284021828311637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10617453195293249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13851690288808993,0.0,0.0,0.0,0.0,0.0,0.0,0.11426186586620296,0.0,0.0,0.16448590049656978,0.0,0.0,0.0,0.12598391260764238,0.0,0.0,0.0,0.0
