strategy,cost_bps,period,start,end,days,multiple,cagr,sharpe,max_drawdown
baseline,2.0,full_2022_plus,2022-01-01,2026-09-21,1725,28.91607609633492,1.0386747787872723,1.4343059030538503,-0.46154392281453194
baseline,2.0,post_2023,2023-01-01,2026-09-21,1360,39.905271391010984,1.6915623853520274,1.7506280012197646,-0.4615439228145316
baseline,2.0,post_2024,2024-01-01,2026-09-21,995,13.60467748307995,1.607918261101954,1.6962971885335971,-0.4615439228145317
breadth50,2.0,full_2022_plus,2022-01-01,2026-09-21,1725,16.605933313565632,0.8128021451236411,1.3531243221940974,-0.5465126401881739
breadth50,2.0,post_2023,2023-01-01,2026-09-21,1360,22.44503909278504,1.3061294888455919,1.6719902751815698,-0.46047607132605683
breadth50,2.0,post_2024,2024-01-01,2026-09-21,995,17.663155887395437,1.8703013492381921,1.9621948501199864,-0.32723123346163985
blend25,2.0,full_2022_plus,2022-01-01,2026-09-21,1725,19.853331932646412,0.8826661469373505,1.413257325945817,-0.49430893108860585
blend25,2.0,post_2023,2023-01-01,2026-09-21,1360,26.97007691555038,1.422736072379709,1.741214722386111,-0.3953243043222875
blend25,2.0,post_2024,2024-01-01,2026-09-21,995,16.90741168608983,1.8245799684488815,1.9266693436238362,-0.3399201429438061
blend50,2.0,full_2022_plus,2022-01-01,2026-09-21,1725,23.099445565315445,0.9440057502956769,1.4443635475764878,-0.47204097745855067
blend50,2.0,post_2023,2023-01-01,2026-09-21,1360,31.541775285910237,1.5267984106436425,1.7740451886040616,-0.3654391978285637
blend50,2.0,post_2024,2024-01-01,2026-09-21,995,15.950010332876845,1.7647616693929105,1.8669447067519767,-0.36035749479960244
blend75,2.0,full_2022_plus,2022-01-01,2026-09-21,1725,26.178157560482973,0.9961892791053912,1.4494233871600768,-0.45466442148827513
blend75,2.0,post_2023,2023-01-01,2026-09-21,1360,35.93388334716998,1.6168393018969436,1.7746190390761976,-0.38789097543532736
blend75,2.0,post_2024,2024-01-01,2026-09-21,995,14.834193972416033,1.6921043787211207,1.788081254310336,-0.38789097543532747
