cycle_days,target_volatility,vol_window,stop_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.3,30,none,0,2.0,6.234642416507877,0.4732453096569953,1.2437076783429122,-0.29078716384177905,17.53201322352908,0.43406301135876896,0.9994202898550725
14,0.3,30,none,0,20.0,5.3699505857895105,0.42740454092437785,1.1559755854056146,-0.2968372461857607,17.53201322352908,0.43406301135876896,0.9994202898550725
14,0.3,30,own75,0,2.0,5.33040936546484,0.4251727855037739,1.2327917490674236,-0.23674366282103365,14.99049774232361,0.34553453280098595,0.841159420289855
14,0.3,30,own75,0,20.0,4.6916417029526905,0.38717367580549333,1.150457722316295,-0.25873009066580854,14.99049774232361,0.34553453280098595,0.841159420289855
14,0.4,30,none,0,2.0,7.710022996387836,0.5410073510624493,1.1458031391103891,-0.3684027495951796,21.84964728722913,0.5393273401853459,0.9994202898550725
14,0.4,30,none,0,20.0,6.400701691489663,0.4814671829611812,1.0616189327034555,-0.37683227668506136,21.84964728722913,0.5393273401853459,0.9994202898550725
14,0.4,30,own75,0,2.0,6.780146295632594,0.4996412884432446,1.1539648847294977,-0.30948333508353476,18.7182071735234,0.434057697847593,0.841159420289855
14,0.4,30,own75,0,20.0,5.781022333253949,0.44987075582881175,1.0746512805189314,-0.3334830712374216,18.7182071735234,0.434057697847593,0.841159420289855
14,0.5,30,none,0,2.0,8.374543883588881,0.5682182754366838,1.06481313270912,-0.4329932276083628,25.486533043454532,0.6281255523210098,0.9994202898550725
14,0.5,30,none,0,20.0,6.740045207384837,0.4977590489278563,0.9835128412423179,-0.4415893974157352,25.486533043454532,0.6281255523210098,0.9994202898550725
14,0.5,30,own75,0,2.0,7.944436113731497,0.5508100189176439,1.0893978504237354,-0.38104034622116545,21.964615092234713,0.5107303039733934,0.841159420289855
14,0.5,30,own75,0,20.0,6.588836124097547,0.49058131031361807,1.0133458185257578,-0.4055275960758532,21.964615092234713,0.5107303039733934,0.841159420289855
14,0.6,30,none,0,2.0,8.601616442017452,0.5771261427166312,1.0052431947122726,-0.49795396354687926,28.62658080161933,0.704851872838652,0.9994202898550725
14,0.6,30,none,0,20.0,6.73981725589139,0.4977483242815881,0.9266351701406991,-0.5216857593717112,28.62658080161933,0.704851872838652,0.9994202898550725
14,0.6,30,own75,0,2.0,9.00018200682109,0.5923229735813065,1.0495475550431872,-0.4478108917543373,24.855069663131335,0.5780329158831483,0.841159420289855
14,0.6,30,own75,0,20.0,7.282695342590237,0.5225159516683415,0.9761589065162094,-0.47200747767411,24.855069663131335,0.5780329158831483,0.841159420289855
14,0.8,30,none,0,2.0,8.666000508679474,0.5796181133641429,0.9535000309645251,-0.5810597959596034,33.33732546218902,0.8145563602977199,0.9994202898550725
14,0.8,30,none,0,20.0,6.522723677360804,0.48740216578276074,0.8773899288461632,-0.5908234339801991,33.33732546218902,0.8145563602977199,0.9994202898550725
14,0.8,30,own75,0,2.0,9.974945173262386,0.6273698866357147,1.0064903284213593,-0.5042205202984322,29.267233165306116,0.6760420020327234,0.841159420289855
14,0.8,30,own75,0,20.0,7.773309815726569,0.5436767742718358,0.9351232488290291,-0.5288345520849017,29.267233165306116,0.6760420020327234,0.841159420289855
14,0.3,30,none,1,2.0,9.196734444982441,0.5996227215328458,1.5213543666095417,-0.255913530070746,18.538727045691882,0.4548597329799648,0.998840579710145
14,0.3,30,none,1,20.0,7.853569886473621,0.5470375953411579,1.4239136827962944,-0.26328558520989187,18.538727045691882,0.4548597329799648,0.998840579710145
14,0.3,30,own75,1,2.0,7.15634894534463,0.5168850414090604,1.4671425278918906,-0.28051491020265196,16.656422081927065,0.36752278529307064,0.8469565217391304
14,0.3,30,own75,1,20.0,6.210024504068837,0.47201178651832865,1.3716178024141459,-0.2915786677287693,16.656422081927065,0.36752278529307064,0.8469565217391304
14,0.4,30,none,1,2.0,12.46331535087304,0.7059417063508859,1.4154104688035634,-0.3189480062931932,23.08006474714568,0.5642401252959968,0.998840579710145
14,0.4,30,none,1,20.0,10.238849206031988,0.6363917405172306,1.3212718683175892,-0.3271231886672977,23.08006474714568,0.5642401252959968,0.998840579710145
14,0.4,30,own75,1,2.0,9.656106736460403,0.6162155301176009,1.3799802688743528,-0.34955886399967473,20.792756005632437,0.462335712505335,0.8469565217391304
14,0.4,30,own75,1,20.0,8.088933254030001,0.5567395363703753,1.2871541433116,-0.36949291619659885,20.792756005632437,0.462335712505335,0.8469565217391304
14,0.5,30,none,1,2.0,14.443379967414943,0.7600359327262523,1.3246081165712325,-0.3687597594373305,26.71471633205662,0.6537395564162904,0.998840579710145
14,0.5,30,none,1,20.0,11.503311545973983,0.6772359852402916,1.2332668849875421,-0.3773479029187802,26.71471633205662,0.6537395564162904,0.998840579710145
14,0.5,30,own75,1,2.0,11.647755427858863,0.6816729640782997,1.3023011325148244,-0.4252838254193346,24.16612329586011,0.5407571995633194,0.8469565217391304
14,0.5,30,own75,1,20.0,9.480685515171443,0.6099541881893644,1.2127812920728158,-0.4452213790337506,24.16612329586011,0.5407571995633194,0.8469565217391304
14,0.6,30,none,1,2.0,14.907963455455837,0.771872765293572,1.2395460438569774,-0.4224806965527398,29.735400845819893,0.7296033725140308,0.998840579710145
14,0.6,30,none,1,20.0,11.571246198579157,0.6793282167238128,1.1507849474591962,-0.4348183048216846,29.735400845819893,0.7296033725140308,0.998840579710145
14,0.6,30,own75,1,2.0,13.096413449795179,0.723931796150971,1.2408544907086578,-0.4711511311126535,26.98391123195292,0.6085865533168723,0.8469565217391304
