strategy,cost_bps,period,start,end,days,multiple,cagr,sharpe,max_drawdown
param_primary,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,23.087723285385238,0.9437968444641187,1.4328964512043647,-0.44919124813072153
param_rebalance_1d,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,27.9206772545773,1.023610915960115,1.466695129241103,-0.45460582414612505
param_rebalance_2d,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,22.99677328271779,0.9421731532027664,1.4118828145806372,-0.45458288571438665
param_rebalance_5d,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,15.90734223561323,0.7963814801417708,1.3245792484766288,-0.4842937797487361
param_hold_rank_1,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,14.550493301454862,0.7627913421635182,1.2154121915860803,-0.47446644124565107
param_hold_rank_3,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,9.48678499979122,0.6101734244687711,1.1179533313542749,-0.49839118728554066
param_target_vol_0.6,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,13.442034560405714,0.7334653113188976,1.4379595745562108,-0.3691214384510838
param_target_vol_0.7,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,17.798076808821243,0.839607444245642,1.4291615049377848,-0.41257328903601975
param_target_vol_0.9,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,26.25534103975405,0.9974339040544542,1.4130695086642275,-0.48169292181552714
param_target_vol_1.0,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,29.988223882148688,1.0544495843013428,1.4038225849285793,-0.5094236456873666
param_btc_ma_50,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,9.503100858365821,0.6107593264145295,1.0884085962437458,-0.6159511036937887
param_btc_ma_150,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,11.605600804160847,0.6803825754923929,1.1974060349218105,-0.4570134713447982
param_btc_ma_200,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,6.931380478155561,0.5066618093534345,1.0131331876709118,-0.6122690745235801
param_no_btc_gate,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,2.880873469810577,0.2510914407513032,0.662731788627661,-0.7599623753726038
param_no_vol_target,20.0,full_2022_plus,2022-01-01,2026-09-21,1725,24.552759098673707,0.9692813987797209,1.2333105357801357,-0.6685098721341556
