signal_name,phase_offset,selected_asset,days
equal_14_21_28,0,solana,70
equal_14_21_28,0,ripple,65
equal_14_21_28,0,hyperliquid,63
equal_14_21_28,0,zcash,59
equal_14_21_28,0,bitcoin-cash,58
equal_14_21_28,0,shiba-inu,46
equal_14_21_28,0,near,42
equal_14_21_28,0,avalanche-2,41
equal_14_21_28,0,sui,39
equal_14_21_28,0,chainlink,38
equal_14_21_28,0,stellar,36
equal_14_21_28,0,dogecoin,33
equal_14_21_28,0,hedera-hashgraph,32
equal_14_21_28,0,internet-computer,29
equal_14_21_28,0,okb,26
equal_14_21_28,0,tron,23
equal_14_21_28,0,pepe,20
equal_14_21_28,0,bitcoin,18
equal_14_21_28,0,binancecoin,14
equal_14_21_28,0,the-open-network,14
equal_14_21_28,0,uniswap,14
equal_14_21_28,0,cardano,12
equal_14_21_28,0,ethereum-classic,12
equal_14_21_28,0,litecoin,12
equal_14_21_28,0,ethereum,9
equal_14_21_28,0,bitget-token,8
equal_14_21_28,0,monero,6
equal_14_21_28,0,bittensor,5
equal_14_21_28,0,filecoin,5
equal_14_21_28,0,kaspa,4
equal_14_21_28,0,matic-network,3
equal_14_21_28,0,crypto-com-chain,2
equal_14_21_28,0,aptos,1
equal_14_21_28,1,solana,75
equal_14_21_28,1,zcash,66
equal_14_21_28,1,hyperliquid,62
equal_14_21_28,1,stellar,57
equal_14_21_28,1,bitcoin-cash,56
equal_14_21_28,1,avalanche-2,42
equal_14_21_28,1,ripple,42
equal_14_21_28,1,tron,42
equal_14_21_28,1,sui,37
equal_14_21_28,1,dogecoin,36
equal_14_21_28,1,shiba-inu,34
equal_14_21_28,1,near,29
equal_14_21_28,1,hedera-hashgraph,27
equal_14_21_28,1,okb,27
equal_14_21_28,1,ethereum,25
equal_14_21_28,1,the-open-network,24
equal_14_21_28,1,binancecoin,23
equal_14_21_28,1,internet-computer,23
equal_14_21_28,1,pepe,23
equal_14_21_28,1,ethereum-classic,18
equal_14_21_28,1,litecoin,11
equal_14_21_28,1,matic-network,11
equal_14_21_28,1,cardano,10
equal_14_21_28,1,bitcoin,9
equal_14_21_28,1,chainlink,9
equal_14_21_28,1,uniswap,9
equal_14_21_28,1,bitget-token,6
equal_14_21_28,1,immutable-x,6
equal_14_21_28,1,bittensor,5
equal_14_21_28,1,crypto-com-chain,5
equal_14_21_28,1,kaspa,4
equal_14_21_28,1,aptos,3
equal_14_21_28,1,monero,3
equal_14_21_28,2,hyperliquid,70
equal_14_21_28,2,solana,69
equal_14_21_28,2,bitcoin-cash,60
equal_14_21_28,2,ripple,60
equal_14_21_28,2,zcash,58
equal_14_21_28,2,hedera-hashgraph,54
equal_14_21_28,2,tron,47
equal_14_21_28,2,shiba-inu,44
equal_14_21_28,2,avalanche-2,42
equal_14_21_28,2,near,38
equal_14_21_28,2,dogecoin,36
equal_14_21_28,2,sui,34
equal_14_21_28,2,internet-computer,26
equal_14_21_28,2,pepe,23
equal_14_21_28,2,chainlink,21
equal_14_21_28,2,bitcoin,18
equal_14_21_28,2,cardano,17
equal_14_21_28,2,the-open-network,16
equal_14_21_28,2,okb,15
equal_14_21_28,2,stellar,15
equal_14_21_28,2,binancecoin,13
equal_14_21_28,2,immutable-x,12
equal_14_21_28,2,ethereum,11
equal_14_21_28,2,uniswap,11
equal_14_21_28,2,bitget-token,8
equal_14_21_28,2,matic-network,8
equal_14_21_28,2,litecoin,7
equal_14_21_28,2,ethereum-classic,6
equal_14_21_28,2,filecoin,6
equal_14_21_28,2,aptos,5
equal_14_21_28,2,bittensor,5
equal_14_21_28,2,kaspa,3
equal_14_21_28,2,crypto-com-chain,1
equal_7_14_28_60,0,sui,78
equal_7_14_28_60,0,solana,61
equal_7_14_28_60,0,zcash,60
equal_7_14_28_60,0,hyperliquid,59
equal_7_14_28_60,0,hedera-hashgraph,54
equal_7_14_28_60,0,ripple,49
equal_7_14_28_60,0,bitcoin-cash,46
equal_7_14_28_60,0,shiba-inu,43
equal_7_14_28_60,0,stellar,41
equal_7_14_28_60,0,okb,38
equal_7_14_28_60,0,internet-computer,36
equal_7_14_28_60,0,bitget-token,30
equal_7_14_28_60,0,pepe,28
equal_7_14_28_60,0,avalanche-2,26
equal_7_14_28_60,0,tron,26
equal_7_14_28_60,0,near,25
equal_7_14_28_60,0,chainlink,23
equal_7_14_28_60,0,bitcoin,18
equal_7_14_28_60,0,dogecoin,18
equal_7_14_28_60,0,binancecoin,17
equal_7_14_28_60,0,kaspa,17
equal_7_14_28_60,0,terra-luna,15
equal_7_14_28_60,0,the-open-network,15
equal_7_14_28_60,0,immutable-x,12
equal_7_14_28_60,0,monero,9
equal_7_14_28_60,0,uniswap,9
equal_7_14_28_60,0,cardano,3
equal_7_14_28_60,0,crypto-com-chain,2
