candidate,train_percentile,test_percentile,train_sharpe,test_sharpe
primary,0.8125,0.65625,0.06160766408506153,0.0841232338726279
parameter_ensemble_20bps,0.5625,0.25,0.05939236422137648,0.0742089672076646
primary,0.90625,0.65625,0.05990109966483455,0.08303761263124107
parameter_ensemble_20bps,0.46875,0.34375,0.054405582528877984,0.07707815198695374
primary,0.71875,0.875,0.08104376516253273,0.06070604940961527
parameter_ensemble_20bps,0.5625,0.28125,0.07881082173983492,0.05131711761734086
primary,0.84375,0.46875,0.08103161156068633,0.06154621196311597
parameter_ensemble_20bps,0.53125,0.25,0.07797949965582432,0.05365317147344315
primary,0.875,0.75,0.07169518949667501,0.07159902500688019
parameter_ensemble_20bps,0.46875,0.3125,0.06642333692038307,0.06556381333698291
primary,0.859375,0.625,0.06415838321212344,0.07837413515656812
parameter_ensemble_20bps,0.46875,0.25,0.059865335958128714,0.07151865258965873
primary,0.84375,0.5625,0.08496029689630147,0.05681122965634393
parameter_ensemble_20bps,0.5,0.28125,0.08052887184626899,0.050570693031937695
primary,0.8125,0.75,0.01607967959587279,0.12393463354071688
parameter_ensemble_20bps,0.40625,0.5,0.011352343877325251,0.11683406633923825
primary,0.53125,0.875,0.0410193968513938,0.10555489993816022
parameter_ensemble_20bps,0.40625,0.4375,0.039753521030500893,0.0951675201010007
primary,0.875,0.71875,0.03868269013024781,0.10367852774277787
parameter_ensemble_20bps,0.5625,0.375,0.03640839147228033,0.09459278239396915
primary,0.8125,0.75,0.031082132865136263,0.11567192970547718
parameter_ensemble_20bps,0.34375,0.46875,0.026663389219247678,0.10850207191135272
primary,0.9375,0.78125,0.018882418480000746,0.11819273091762994
parameter_ensemble_20bps,0.40625,0.46875,0.01530781312815542,0.11018349018354151
primary,0.90625,0.71875,0.04379413281885369,0.10020283049975134
parameter_ensemble_20bps,0.4375,0.34375,0.03972357896118024,0.09227752176967295
primary,0.53125,0.875,0.03745515116013687,0.10291996226228052
parameter_ensemble_20bps,0.1875,0.53125,0.03268800622758918,0.09619074014785466
primary,0.84375,0.75,0.0348823248364853,0.10186620168889918
parameter_ensemble_20bps,0.375,0.4375,0.028678122785316774,0.09614966458110903
primary,0.875,0.8125,0.02651835876168174,0.11225515761770716
parameter_ensemble_20bps,0.21875,0.53125,0.018097074513847834,0.10838274267104384
primary,0.84375,0.8125,0.012525551996959584,0.11574334394715359
parameter_ensemble_20bps,0.375,0.53125,0.004202063339120135,0.11082609423525618
primary,0.84375,0.8125,0.04053510229753758,0.09841874825843905
parameter_ensemble_20bps,0.40625,0.53125,0.03247602920414117,0.09392541029534225
primary,0.71875,0.84375,0.0598931996320065,0.08256732672246823
parameter_ensemble_20bps,0.53125,0.46875,0.057558726930084826,0.07384123913282484
primary,0.53125,0.84375,0.05110639874686933,0.09315642091415227
parameter_ensemble_20bps,0.25,0.5,0.04656853770219843,0.08632288067846246
primary,0.5,0.84375,0.041144937089224676,0.09792734005845176
parameter_ensemble_20bps,0.3125,0.53125,0.037573431088820636,0.09029015482178732
primary,0.75,0.8125,0.06446795467609608,0.07853305930981672
parameter_ensemble_20bps,0.40625,0.53125,0.06051848191279658,0.07118026775567549
primary,0.875,0.75,0.049424138298063615,0.09221546959787828
parameter_ensemble_20bps,0.40625,0.46875,0.04368313224919503,0.08649145412818411
primary,0.78125,0.75,0.038887708642924006,0.09730207522417246
parameter_ensemble_20bps,0.40625,0.375,0.03394939456986121,0.09070998628671591
primary,0.78125,0.65625,0.0637348996187409,0.07858186629922247
parameter_ensemble_20bps,0.46875,0.3125,0.05870962513673493,0.07242598413377134
primary,0.90625,0.78125,0.029832100032576383,0.10705249239543288
parameter_ensemble_20bps,0.40625,0.5,0.022476521487640535,0.10221605004570211
primary,0.8125,0.78125,0.054322094594973225,0.08845362745559929
parameter_ensemble_20bps,0.40625,0.5,0.04693140834197671,0.08405908505056464
primary,0.8125,0.75,0.044582083164052974,0.09378735588108646
parameter_ensemble_20bps,0.375,0.375,0.03775806111622044,0.08843458739634708
primary,0.78125,0.6875,0.05402363569638568,0.08772238223622147
parameter_ensemble_20bps,0.5,0.28125,0.050469387998597466,0.0803065903530462
primary,0.6875,0.78125,0.07618919573797668,0.06645393502803278
parameter_ensemble_20bps,0.53125,0.40625,0.07560286784984219,0.05533559564114563
primary,0.8125,0.53125,0.07605862609964296,0.0670691082043046
parameter_ensemble_20bps,0.625,0.1875,0.07465342030876966,0.05743578606162308
primary,0.78125,0.6875,0.06649043274748968,0.07685377984474304
parameter_ensemble_20bps,0.5625,0.28125,0.06293681898623173,0.06918526862693306
primary,0.78125,0.59375,0.05833902850066779,0.08317093336944255
parameter_ensemble_20bps,0.59375,0.21875,0.05597286401959375,0.07481102380146434
primary,0.84375,0.46875,0.0801851508781047,0.06260668436590719
parameter_ensemble_20bps,0.53125,0.21875,0.07728732731051714,0.05446990869085346
primary,0.6875,0.84375,0.0761458860720562,0.0674221139765193
parameter_ensemble_20bps,0.53125,0.4375,0.07237169174846171,0.060209640545723156
primary,0.875,0.53125,0.07657670185552533,0.06826107069401313
parameter_ensemble_20bps,0.46875,0.25,0.07169911110127788,0.06217146408280417
primary,0.78125,0.78125,0.06553775371608521,0.07696121962730622
parameter_ensemble_20bps,0.53125,0.46875,0.05837930880795884,0.07276833997725571
primary,0.84375,0.65625,0.05719999044502514,0.0833670253214888
parameter_ensemble_20bps,0.46875,0.34375,0.050808886256207254,0.07821161148725723
primary,0.875,0.625,0.08086839224845353,0.06405946782086708
parameter_ensemble_20bps,0.5,0.28125,0.07452734085294059,0.059455528991757586
primary,0.71875,0.84375,0.09803357675129443,0.04665462491887196
parameter_ensemble_20bps,0.625,0.25,0.09639461362780168,0.03720774440542965
primary,0.65625,0.875,0.08715255823498329,0.05517651975726861
parameter_ensemble_20bps,0.5,0.40625,0.08332772717559238,0.0476445558363499
primary,0.625,0.875,0.08144801093526327,0.06355095532939388
parameter_ensemble_20bps,0.5,0.4375,0.07888594442906383,0.05540890646640308
primary,0.75,0.8125,0.10157686853835557,0.04167718158847567
parameter_ensemble_20bps,0.5,0.3125,0.09865093135964559,0.03391502112853719
primary,0.8125,0.5625,0.08785113833463018,0.05653598423992843
parameter_ensemble_20bps,0.53125,0.1875,0.08303420822709184,0.050279702252661145
primary,0.78125,0.5625,0.08261873104489521,0.06465392893892725
parameter_ensemble_20bps,0.53125,0.25,0.07906493307483137,0.05766402486662991
