tranches,shift_days,offsets,cost_bps,multiple,cagr,sharpe,max_drawdown
1,0,0,2.0,25.868495072589642,0.9911665323130321,1.3599489766759607,-0.41786949487206715
1,1,1,2.0,2.1858844777707924,0.18006201725484705,0.5699680912942209,-0.4551413779166217
1,2,2,2.0,3.126798658125711,0.27297841031676007,0.678941681666109,-0.7470626738454493
1,3,3,2.0,8.370332990439179,0.5680512966660625,1.003915706606745,-0.5134057399269061
1,4,4,2.0,14.658674025958137,0.7655580276399034,1.249985605295608,-0.37810247684983833
1,5,5,2.0,3.667325442683057,0.3166863626602707,0.7592768681467734,-0.6175366726905966
1,6,6,2.0,6.642562849890814,0.49314639483081146,0.9341639697897361,-0.5048359283477603
1,7,7,2.0,1.0408544824663044,0.008513604586630752,0.2519062904248447,-0.588493673253913
1,8,8,2.0,0.7069329254498795,-0.07079654530058499,0.10669544529330481,-0.6165224424276382
1,9,9,2.0,2.7587356964712315,0.23966914379873883,0.6553864936107511,-0.5375297684110291
1,10,10,2.0,4.596271492421494,0.3811552561389797,0.8609408958216422,-0.572074989753904
1,11,11,2.0,8.959149106890095,0.5907832260842905,1.0772214587642626,-0.5154390515888712
1,12,12,2.0,5.271679960362173,0.42183381591968505,0.8271754925149707,-0.6828406291209579
1,13,13,2.0,5.320894348105508,0.42463379896918596,0.8484893697952746,-0.6590649464229987
1,14,14,2.0,5.1118197315120275,0.41259427272424776,0.8412163903787044,-0.6700325809834698
1,15,15,2.0,7.116126896214148,0.5150760137987558,1.0126855026359818,-0.6679871624661475
1,16,16,2.0,2.2918852384147597,0.1919524502779486,0.5878677190188712,-0.6808453773367708
1,17,17,2.0,3.9138258275996285,0.33494623110568056,0.7964828348804337,-0.5006220518770675
1,18,18,2.0,2.0044980315401077,0.15861649697865832,0.5325764366988941,-0.5329434438016603
1,19,19,2.0,3.341814761120967,0.29102883780363964,0.752365800312487,-0.6495268851434096
1,20,20,2.0,14.703800046846622,0.766707354743553,1.328977721215574,-0.5512471834783594
3,0,"0,7,14",2.0,6.97338646566993,0.508590346402056,1.1340479266867545,-0.4094195379398027
3,1,"1,8,15",2.0,2.8639702563694485,0.24953369545489812,0.7488721340344939,-0.4523763527349969
3,2,"2,9,16",2.0,3.5475739303339378,0.30746419152417714,0.8278411114840986,-0.47140731224521804
3,3,"3,10,17",2.0,6.714482145171513,0.49655457384718416,1.0884411823395517,-0.4457655630851741
3,4,"4,11,18",2.0,8.510700942861165,0.5735821175391322,1.2735288724749443,-0.41285971814531286
3,5,"5,12,19",2.0,5.599962032515289,0.4401358255307626,1.075285012896822,-0.46919505091689595
3,6,"6,13,20",2.0,11.203498605019243,0.6678843898641382,1.3843371696230276,-0.3190892310179996
3,7,"7,14,0",2.0,6.97338646566993,0.508590346402056,1.1340479266867545,-0.4094195379398027
3,8,"8,15,1",2.0,2.8639702563694485,0.24953369545489812,0.7488721340344939,-0.4523763527349969
3,9,"9,16,2",2.0,3.5475739303339378,0.30746419152417714,0.8278411114840986,-0.47140731224521804
3,10,"10,17,3",2.0,6.714482145171513,0.49655457384718416,1.0884411823395517,-0.4457655630851741
3,11,"11,18,4",2.0,8.510700942861165,0.5735821175391322,1.2735288724749443,-0.41285971814531286
3,12,"12,19,5",2.0,5.599962032515289,0.4401358255307626,1.075285012896822,-0.46919505091689595
3,13,"13,20,6",2.0,11.203498605019243,0.6678843898641382,1.3843371696230276,-0.3190892310179996
3,14,"14,0,7",2.0,6.97338646566993,0.508590346402056,1.1340479266867545,-0.4094195379398027
