rebalance_date,coin_id,coin_rank,coin_score,coin_weight,score_family,btc_gate_open,executed_coin_id,executed_weight,pipeline_rank,independent_rank,executed_in_top20,top20_ids
2022-01-01,near,1,0.7486842105263157,1.0,ctrend_lite_breakout,False,,0.0,,,True,bitcoin ethereum binancecoin solana cardano ripple terra-luna polkadot avalanche-2 dogecoin shiba-inu matic-network crypto-com-chain algorand uniswap litecoin chainlink near bitcoin-cash cosmos
2022-01-22,cosmos,1,0.7184210526315788,1.0,ctrend_lite_breakout,False,,0.0,,,True,bitcoin ethereum binancecoin cardano solana ripple terra-luna polkadot dogecoin avalanche-2 matic-network shiba-inu crypto-com-chain cosmos litecoin chainlink near uniswap algorand tron
2022-02-12,ripple,1,0.7605263157894735,1.0,ctrend_lite_breakout,True,ripple,1.0,4.0,4.0,True,bitcoin ethereum binancecoin ripple cardano solana terra-luna avalanche-2 dogecoin polkadot shiba-inu matic-network crypto-com-chain litecoin cosmos chainlink near uniswap tron bitcoin-cash
2022-03-05,terra-luna,1,0.7530701754385963,1.0,ctrend_lite_breakout,True,terra-luna,1.0,5.0,5.0,True,bitcoin ethereum binancecoin ripple terra-luna cardano solana avalanche-2 polkadot dogecoin shiba-inu matic-network cosmos litecoin near chainlink uniswap tron ftx-token bitcoin-cash
2022-03-26,ftx-token,1,0.6214912280701753,1.0,ctrend_lite_breakout,True,ftx-token,1.0,19.0,19.0,True,bitcoin ethereum binancecoin ripple cardano solana terra-luna avalanche-2 polkadot dogecoin shiba-inu matic-network litecoin near cosmos chainlink uniswap bitcoin-cash ftx-token tron
2022-04-16,dogecoin,1,0.6749999999999999,1.0,ctrend_lite_breakout,False,,0.0,,,True,bitcoin ethereum binancecoin ripple solana cardano terra-luna avalanche-2 dogecoin polkadot shiba-inu matic-network near litecoin cosmos uniswap chainlink bitcoin-cash tron ftx-token
2022-05-07,tron,1,0.7052631578947368,1.0,ctrend_lite_breakout,False,,0.0,,,True,bitcoin ethereum binancecoin ripple solana cardano terra-luna dogecoin avalanche-2 polkadot shiba-inu tron matic-network near litecoin bitcoin-cash algorand uniswap chainlink cosmos
2022-05-28,tron,1,0.7535087719298245,1.0,ctrend_lite_breakout,False,,0.0,,,True,bitcoin ethereum binancecoin ripple cardano solana dogecoin polkadot tron avalanche-2 shiba-inu matic-network litecoin ftx-token uniswap near bitcoin-cash monero ethereum-classic chainlink
2022-06-18,ftx-token,1,0.6811403508771932,1.0,ctrend_lite_breakout,False,,0.0,,,True,bitcoin ethereum binancecoin cardano ripple solana dogecoin polkadot tron shiba-inu avalanche-2 litecoin ftx-token matic-network chainlink stellar crypto-com-chain uniswap bitcoin-cash near
2022-07-09,uniswap,1,0.6763157894736842,1.0,ctrend_lite_breakout,True,uniswap,1.0,12.0,12.0,True,bitcoin ethereum binancecoin ripple cardano solana dogecoin polkadot tron shiba-inu avalanche-2 uniswap matic-network litecoin ftx-token chainlink stellar near cosmos monero
