,daily_return
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,-0.01495305203132491
2022-02-14,-0.009941227106424755
2022-02-15,0.06247062941520598
2022-02-16,-0.015600066451456285
2022-02-17,-0.08564943789705382
2022-02-18,0.02439700516192178
2022-02-19,-0.00019999999999997797
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,-0.09506010934438547
2022-03-07,-0.014826676010468831
2022-03-08,0.09694248990176568
2022-03-09,-0.00019999999999997797
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.040707911110709594
2022-03-28,-0.004547444247133381
2022-03-29,-0.012173470329302383
2022-03-30,0.0013304650898713355
2022-03-31,-0.04453684683668857
2022-04-01,0.03289013679113206
2022-04-02,-0.015145157757311734
2022-04-03,0.014634255590313838
2022-04-04,-0.0064183082144926296
2022-04-05,-0.03119515118992655
2022-04-06,-0.07143767241703591
2022-04-07,0.01187547664801869
2022-04-08,-0.00019999999999997797
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,0.0
2022-06-05,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,0.0
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.0
2022-07-10,-0.03287485636786269
2022-07-11,-0.11100622263775872
2022-07-12,-0.0010061979597402182
2022-07-13,0.10185860616937692
2022-07-14,0.1409239817592105
2022-07-15,-0.027802205328539942
2022-07-16,0.08228128731496165
2022-07-17,-0.054239934582019034
2022-07-18,0.05489600728712607
2022-07-19,0.0010104949415503661
2022-07-20,-0.06470589374188562
2022-07-21,0.04961317471502569
2022-07-22,-0.04148776124660214
2022-07-23,0.010031369284200453
2022-07-24,0.034824139882143834
2022-07-25,-0.018728279590807806
2022-07-26,-0.0652370101662636
2022-07-27,0.21434115764867978
2022-07-28,0.15229376859212063
2022-07-29,-0.027398461827954912
2022-07-30,-0.028804643461687207
2022-07-31,-0.06834357081042519
2022-08-01,-0.03771364854338077
2022-08-02,0.04231814600017736
2022-08-03,-0.015241696933559035
2022-08-04,-0.03335220007225381
2022-08-05,0.09922760595625957
2022-08-06,-0.010855151610110414
2022-08-07,-0.0032314739902311596
2022-08-08,0.007481801244085595
2022-08-09,-0.04165061467197051
2022-08-10,-0.00019999999999997797
2022-08-11,0.0
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-20,0.0
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,0.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-10,0.0
2022-09-11,-0.02300531037330167
2022-09-12,-0.011139161964955013
2022-09-13,-0.09357213874591619
2022-09-14,-0.004649200937709819
2022-09-15,0.06544573513049246
2022-09-16,0.11321281185701593
2022-09-17,-0.00019999999999997797
2022-09-18,0.0
2022-09-19,0.0
2022-09-20,0.0
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,0.0
2022-10-17,0.0
2022-10-18,0.0
2022-10-19,0.0
2022-10-20,0.0
2022-10-21,0.0
2022-10-22,0.0
2022-10-23,0.0
2022-10-24,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,0.0
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-12,0.0
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,0.0
2022-11-26,0.0
2022-11-27,0.0
2022-11-28,0.0
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-03,0.0
2022-12-04,0.007845139050424832
2022-12-05,0.039490769797698944
2022-12-06,-0.00426491611775881
2022-12-07,-0.03610006116162101
2022-12-08,0.0175737802687419
2022-12-09,-0.026219038239817083
2022-12-10,0.00047719331616535854
2022-12-11,0.0033659332340751913
2022-12-12,-0.005305138499958839
2022-12-13,0.014732751406695277
2022-12-14,-0.037277904548025265
2022-12-15,-0.028548663054429713
2022-12-16,-0.08306682973928481
2022-12-17,-0.020638900158823748
2022-12-18,-0.00019999999999997797
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,0.0
2022-12-23,0.0
2022-12-24,0.0
2022-12-25,0.0
2022-12-26,0.0
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2022-12-31,0.0
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,-0.009688640612325439
2023-01-16,-0.0033534647945154816
2023-01-17,0.023045711762558208
2023-01-18,-0.07720513117357841
2023-01-19,0.024804712992136935
2023-01-20,0.0818037139968335
2023-01-21,-0.035659813035346266
2023-01-22,0.02756805894380121
2023-01-23,0.037110068871123225
2023-01-24,-0.05482852632400559
2023-01-25,0.04609927746950193
2023-01-26,0.017083000307180907
2023-01-27,0.17373882997786572
2023-01-28,-0.03054201293279435
2023-01-29,0.02304388665158741
2023-01-30,-0.06359686658743702
2023-01-31,0.0053359944144926175
2023-02-01,0.05648243291106181
2023-02-02,0.01024044107925981
2023-02-03,0.008740658284628333
2023-02-04,-0.01593954707216816
2023-02-05,-0.024820282390291548
2023-02-06,-0.01666546917201961
2023-02-07,-0.00019999999999997797
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,0.0
2023-02-17,0.0
2023-02-18,0.0
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,0.0
2023-02-24,0.0
2023-02-25,0.0
2023-02-26,0.02454094410588148
2023-02-27,-0.0016710373881511087
2023-02-28,-0.00019999999999997797
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,0.0
2023-03-07,0.0
2023-03-08,0.0
2023-03-09,0.0
2023-03-10,0.0
2023-03-11,0.0
2023-03-12,0.0
2023-03-13,0.0
2023-03-14,0.0
2023-03-15,0.0
2023-03-16,0.0
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,0.016247799660555895
2023-03-20,-0.012034049706844518
2023-03-21,0.007167499318695425
2023-03-22,-0.040027306313191846
2023-03-23,0.02469585592204293
2023-03-24,-0.022670802133849977
2023-03-25,0.0009732018936530196
2023-03-26,0.019260765266376323
2023-03-27,-0.05454397061207972
2023-03-28,0.007433622029658471
2023-03-29,0.001855193032582525
2023-03-30,0.008685212269397669
2023-03-31,0.001492392234029083
2023-04-01,-0.00574906705252809
2023-04-02,-0.004088296586775342
2023-04-03,-0.01709380588305387
2023-04-04,0.00788320490189598
2023-04-05,0.009866173729013106
2023-04-06,-0.005121666531810787
2023-04-07,-0.0056172310062931885
2023-04-08,-0.0002085035570005278
2023-04-09,0.004945037967411636
2023-04-10,0.02786924864692919
2023-04-11,-0.009950669868041495
2023-04-12,0.015057937022072032
2023-04-13,0.04787489310876558
2023-04-14,0.0442210693261309
2023-04-15,-0.004362624562276984
2023-04-16,0.013161004963071044
2023-04-17,-0.02064278120181018
2023-04-18,0.013627625990546122
2023-04-19,-0.07989110238533692
2023-04-20,0.003457030080460388
2023-04-21,-0.047912065956265515
2023-04-22,-0.00019999999999997797
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,0.0
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,-0.0013337617460523754
2023-07-03,-0.01452997417511781
2023-07-04,-0.021778256666293516
2023-07-05,-0.02738596649923275
2023-07-06,-0.045714590673994304
2023-07-07,-0.00019999999999997797
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-29,0.0
2023-07-30,0.0
2023-07-31,0.0
2023-08-01,0.0
2023-08-02,0.0
2023-08-03,0.0
2023-08-04,0.0
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,-0.04421023801737678
2023-08-14,-0.0038056480076683608
2023-08-15,-0.02784693563880436
2023-08-16,-0.06944145102567512
2023-08-17,-0.11958681083220257
2023-08-18,-0.00019999999999997797
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,-0.00047172886403235026
2023-09-25,0.011907457293335977
2023-09-26,0.0004778651821706337
2023-09-27,-0.00019999999999997797
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,0.0
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.0
2023-11-05,-0.02635963752439907
2023-11-06,0.021581448823314364
2023-11-07,0.0228812704280128
2023-11-08,0.002258908473039778
2023-11-09,0.05220990027638939
2023-11-10,0.24643126065339116
2023-11-11,-0.009554277498518893
2023-11-12,0.0009167806322052385
2023-11-13,-0.0756319874329261
2023-11-14,0.09500298979235011
2023-11-15,0.1529956955356795
2023-11-16,-0.11693097604625557
2023-11-17,0.009409388316339529
2023-11-18,0.0016569034467655008
2023-11-19,0.04923430004995999
2023-11-20,-0.07915690171767387
2023-11-21,-0.08018846294536586
2023-11-22,0.10746222860596277
2023-11-23,-0.01717686113548178
2023-11-24,0.004718633900208324
2023-11-25,0.03481930120388488
2023-11-26,-0.017176559033847516
2023-11-27,-0.02531282047646466
2023-11-28,0.01920339197144183
2023-11-29,-0.009979087766646577
2023-11-30,-0.015404245678702133
2023-12-01,0.022097591072199663
2023-12-02,0.03538937362668304
2023-12-03,-0.006644913389934448
2023-12-04,0.029497170021943964
2023-12-05,0.046327777879130005
2023-12-06,0.03934604811369158
2023-12-07,0.03170404147613226
2023-12-08,0.1960638550317031
2023-12-09,0.05985918240671073
2023-12-10,0.02688457123297261
2023-12-11,-0.07259777445520454
