strategy,cost_bps,period,start,end,days,multiple,cagr,sharpe,max_drawdown
ensemble,2.0,full,2022-01-01,2026-09-21,1725,6.222061671167073,0.4726154102822404,1.138683252477826,-0.4038982376433825
ensemble,2.0,oos_2023_plus,2023-01-01,2026-09-21,1360,7.53766704227335,0.7203157201954902,1.4034709107173955,-0.4038982376433834
fixed_c14_tv0.5,2.0,full,2022-01-01,2026-09-21,1725,4.692142278517228,0.3872050095997086,1.1737366934194742,-0.32648437512940165
fixed_c14_tv0.5,2.0,oos_2023_plus,2023-01-01,2026-09-21,1360,5.408906309122399,0.5736147574725319,1.4386024440555798,-0.32648437512940176
fixed_c14_tv0.8,2.0,full,2022-01-01,2026-09-21,1725,6.161130082448809,0.4695503713522253,1.0846937069019078,-0.44423926512760104
fixed_c14_tv0.8,2.0,oos_2023_plus,2023-01-01,2026-09-21,1360,7.59656175733581,0.723915565006404,1.3451235826778654,-0.4442392651276008
ensemble,20.0,full,2022-01-01,2026-09-21,1725,5.0538786250315955,0.40918914553999786,1.0325810982777508,-0.41992769983267575
ensemble,20.0,oos_2023_plus,2023-01-01,2026-09-21,1360,6.16512921142308,0.6299059444370809,1.2867178081531587,-0.41992769983267575
fixed_c14_tv0.5,20.0,full,2022-01-01,2026-09-21,1725,4.137867842888133,0.350772020296618,1.0914511074177824,-0.3349897906973959
fixed_c14_tv0.5,20.0,oos_2023_plus,2023-01-01,2026-09-21,1360,4.7882729703585305,0.5229384061630176,1.3477761987815728,-0.3349897906973952
fixed_c14_tv0.8,20.0,full,2022-01-01,2026-09-21,1725,5.2167545563710425,0.4186844757385715,1.0055176470032703,-0.4541222230320733
fixed_c14_tv0.8,20.0,oos_2023_plus,2023-01-01,2026-09-21,1360,6.468939092076797,0.6511001336431994,1.2578805328059286,-0.4541222230320734
ensemble,100.0,full,2022-01-01,2026-09-21,1725,2.0037966841826225,0.15853065835579327,0.5587406579935222,-0.49087163567937553
ensemble,100.0,oos_2023_plus,2023-01-01,2026-09-21,1360,2.5210771519605664,0.28191119281381605,0.7654069084663692,-0.49087163567937475
fixed_c14_tv0.5,100.0,full,2022-01-01,2026-09-21,1725,2.365618415974939,0.19997010078203203,0.7244180449406654,-0.38123463249080547
fixed_c14_tv0.5,100.0,oos_2023_plus,2023-01-01,2026-09-21,1360,2.7845152146664023,0.3165906734658237,0.9427262758412943,-0.38123463249080636
fixed_c14_tv0.8,100.0,full,2022-01-01,2026-09-21,1725,2.4884656106055068,0.21290122572179015,0.6525019557521796,-0.5061713940038035
fixed_c14_tv0.8,100.0,oos_2023_plus,2023-01-01,2026-09-21,1360,3.1650825160129497,0.3626782753929523,0.8689531665218754,-0.5061713940038034
BTC,0.0,oos_2023_plus,2023-01-01,2026-09-21,1360,5.233596471339013,0.5597509200381825,1.1829592066709866,-0.5305998261659732
BTC,0.0,full,2022-01-01,2026-09-21,1725,1.87021291004726,0.14173138764939397,0.5148078298770699,-0.6689381488321313
