strategy,start,end,days,multiple,cagr,sharpe,max_drawdown
walk_forward_switch0bps,2023-01-01,2026-09-21,1360,4.251847742525794,0.4751062327333446,1.1884016421965231,-0.36287974612813656
walk_forward_switch40bps,2023-01-01,2026-09-21,1360,4.117678279881094,0.46245747018473016,1.1659527728625416,-0.3704946481781092
c7_tv0.5_vw60_own75_btc_ma100_20bps,2023-01-01,2026-09-21,1360,5.060665380002097,0.545738304206123,1.2511292319778546,-0.39539477830189895
c7_tv0.6_vw60_own75_btc_ma100_20bps,2023-01-01,2026-09-21,1360,6.145855924259949,0.6285358620244887,1.2446229764087289,-0.4389550326386811
c7_tv0.7_vw60_own75_btc_ma100_20bps,2023-01-01,2026-09-21,1360,7.025139267216273,0.6880855262966781,1.2315310374816406,-0.47807447053247476
c7_tv0.8_vw60_own75_btc_ma100_20bps,2023-01-01,2026-09-21,1360,7.273321293080042,0.7038997867551096,1.19555767689285,-0.506445660372475
c14_tv0.5_vw60_own75_btc_ma100_20bps,2023-01-01,2026-09-21,1360,4.7882729703585305,0.5229384061630176,1.3477761987815728,-0.3349897906973952
c14_tv0.6_vw60_own75_btc_ma100_20bps,2023-01-01,2026-09-21,1360,5.65575941027323,0.5925896584803612,1.3270942246565514,-0.38096859631279656
c14_tv0.7_vw60_own75_btc_ma100_20bps,2023-01-01,2026-09-21,1360,6.338884256300934,0.6421184244707876,1.3039957521066041,-0.4209185099380184
c14_tv0.8_vw60_own75_btc_ma100_20bps,2023-01-01,2026-09-21,1360,6.468939092076797,0.6511001336431994,1.2578805328059286,-0.4541222230320734
equal_weight_candidates,2023-01-01,2026-09-21,1360,6.16512921142308,0.6299059444370809,1.2867178081531587,-0.41992769983267575
BTC,2023-01-01,2026-09-21,1360,5.233596471339013,0.5597509200381825,1.1829592066709866,-0.5305998261659732
